log,n_traces,n_unique_traces,ratio_unique_traces_per_trace,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,entropy_trace,entropy_prefix,entropy_global_block,entropy_lempel_ziv,entropy_k_block_diff_1,entropy_k_block_diff_3,entropy_k_block_diff_5,entropy_k_block_ratio_1,entropy_k_block_ratio_3,entropy_k_block_ratio_5,entropy_knn_3,entropy_knn_5,entropy_knn_7
bpi_2012,13087,4379,0.334606861771223,262200,3,175,20.0351493848858,11.0,3,19.9435587628224,397.745536126152,3.0,31.0,28.0,11.8070997202481,2.93491691174869,7.12495155847315,1.61821326131684,3.87649742389314,0.995428503161928,9.0426237190651,0.034731786025898,0.013283197776597,0.006534977902801,0.002279023565015,0.00084852534292,0.000244339758432,0.000119948608685,5.77530338112915e-05,1.33276231872211e-05,2.66552463744422e-05,2.0549824896365,2.92642278776928,0.262015740811492,0.560938335753037,0.644150683884771,0.685489416978681,0.732253381218003,0.832658363261251,0.916329181630626,2.98858186800639,59.4285788011701,50.8983486604737,2742.86841536883,24,12,54850,10925.0,6071.5,14289.7292224171,204196361.25,2246.0,13087.0,10841.0,2.14434566160461,3.69286413192964,1,13087,13087,13087.0,13087.0,0.0,0.0,13087.0,13087.0,0.0,0.0,-3.0,11,1,3429,1189.72727272727,653.0,1162.55776715975,1351540.56198347,168.0,2087.0,1919.0,0.604933525219827,-1.04821445724786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bpi_2012_A,13087,17,0.001298999006648,60849,3,8,4.64957591503018,4.0,3,1.88280770706844,3.54496486179632,3.0,6.0,3.0,4.30962766250894,1.46497374378908,4.02823592179717,0.731762972785199,-0.966721223471093,0.404941814366788,9.40191497895813,0.884694735233438,0.0,0.334377626652403,0.0,0.064491480094751,0.0,0.373194773439291,0.0,0.0,0.343241384580118,1.39133398262814,1.02286546717847,0.436998548177581,0.0,0.0,0.436998548177581,0.6463666233667,0.905937189577443,0.987162833346069,769.823529411765,1316.05011684001,3.0797974541139,8.81169324735942,10,2246,13087,6084.9,5064.0,3989.37041273432,15915076.29,2386.25,7568.0,5181.75,0.764459069639918,-0.794840381392853,1,13087,13087,13087.0,13087.0,0.0,0.0,13087.0,13087.0,0.0,0.0,-3.0,8,3,7635,1635.875,630.0,2416.36775126945,5838833.109375,262.5,1441.25,1178.75,1.81226129515348,1.82461436091624,2.838,3.452,5.839,0.008,3.027,3.027,3.027,3.027,3.027,3.027,1.151,0.727,0.719
bpi_2012_O,5015,168,0.033499501495514,31244,3,30,6.23010967098704,5.0,5,3.16915761802919,10.0435600079125,4.0,8.0,4.0,5.68257014744947,1.49103314458373,5.30418083684481,2.28117647536364,6.89911569992508,0.508684081885046,8.41588063527792,0.264170451608139,0.029245596543702,0.04726561057568,0.017207636350209,0.006203611388058,0.003175658210554,0.001920165429637,0.000443115099147,0.000516967615672,0.000221557549574,2.49465748864424,4.54237952350601,0.306480558325025,0.306480558325025,0.798803589232303,0.891326021934197,0.946759720837488,0.983050847457627,0.991625124626122,29.8511904761905,153.85505082788,8.05827248917776,68.4314822445955,7,802,7030,4463.42857142857,3655.0,2383.59667352529,5681533.10204082,2848.5,7030.0,4181.5,-0.114659056966761,-1.51445073468434,1,5015,5015,5015.0,5015.0,0.0,0.0,5015.0,5015.0,0.0,0.0,-3.0,5,89,2243,1003.0,802.0,824.59808391725,679962.0,241.0,1640.0,1399.0,0.339212928759416,-1.45764405391234,3.753,4.535,6.981,0.107,-0.273,0.426,0.285,0.769,2.574,1.5,2.74,2.392,2.208
bpi_2012_W,9658,2643,0.273659142679644,170107,2,156,17.6130668875544,14.0,3,15.9867445834722,255.576002377179,5.0,25.0,20.0,11.6858283252042,2.59247443366119,7.596636506534,2.00214921852028,7.22636008795269,0.90766387736645,8.82325095563105,0.038888425717997,0.016694322451208,0.006353658766167,0.001902735905635,0.000584940013393,0.000295831730911,8.74048295874762e-05,6.72344842980585e-05,2.01703452894176e-05,4.03406905788351e-05,1.9897496172339,2.6141400590133,0.193828950093187,0.445433837233382,0.620521847173328,0.701076827500518,0.772106026092359,0.863118658107269,0.931559329053634,3.65418085508891,38.4419503861316,44.014612875254,2112.02817002616,7,12,54850,24301.0,20809.0,20434.0071099975,417548646.571429,8615.0,38603.0,29988.0,0.364297612508358,-1.25890555756017,3,67,4852,3219.33333333333,4739.0,2229.5135991711,4970730.88888889,2403.0,4795.5,2392.5,-0.705744692417603,-1.5,7,4,2749,1379.71428571429,1802.0,1084.39419747166,1175910.7755102,256.5,2295.0,2038.5,-0.169172211909294,-1.72326240101927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bpi_2013_closed_problems,1487,183,0.123066577000673,6660,1,35,4.47881640887693,3.0,2,3.17088752846008,10.0545277181437,2.0,6.0,4.0,3.73443861787604,1.77846829554738,3.22655860802121,2.66967080383764,12.8589321070539,0.707974437660681,7.10926935075474,0.183551564539737,0.0773369199731,0.021163811859646,0.007516120099687,0.002373511610428,0.001384548439416,0.000197792634202,0.000197792634202,0.000197792634202,0.000197792634202,2.04414441297034,2.77314234975816,0.331540013449899,0.331540013449899,0.776731674512441,0.840618695359785,0.886348352387357,0.93813046402152,0.96906523201076,8.12568306010929,42.0809854967826,9.40475640385355,98.2342204778581,4,10,4207,1665.0,1221.5,1567.98421548178,2458574.5,658.75,2227.75,1569.0,0.739218435367694,-0.946665819772966,4,1,1432,371.75,27.0,612.503622438268,375160.6875,1.0,397.75,396.75,1.15057511093517,-0.669945127975359,1,1487,1487,1487.0,1487.0,0.0,0.0,1487.0,1487.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bpi_2013_incidents,7554,1511,0.200026476039184,65533,1,123,8.67527137940164,6.0,3,7.62507082909739,58.141705148752,4.0,11.0,7.0,6.73256550932609,1.96382145453595,5.52551291216708,3.44271889474901,23.1074781147996,0.878943204843387,8.65482362567658,0.068696641015291,0.010319144780531,0.002094211296154,0.000488287607912,0.000249569221821,6.51050143882082e-05,2.17016714627361e-05,1.0850835731368e-05,0.0,2.17016714627361e-05,2.56520083011972,4.76512172921067,0.232194863648398,0.59597564204395,0.744241461477363,0.794413555732062,0.839952343129468,0.899920571882446,0.949960285941223,4.99933818663137,50.5030222954853,28.8824218808307,960.30724447322,4,5,40117,16383.25,12705.5,14673.8527383745,215321954.1875,8659.25,20429.5,11770.25,0.699955787576008,-0.897908618516199,3,4,6394,2518.0,1156.0,2780.80420022698,7732872.0,580.0,3775.0,3195.0,0.617184367039555,-1.5,2,8,7546,3777.0,3777.0,3769.0,14205361.0,1892.5,5661.5,3769.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
env_permit,1434,116,0.080892608089261,8577,1,25,5.98117154811716,6.0,6,2.16612883011296,4.69211410864656,6.0,6.0,0.0,5.41470844148216,1.70496496521987,4.35644475537212,1.27652501024687,12.2960056104875,0.362157950610002,7.197192878385,0.036029753602975,0.008135750813575,0.341120409112041,0.023535564853557,0.003777312877731,0.001743375174338,0.000290562529056,0.001452812645281,0.0,0.000581125058113,2.60452090174101,4.90913956183189,0.49721059972106,0.49721059972106,0.796373779637378,0.887029288702929,0.930264993026499,0.959553695955369,0.979776847977685,12.3620689655172,68.3602774040149,9.38068672635333,92.2819193173858,27,1,1434,317.666666666667,27.0,553.389823087032,306240.296296296,8.0,50.0,42.0,1.34295061631875,-0.178094242396945,1,1434,1434,1434.0,1434.0,0.0,0.0,1434.0,1434.0,0.0,0.0,-3.0,14,1,828,102.428571428571,6.0,225.871554613841,51017.9591836735,1.25,33.25,32.0,2.4717651663104,4.84654092237044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradual_trace_noise0_1000_IOR,1000,75,0.075,10986,6,37,10.986,10.0,10,4.767158902323269,22.725804,7.0,13.0,6.0,10.15356756939606,1.4728347512354294,9.459594940875022,1.763751731980351,4.9195883831802965,0.4339303570292434,6.825119802601861,0.1193548387096774,0.1009677419354838,0.0538709677419354,0.0248387096774193,0.0103225806451612,0.0061290322580645,0.0029032258064516,0.0006451612903225,0.0019354838709677,0.0016129032258064,1.14403231203049,-0.315556172042791,0.133,0.0,0.282,0.455,0.664,0.927,0.981,13.333333333333334,20.972574684308288,3.326910964717033,13.729793529272309,16,210,2000,686.625,461.0,471.0397906493676,221878.484375,263.75,1000.0,736.25,1.1608026249643235,1.128080970875872,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,-3.0,4,230,271,250.0,249.5,19.53202498462461,381.5,230.75,268.75,38.0,0.0078508025099278,-1.9869299121045607,5.101,6.396,8.317,0.225,-0.015,0.459,0.157,0.074,3.688,3.688,2.161,1.855,1.63
gradual_trace_noise0_1000_IRO,1000,90,0.09,11592,6,43,11.592,10.0,6,5.760862435434473,33.18753600000001,6.0,13.0,7.0,10.4580213026492,1.5564533360918915,9.543993065625925,1.713005212119252,4.206225603079634,0.4969688091299579,6.800313564142403,0.1067567567567567,0.101081081081081,0.0281081081081081,0.0137837837837837,0.0102702702702702,0.0051351351351351,0.0013513513513513,0.0021621621621621,0.0008108108108108,0.0008108108108108,1.3646552476832607,0.0488723331909448,0.139,0.0,0.395,0.563,0.747,0.937,0.977,11.11111111111111,22.4570921460086,4.256934929928195,20.2308197637414,16,237,1915,724.5,745.0,428.1645419695564,183324.875,338.5,1000.0,661.5,1.0210309388876777,1.208138806938818,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,-3.0,4,106,514,250.0,190.0,161.34590171429826,26032.5,126.25,313.75,187.5,0.8221035733884577,-0.9803101783962784,5.04,6.708,8.947,0.283,-0.013,0.564,0.176,0.677,3.759,3.759,2.466,2.129,1.911
gradual_trace_noise0_1000_OIR,1000,137,0.137,13393,6,59,13.393,12.0,10,6.411283100908897,41.10455100000001,10.0,16.0,6.0,12.125871660626268,1.5525751181255942,11.048671111611403,1.6268633420900935,4.635107921342137,0.478704032024856,6.806075637534432,0.0930188679245282,0.0528301886792452,0.0209433962264151,0.0150943396226415,0.0037735849056603,0.0018867924528301,0.000566037735849,0.000377358490566,0.0,0.000188679245283,1.6459324280694656,1.38259195119175,0.126,0.126,0.349,0.528,0.719,0.91,0.965,7.299270072992701,14.183039610954088,5.147753821510723,35.34632726353418,16,248,2019,837.0625,729.5,528.4136008788475,279220.93359375,436.0,1128.0,692.0,0.6037840372008156,-0.6661795987546579,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,-3.0,3,248,496,333.3333333333333,256.0,115.06906138875424,13240.88888888889,252.0,376.0,124.0,0.7045442847452977,-1.5,5.794,7.178,9.17,0.323,-0.019,0.465,0.306,0.42,3.714,3.714,2.758,2.448,2.189
