concept:name,case:concept:name
Activity A,0
Activity CD,0
Activity CE,0
Activity B,0
Activity A,1
Activity C,1
Activity Q,1
Activity AB,1
Activity AF,1
Activity AC,1
Activity E,1
Activity R,1
Activity AI,1
Activity G,1
Activity M,1
Activity O,1
Activity AK,1
Activity L,1
Activity N,1
Activity P,1
Activity H,1
Activity AJ,1
Activity F,1
Activity A,2
Activity D,1
Activity C,2
Activity B,1
Activity Q,2
Activity S,2
Activity Y,2
Activity U,2
Activity AI,2
Activity A,3
Activity E,2
Activity CC,3
Activity AL,2
Activity B,3
Activity V,2
Activity AO,2
Activity G,2
Activity K,2
Activity X,2
Activity P,2
Activity W,2
Activity M,2
Activity O,2
Activity A,4
Activity N,2
Activity AP,4
Activity AM,2
Activity AQ,4
Activity AJ,2
Activity AV,4
Activity T,2
Activity AW,4
Activity H,2
Activity AR,4
Activity B,4
Activity R,2
Activity F,2
Activity D,2
Activity B,2
Activity A,5
Activity CD,5
Activity CE,5
Activity B,5
Activity A,6
Activity BC,6
Activity BF,6
Activity BN,6
Activity BH,6
Activity BI,6
Activity BG,6
Activity BE,6
Activity BP,6
Activity BL,6
Activity BO,6
Activity BQ,6
Activity BK,6
Activity BM,6
Activity BJ,6
Activity BD,6
Activity BR,6
Activity BX,6
Activity BZ,6
Activity BY,6
Activity BV,6
Activity BW,6
Activity BT,6
Activity BU,6
Activity BS,6
Activity B,6
Activity A,7
Activity BC,7
Activity BE,7
Activity BI,7
Activity BP,7
Activity BH,7
Activity BF,7
Activity BK,7
Activity BL,7
Activity BN,7
Activity BQ,7
Activity BG,7
Activity BM,7
Activity BO,7
Activity BJ,7
Activity BD,7
Activity BR,7
Activity BT,7
Activity BX,7
Activity BV,7
Activity CB,7
Activity BW,7
Activity BU,7
Activity BY,7
Activity BS,7
Activity B,7
Activity A,8
Activity C,8
Activity E,8
Activity M,8
Activity P,8
Activity N,8
Activity A,9
Activity Q,8
Activity AP,9
Activity AI,8
Activity AQ,9
Activity AL,8
Activity AY,9
Activity AN,8
Activity Z,8
Activity BA,9
Activity AA,8
Activity BB,9
Activity G,8
Activity L,8
Activity AZ,9
Activity H,8
Activity AR,9
Activity AM,8
Activity B,9
Activity O,8
Activity R,8
Activity AJ,8
Activity F,8
Activity D,8
Activity B,8
Activity A,10
Activity CD,10
Activity CE,10
Activity B,10
Activity A,11
Activity AP,11
Activity AQ,11
Activity AU,11
Activity AR,11
Activity B,11
Activity A,12
Activity CD,12
Activity CE,12
Activity B,12
Activity A,13
Activity CC,13
Activity B,13
Activity A,14
Activity C,14
Activity Q,14
Activity AG,14
Activity A,15
Activity AH,14
Activity C,15
Activity E,14
Activity A,16
Activity R,14
Activity E,15
Activity CD,16
Activity CE,16
Activity N,14
Activity O,15
Activity B,16
