concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
D,2
C,1
A,0
D,3
A,5
F,2
A,1
A,6
B,0
F,3
D,5
E,2
A,7
C,0
B,1
D,6
E,3
F,5
A,8
G,2
B,7
A,0
C,1
A,9
E,5
F,6
G,3
I,2
D,8
A,10
C,7
B,0
A,1
G,5
B,9
I,3
E,6
A,11
J,2
F,8
D,10
A,7
H,5
J,3
B,1
A,12
C,0
C,9
G,6
D,11
E,8
F,10
L,2
A,13
B,7
A,4
C,1
D,12
K,3
M,2
F,11
A,0
H,6
G,8
A,9
A,14
E,10
C,7
D,13
D,4
A,1
A,15
M,3
F,12
G,10
O,2
E,11
D,0
H,8
D,9
D,14
F,13
A,16
F,4
A,7
D,1
N,3
I,10
F,14
D,15
G,11
E,12
F,9
F,0
E,4
D,16
D,7
J,10
F,1
A,18
H,11
G,12
E,14
E,9
F,15
E,0
F,16
G,4
F,7
E,1
L,10
D,18
E,15
G,9
I,12
G,0
A,20
G,14
E,16
H,4
E,7
M,10
G,1
F,18
B,20
I,9
J,12
I,14
G,15
I,0
G,16
A,22
I,1
G,7
O,10
E,18
C,20
J,0
J,14
L,12
A,23
I,15
J,9
B,22
H,16
I,7
J,1
A,24
G,18
K,14
A,20
I,17
M,12
B,23
L,9
J,15
C,22
L,0
J,7
K,1
I,18
B,24
D,20
J,17
L,15
A,26
N,12
C,23
M,14
M,9
M,0
A,22
K,7
M,1
J,18
F,20
A,27
C,24
M,15
B,26
O,14
A,23
L,17
M,7
B,22
N,9
N,0
O,1
E,20
K,18
A,19
A,24
B,27
O,7
C,26
O,15
A,29
M,17
B,23
C,22
G,20
D,19
C,27
A,30
M,18
B,24
A,26
B,29
C,23
O,17
A,21
I,20
D,25
A,31
A,22
F,19
B,30
A,27
N,18
C,24
A,23
A,32
D,21
C,29
D,31
B,26
F,25
D,22
C,30
E,19
J,20
A,33
D,27
A,24
A,29
B,32
D,23
F,31
F,21
C,26
E,25
A,34
K,20
A,30
F,22
G,19
B,33
F,27
B,24
B,29
C,32
A,35
E,31
A,26
F,23
E,21
D,34
D,30
E,22
G,25
M,20
H,19
C,33
A,36
I,28
E,27
C,24
C,29
B,35
A,32
E,23
D,26
G,21
G,31
F,34
A,37
G,22
A,33
F,30
H,25
N,20
J,28
B,36
A,24
G,27
B,32
A,29
C,35
A,38
H,21
F,26
G,23
E,34
H,31
B,37
C,36
B,33
E,30
H,22
C,32
A,35
A,39
L,28
B,24
D,29
H,27
D,38
H,23
E,26
A,40
A,36
G,34
C,33
G,30
B,35
C,37
A,32
M,28
F,29
B,39
C,24
F,38
A,41
G,26
I,34
B,36
D,40
A,33
C,35
A,37
I,30
D,32
A,42
C,39
N,28
E,29
A,24
D,41
E,38
J,34
I,26
F,40
A,43
C,36
A,35
B,33
B,37
J,30
B,42
B,24
F,32
G,29
A,39
A,44
F,41
D,35
L,34
G,38
E,40
A,36
B,43
J,26
C,37
C,33
I,29
C,42
A,45
C,24
K,30
B,39
E,32
I,38
B,44
C,43
M,34
G,40
E,41
F,35
K,26
A,46
A,37
D,36
A,42
A,33
D,45
M,30
G,32
A,24
J,29
C,39
J,38
O,34
E,35
A,43
C,44
M,26
H,40
G,41
F,36
D,37
D,46
D,42
A,48
F,45
D,24
K,29
O,30
A,39
K,38
H,32
G,35
E,36
B,43
O,26
A,44
F,46
A,49
F,42
F,37
I,41
D,48
M,29
E,45
F,24
M,38
B,39
G,36
D,44
I,35
C,43
E,46
D,49
E,37
E,42
J,41
G,45
N,29
E,24
F,48
N,38
H,36
G,46
J,35
C,39
F,49
A,43
F,44
G,37
G,24
G,42
K,41
I,45
E,48
K,35
I,46
I,37
A,39
B,43
E,49
I,24
