concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
B,2
C,1
A,4
A,0
B,3
A,5
C,2
A,1
F,4
B,0
C,3
A,6
B,1
B,5
A,2
A,7
B,6
D,4
A,3
C,0
C,1
A,8
B,2
C,5
F,7
C,6
E,4
A,9
A,0
F,3
B,8
C,2
A,1
D,7
A,5
A,10
G,4
A,6
D,3
F,9
B,0
A,11
C,8
B,1
A,2
B,5
H,4
E,3
F,10
E,7
B,6
A,12
D,9
C,0
B,11
A,8
C,1
B,2
G,3
C,5
A,13
G,7
D,10
E,9
C,6
B,12
C,11
A,0
C,2
A,14
B,8
A,1
I,7
H,3
B,13
G,9
E,10
A,5
A,6
C,12
A,15
B,0
A,11
C,8
F,14
F,1
A,2
J,7
A,16
I,9
G,10
C,13
B,5
B,6
F,15
A,12
C,0
A,8
F,11
D,14
A,17
F,2
D,1
K,7
I,10
A,13
F,16
J,9
C,6
C,5
F,12
A,18
D,15
B,8
B,17
A,0
D,11
E,1
E,14
D,2
M,7
L,9
A,19
D,16
J,10
F,13
A,5
A,6
B,18
D,12
C,8
E,15
E,11
C,17
A,20
G,1
B,0
E,2
K,10
N,7
G,14
M,9
E,16
F,6
B,19
D,13
C,18
F,5
A,21
E,12
A,8
G,15
B,20
A,17
G,11
M,10
C,0
G,2
I,1
I,14
G,16
A,22
D,5
C,19
O,9
E,13
G,12
D,6
A,18
B,21
F,8
C,20
B,17
I,15
A,0
H,11
A,23
H,2
J,1
J,14
N,10
A,19
H,16
F,22
D,8
E,5
I,12
E,6
B,18
C,21
A,24
G,13
C,17
A,20
B,0
J,15
F,23
L,1
K,14
A,25
B,19
G,5
D,22
G,6
E,8
C,18
A,21
F,24
J,12
H,13
K,15
C,0
F,20
A,17
A,26
D,23
M,1
B,25
M,14
B,21
G,8
I,6
C,19
E,22
H,5
D,24
D,20
A,27
A,0
K,12
F,17
M,15
A,18
B,26
E,23
O,1
A,28
C,25
O,14
J,6
C,21
A,19
H,8
M,12
E,20
G,22
E,24
F,0
D,17
B,27
C,26
N,15
B,18
A,29
G,23
F,28
A,25
B,19
G,20
K,6
A,21
D,0
E,17
A,30
C,18
I,22
O,12
G,24
C,27
A,26
B,29
I,23
A,31
C,19
D,28
M,6
F,25
G,17
I,20
A,18
F,30
E,0
J,22
F,21
I,24
F,26
A,27
J,23
A,32
C,29
E,28
N,6
B,31
A,19
J,20
D,25
B,18
A,33
J,24
H,17
K,22
D,21
D,30
G,0
K,23
B,27
B,32
A,29
D,26
C,31
A,34
G,28
F,19
E,25
F,33
L,20
C,18
K,24
E,30
I,0
E,21
M,22
C,32
M,23
A,35
C,27
E,26
B,29
F,34
A,31
H,28
D,19
M,24
G,21
J,0
A,36
D,33
G,25
A,18
M,20
G,30
A,27
O,22
B,35
N,23
A,32
G,26
C,29
D,34
E,19
A,37
B,31
B,36
L,0
E,33
H,25
N,24
I,30
N,20
I,21
F,18
C,35
A,38
B,27
A,29
F,32
E,34
H,26
G,19
C,31
C,36
M,0
F,37
J,30
A,39
D,18
G,33
B,29
J,21
A,35
C,27
D,32
F,38
A,31
H,19
A,40
G,34
A,36
N,0
D,37
E,18
B,39
L,30
H,33
C,29
A,27
F,35
L,21
A,41
E,32
D,38
F,31
I,34
B,36
F,40
G,18
C,39
A,42
E,37
M,30
A,29
D,35
M,21
G,32
E,38
F,41
B,27
J,34
D,31
A,43
C,36
H,18
A,39
D,40
B,42
G,37
O,30
D,41
G,38
A,44
O,21
E,35
B,29
C,27
I,32
K,34
E,31
B,43
A,36
E,40
I,37
C,42
A,45
B,39
C,29
A,27
H,38
E,41
B,44
G,35
J,32
G,31
C,43
A,46
F,36
M,34
A,42
J,37
F,45
G,40
