concept:name,case:concept:name
t11,trace 1
t26,trace 1
t21,trace 1
t36,trace 1
t31,trace 1
t41,trace 1
t51,trace 1
t44,trace 1
t61,trace 1
t71,trace 1
t81,trace 1
t54,trace 1
t66,trace 1
t76,trace 1
t82,trace 1
t91,trace 1
t11,trace 2
t26,trace 2
t35,trace 2
t44,trace 2
t54,trace 2
t65,trace 2
t76,trace 2
t82,trace 2
t91,trace 2
t11,trace 3
t21,trace 3
t41,trace 3
t51,trace 3
t62,trace 3
t71,trace 3
t81,trace 3
t91,trace 3
t11,trace 4
t21,trace 4
t31,trace 4
t41,trace 4
t26,trace 4
t35,trace 4
t51,trace 4
t61,trace 4
t71,trace 4
t44,trace 4
t81,trace 4
t54,trace 4
t65,trace 4
t76,trace 4
t82,trace 4
t91,trace 4
t11,trace 5
t26,trace 5
t36,trace 5
t44,trace 5
t54,trace 5
t66,trace 5
t76,trace 5
t82,trace 5
t91,trace 5
t11,trace 6
t21,trace 6
t26,trace 6
t31,trace 6
t41,trace 6
t51,trace 6
t61,trace 6
t36,trace 6
t71,trace 6
t81,trace 6
t44,trace 6
t54,trace 6
t66,trace 6
t76,trace 6
t82,trace 6
t91,trace 6
t11,trace 7
t21,trace 7
t41,trace 7
t51,trace 7
t61,trace 7
t71,trace 7
t81,trace 7
t91,trace 7
t11,trace 8
t26,trace 8
t35,trace 8
t44,trace 8
t54,trace 8
t65,trace 8
t21,trace 8
t32,trace 8
t41,trace 8
t76,trace 8
t82,trace 8
t51,trace 8
t62,trace 8
t71,trace 8
t81,trace 8
t91,trace 8
t11,trace 9
t26,trace 9
t36,trace 9
t44,trace 9
t54,trace 9
t66,trace 9
t76,trace 9
t82,trace 9
t91,trace 9
t11,trace 10
t21,trace 10
t32,trace 10
t41,trace 10
t51,trace 10
t62,trace 10
t35,trace 10
t44,trace 10
t54,trace 10
t65,trace 10
t71,trace 10
t76,trace 10
t81,trace 10
t82,trace 10
t91,trace 10
t11,trace 11
t21,trace 11
t31,trace 11
t41,trace 11
t51,trace 11
t61,trace 11
t71,trace 11
t81,trace 11
