concept:name,case:concept:name
A,0
A,1
B,0
A,2
C,0
B,1
A,3
D,2
A,4
A,0
C,1
B,3
A,5
F,2
D,0
D,4
A,6
C,3
A,1
E,2
B,5
F,0
F,4
A,7
B,1
B,6
G,2
A,3
A,8
E,0
C,5
B,7
E,4
A,9
C,1
I,2
C,6
D,3
D,8
G,0
C,7
A,10
A,5
G,4
D,9
A,6
A,1
F,8
J,2
F,3
A,11
A,7
I,0
B,5
B,10
I,4
F,9
B,6
A,12
E,3
D,1
D,11
K,2
E,8
D,7
C,10
A,13
J,4
C,5
E,9
J,0
C,6
B,12
G,3
F,1
F,11
A,14
G,8
F,7
M,2
K,4
A,10
B,13
A,5
G,9
K,0
A,6
A,15
H,8
H,3
C,12
E,11
E,1
E,7
D,14
M,4
O,2
B,10
A,16
C,13
D,5
H,9
M,0
D,6
D,15
G,1
A,12
G,11
G,7
A,17
O,4
F,14
F,5
B,16
C,10
A,13
F,15
A,18
I,1
F,6
O,0
H,7
H,11
B,12
D,17
E,5
E,14
A,19
A,10
C,16
B,13
E,15
D,18
J,1
E,6
C,12
A,20
G,5
F,17
G,14
C,13
B,10
D,19
A,16
G,15
F,18
A,21
G,6
L,1
A,12
B,20
I,5
A,13
E,17
H,14
F,19
A,22
C,10
D,16
I,6
B,21
M,1
E,18
I,15
C,20
J,5
B,12
A,23
G,17
B,13
E,19
D,22
A,10
F,16
C,21
J,6
A,24
G,18
O,1
J,15
D,23
L,5
C,12
A,20
F,22
B,10
I,17
E,16
G,19
A,25
C,13
K,6
A,21
B,24
I,18
L,15
F,23
G,16
B,20
A,26
J,17
A,12
M,5
E,22
B,25
H,19
C,10
M,6
A,13
B,21
E,23
A,27
J,18
C,24
L,17
M,15
C,20
D,26
H,16
B,12
N,5
G,22
C,25
A,28
C,21
A,10
B,13
O,6
G,23
K,18
A,24
B,27
N,15
M,17
F,26
A,29
A,20
A,25
C,12
I,22
C,13
A,21
B,28
B,10
H,23
M,18
A,30
C,27
N,17
B,24
A,12
B,20
D,25
D,29
E,26
A,13
A,31
J,22
C,28
D,21
C,10
B,30
O,18
A,27
C,24
B,12
A,32
C,20
F,25
F,29
G,26
L,22
B,31
A,28
B,13
F,21
A,10
C,30
A,33
D,27
E,25
A,20
A,24
C,12
C,31
B,28
E,29
C,13
E,21
D,32
I,26
M,22
A,34
B,10
F,27
B,33
B,24
A,30
G,25
B,20
A,12
A,31
A,35
C,28
F,32
G,29
A,13
D,34
N,22
G,21
J,26
C,20
C,10
C,33
A,36
E,27
C,24
H,25
D,30
B,12
D,35
A,28
I,29
E,32
F,34
K,26
D,13
H,21
A,37
A,20
A,33
A,24
G,27
A,10
F,30
D,36
C,12
B,28
A,38
G,32
J,29
F,35
B,37
B,20
F,13
M,26
E,34
D,33
E,30
B,24
D,10
A,39
F,36
H,27
C,28
B,38
A,12
K,29
C,37
I,32
G,34
E,13
E,35
A,40
C,20
N,26
F,33
F,10
G,30
C,24
D,39
E,36
A,28
B,12
C,38
A,37
A,41
M,29
G,35
G,13
I,34
J,32
D,40
A,20
E,33
G,36
A,24
I,30
A,42
E,10
F,39
D,28
A,38
D,41
C,12
D,37
O,29
I,35
J,34
D,20
K,32
H,13
A,43
F,40
B,24
G,33
E,39
I,36
B,42
J,30
G,10
F,28
B,38
A,12
L,34
F,41
F,37
F,20
D,43
E,40
M,32
J,35
C,24
G,39
H,33
J,36
L,30
A,45
C,42
H,10
E,28
C,38
M,34
B,12
E,37
E,41
E,20
F,43
N,32
G,40
A,46
K,35
A,24
I,39
L,36
M,30
A,42
B,45
N,34
G,28
G,41
C,12
A,47
E,43
A,38
G,37
G,20
I,40
B,46
D,24
M,35
J,39
M,36
N,30
H,41
D,42
C,45
