concept:name,case:concept:name
A,0
A,1
F,0
A,2
F,1
A,3
D,0
F,2
A,4
D,1
F,3
E,0
A,5
D,2
B,4
E,1
D,3
A,6
G,0
B,5
E,2
C,4
A,7
G,1
E,3
F,6
H,0
C,5
A,8
G,2
B,7
A,4
H,1
G,3
A,9
A,5
D,6
B,8
H,2
C,7
B,4
A,10
B,9
H,3
F,5
E,6
C,8
A,11
C,4
A,7
B,10
C,9
A,12
B,11
D,5
G,6
A,8
B,7
C,10
A,4
A,13
A,9
F,12
F,8
E,5
C,11
A,14
C,7
H,6
A,10
F,4
F,13
F,9
G,5
D,12
A,15
D,8
A,11
F,14
F,10
A,7
D,13
A,16
D,4
D,9
E,12
F,15
H,5
B,11
E,8
A,17
F,7
D,14
E,4
D,10
E,13
E,9
F,16
D,15
G,12
A,18
C,11
G,8
E,14
B,17
D,7
G,4
A,19
G,9
E,10
D,16
G,13
E,15
B,18
H,12
A,11
I,8
G,14
C,17
A,20
I,9
E,7
H,4
G,10
B,19
E,16
H,13
G,15
A,21
C,18
J,8
H,14
B,11
A,17
B,20
G,7
J,9
I,10
G,16
A,22
C,19
I,15
F,21
A,18
K,8
C,11
C,20
A,23
B,17
K,9
H,7
B,22
J,10
J,15
A,19
D,21
I,16
M,8
A,24
B,18
B,23
A,11
C,17
A,20
M,9
L,10
E,21
A,25
C,22
K,15
O,8
B,19
J,16
F,11
C,18
B,24
C,23
A,17
A,26
B,20
N,9
B,25
A,22
M,10
M,15
G,21
L,16
C,19
A,27
A,18
F,26
A,23
C,20
D,11
C,24
B,17
C,25
F,22
O,10
A,28
M,16
I,21
N,15
F,27
F,18
A,19
F,23
A,20
A,24
A,29
D,26
E,11
A,25
C,17
D,22
N,16
B,28
J,21
D,27
F,19
A,30
D,18
D,23
F,24
B,29
B,20
G,11
E,26
A,17
B,25
C,28
A,31
B,30
E,22
K,21
D,19
E,27
E,18
E,23
C,20
D,24
C,29
A,32
G,26
C,25
I,11
A,28
F,31
F,17
E,19
G,27
C,30
G,22
M,21
A,33
E,24
A,29
A,20
G,18
G,23
F,32
I,26
J,11
A,25
D,17
D,31
A,34
H,27
B,28
O,21
G,19
F,33
A,30
H,22
F,20
G,24
D,32
H,18
J,26
A,35
F,29
H,23
K,11
E,31
E,17
F,25
I,19
B,34
C,28
F,30
A,36
E,32
D,33
D,20
I,24
B,35
K,26
D,29
M,11
G,31
G,17
A,37
D,25
J,19
D,30
A,28
C,34
B,36
E,20
E,33
M,26
G,32
J,24
C,35
E,29
A,38
O,11
H,31
F,37
K,19
B,28
I,17
E,30
E,25
C,36
A,34
A,39
G,33
G,20
G,29
H,32
N,26
F,38
L,24
A,35
D,37
A,40
M,19
C,28
G,30
A,36
J,17
G,25
F,39
H,20
F,34
I,29
H,33
A,41
M,24
F,35
D,38
E,37
F,40
A,28
B,36
H,30
K,17
N,19
H,25
A,42
D,39
J,29
D,34
D,35
F,41
O,24
E,38
G,37
A,43
C,36
D,40
B,28
M,17
E,39
F,42
L,29
E,34
E,35
A,44
D,41
G,38
I,37
A,36
E,40
C,28
F,43
D,42
A,45
N,17
M,29
G,39
G,34
F,44
J,37
G,35
E,41
F,36
H,38
A,46
G,40
A,28
N,29
D,43
E,42
B,45
I,39
D,44
A,47
H,34
G,41
L,37
D,36
I,35
E,43
I,40
B,46
G,42
F,28
A,48
C,45
J,39
E,44
I,41
M,37
B,47
E,36
G,43
J,35
A,49
C,46
J,40
L,39
H,42
A,45
D,28
G,44
F,48
J,41
C,47
N,37
A,50
H,43
G,36
K,35
F,49
L,40
B,45
A,46
A,51
M,39
E,28
H,44
A,47
D,48
L,41
B,50
A,52
M,35
D,49
M,40
I,36
C,45
F,51
O,39
G,28
M,41
