concept:name,case:concept:name
A,0
A,1
D,0
F,0
D,1
A,3
A,4
E,0
F,1
D,3
A,5
G,0
B,4
E,1
A,6
F,3
D,5
A,7
C,4
H,0
G,1
E,3
D,2
D,6
A,8
D,7
F,5
A,4
I,1
F,6
F,2
A,9
G,3
D,8
F,7
E,5
A,10
B,4
E,6
J,1
B,9
E,2
I,3
A,11
F,8
E,7
G,5
C,4
G,6
B,10
L,1
A,12
G,2
C,9
J,3
D,11
E,8
G,7
I,5
I,6
A,4
A,9
C,10
M,1
B,12
L,3
H,2
F,11
A,14
G,8
I,7
J,5
B,4
A,10
J,6
A,15
D,9
C,12
M,3
N,1
B,14
E,11
J,7
H,8
K,5
A,16
D,10
C,4
L,6
A,12
B,15
O,3
F,9
L,7
A,17
G,11
C,14
M,5
D,16
F,10
M,6
A,4
B,12
A,18
C,15
H,11
A,14
D,17
E,9
M,7
O,5
A,19
F,16
E,10
C,12
O,6
B,4
B,18
A,15
O,7
F,17
A,20
D,14
G,9
D,19
G,10
E,16
C,18
A,12
A,21
C,4
D,15
E,17
H,9
F,14
B,20
A,22
I,10
F,19
G,16
A,18
D,21
A,4
F,15
B,12
A,23
G,17
C,20
E,14
D,18
E,19
J,10
H,16
D,22
B,4
A,24
E,15
F,21
C,12
F,13
H,17
B,23
A,20
G,14
A,25
G,19
L,10
C,4
B,24
F,18
F,22
G,15
A,12
E,21
C,23
E,13
D,20
A,26
I,14
B,25
M,10
A,4
E,18
C,24
I,19
E,22
H,15
A,27
G,21
A,23
D,12
F,20
D,26
G,13
J,14
A,28
B,4
C,25
N,10
B,27
A,24
G,18
B,23
J,19
I,21
G,22
F,12
E,20
A,29
F,26
I,13
B,28
K,14
C,4
D,24
I,22
A,25
C,27
J,21
I,18
C,23
A,30
K,19
E,12
G,20
J,13
B,29
E,26
A,4
C,28
A,31
M,14
A,27
M,19
F,24
K,21
J,22
A,23
D,30
J,18
B,25
G,12
G,26
K,13
C,29
H,20
A,32
A,28
D,4
N,14
D,31
D,27
E,24
K,22
A,33
N,19
F,30
D,23
C,25
M,21
A,29
L,18
H,12
M,13
H,26
D,32
D,28
F,4
A,34
F,31
F,27
B,33
G,24
E,30
M,22
A,25
N,21
M,18
F,23
B,29
F,28
F,32
N,13
A,35
B,34
E,31
E,4
E,27
I,24
A,36
C,33
O,22
E,32
G,30
O,18
E,23
E,28
D,25
C,29
D,35
C,34
G,31
A,37
J,24
G,27
D,36
G,4
G,32
A,33
I,30
F,25
A,34
G,28
A,29
G,23
F,35
H,31
H,27
L,24
B,37
H,4
F,36
D,33
J,30
A,39
H,32
E,25
I,28
I,23
B,34
D,29
E,35
M,24
C,37
A,40
E,36
L,30
F,33
D,39
G,25
J,28
A,41
J,23
F,29
C,34
G,35
N,24
D,40
M,30
A,37
G,36
E,33
F,39
K,28
H,25
B,41
I,35
E,29
K,23
A,34
A,43
I,36
B,37
N,30
F,40
G,33
M,28
C,41
A,44
J,35
G,29
M,23
B,34
D,43
C,37
H,33
J,36
E,40
A,45
O,28
A,41
D,44
O,23
H,29
C,34
A,37
G,40
K,35
A,46
F,43
L,36
B,45
B,41
A,47
B,37
F,44
A,34
D,46
H,40
M,35
M,36
E,43
A,48
C,45
C,41
B,47
B,34
E,44
C,37
A,49
N,35
N,36
F,46
G,43
D,48
C,47
A,41
A,45
A,50
I,42
G,44
C,34
B,49
A,37
E,46
A,51
F,48
A,47
B,41
B,45
B,50
J,42
A,34
I,44
D,37
A,52
C,49
D,51
G,46
C,45
E,48
C,41
B,47
A,53
B,34
C,50
J,44
D,52
F,37
K,42
A,49
F,51
H,46
G,48
A,41
A,54
A,45
C,47
C,34
A,50
B,53
E,37
F,52
A,55
M,42
A,38
E,51
