concept:name,case:concept:name
Assign seriousness,Case 3608
Assign seriousness,Case 2748
Assign seriousness,Case 4284
Assign seriousness,Case 1534
Assign seriousness,Case 406
Assign seriousness,Case 406
Assign seriousness,Case 4539
Assign seriousness,Case 4539
Assign seriousness,Case 2118
Assign seriousness,Case 3625
Assign seriousness,Case 3625
Take in charge ticket,Case 406
Resolve ticket,Case 406
Assign seriousness,Case 1621
Assign seriousness,Case 390
Take in charge ticket,Case 390
Resolve ticket,Case 390
Assign seriousness,Case 1941
Take in charge ticket,Case 2748
Resolve ticket,Case 2748
Assign seriousness,Case 404
Take in charge ticket,Case 4539
Resolve ticket,Case 4539
Assign seriousness,Case 791
Assign seriousness,Case 1485
Assign seriousness,Case 1000
Assign seriousness,Case 1000
Take in charge ticket,Case 1000
Assign seriousness,Case 2915
Assign seriousness,Case 2915
Take in charge ticket,Case 1941
Resolve ticket,Case 1941
Assign seriousness,Case 1768
Take in charge ticket,Case 1768
Assign seriousness,Case 1006
Take in charge ticket,Case 1006
Resolve ticket,Case 1006
Assign seriousness,Case 2742
Take in charge ticket,Case 2742
Resolve ticket,Case 1768
Take in charge ticket,Case 1534
Resolve ticket,Case 1534
Assign seriousness,Case 1223
Take in charge ticket,Case 1223
Resolve ticket,Case 1000
Assign seriousness,Case 1703
Resolve ticket,Case 1223
Assign seriousness,Case 4284
Take in charge ticket,Case 4284
Resolve ticket,Case 4284
Take in charge ticket,Case 1223
Take in charge ticket,Case 4284
Resolve ticket,Case 4284
Take in charge ticket,Case 3608
Resolve ticket,Case 3608
Assign seriousness,Case 4505
Take in charge ticket,Case 4505
Resolve ticket,Case 4505
Take in charge ticket,Case 1621
Resolve ticket,Case 1621
Take in charge ticket,Case 3625
Assign seriousness,Case 2441
Assign seriousness,Case 588
Assign seriousness,Case 1400
Take in charge ticket,Case 1400
Resolve ticket,Case 1400
Assign seriousness,Case 1196
Assign seriousness,Case 1468
Assign seriousness,Case 189
Assign seriousness,Case 189
Take in charge ticket,Case 189
Resolve ticket,Case 189
Assign seriousness,Case 4378
Assign seriousness,Case 4378
Assign seriousness,Case 3806
Take in charge ticket,Case 3806
Wait,Case 3806
Assign seriousness,Case 1030
Assign seriousness,Case 1030
Take in charge ticket,Case 1030
Create SW anomaly,Case 1030
Assign seriousness,Case 1798
Assign seriousness,Case 2088
Take in charge ticket,Case 1798
Create SW anomaly,Case 1798
Take in charge ticket,Case 2088
Create SW anomaly,Case 2088
Assign seriousness,Case 765
Assign seriousness,Case 2131
Resolve ticket,Case 1223
Assign seriousness,Case 1191
Take in charge ticket,Case 1191
Wait,Case 1191
Assign seriousness,Case 81
Take in charge ticket,Case 81
Wait,Case 81
Wait,Case 81
Assign seriousness,Case 3918
Assign seriousness,Case 899
Take in charge ticket,Case 899
Create SW anomaly,Case 899
Take in charge ticket,Case 2118
Assign seriousness,Case 1130
Take in charge ticket,Case 1130
Resolve ticket,Case 1130
Assign seriousness,Case 3849
Take in charge ticket,Case 1703
Resolve ticket,Case 1703
Assign seriousness,Case 360
Assign seriousness,Case 3238
Assign seriousness,Case 10
Assign seriousness,Case 864
Assign seriousness,Case 4290
Assign seriousness,Case 2817
Assign seriousness,Case 3168
Assign seriousness,Case 151
Take in charge ticket,Case 151
Resolve ticket,Case 151
Assign seriousness,Case 1652
Assign seriousness,Case 166
Take in charge ticket,Case 404
Resolve ticket,Case 404
Closed,Case 4284
Resolve ticket,Case 3625
Take in charge ticket,Case 765
Closed,Case 3608
Closed,Case 3608
Closed,Case 2748
Closed,Case 1534
Closed,Case 1534
Closed,Case 406
Assign seriousness,Case 2441
Take in charge ticket,Case 2441
Resolve ticket,Case 2441
Take in charge ticket,Case 2915
Resolve ticket,Case 2915
Take in charge ticket,Case 3168
Take in charge ticket,Case 2817
Assign seriousness,Case 2933
Take in charge ticket,Case 1196
Resolve ticket,Case 1196
Closed,Case 1621
Take in charge ticket,Case 4378
Wait,Case 4378
Assign seriousness,Case 2635
Take in charge ticket,Case 2635
Resolve ticket,Case 2635
Assign seriousness,Case 430
Take in charge ticket,Case 430
Resolve ticket,Case 430
Take in charge ticket,Case 3238
Wait,Case 3238
Take in charge ticket,Case 4378
Resolve ticket,Case 2118
Closed,Case 2118
Take in charge ticket,Case 1485
Resolve ticket,Case 1485
Resolve ticket,Case 4378
Assign seriousness,Case 1352
Take in charge ticket,Case 588
Assign seriousness,Case 2979
Take in charge ticket,Case 2933
Resolve ticket,Case 2933
Take in charge ticket,Case 1352
Resolve ticket,Case 1352
Resolve ticket,Case 588
Take in charge ticket,Case 81
Resolve ticket,Case 81
Assign seriousness,Case 3332
Closed,Case 1941
Assign seriousness,Case 2664
Assign seriousness,Case 1399
Take in charge ticket,Case 1399
Resolve ticket,Case 1399
Assign seriousness,Case 3571
Assign seriousness,Case 3571
Wait,Case 3571
Assign seriousness,Case 2865
Take in charge ticket,Case 2865
Resolve ticket,Case 2865
Assign seriousness,Case 2559
Assign seriousness,Case 2559
Take in charge ticket,Case 791
Resolve ticket,Case 791
Assign seriousness,Case 2383
Assign seriousness,Case 3068
Assign seriousness,Case 1701
Insert ticket,Case 4207
Assign seriousness,Case 4392
Assign seriousness,Case 4392
Take in charge ticket,Case 4392
Take in charge ticket,Case 2131
Resolve ticket,Case 2131
Resolve ticket,Case 4392
Take in charge ticket,Case 864
Wait,Case 864
Take in charge ticket,Case 2742
Resolve ticket,Case 2742
Take in charge ticket,Case 3068
Resolve ticket,Case 3068
Assign seriousness,Case 707
Take in charge ticket,Case 707
Resolve ticket,Case 1030
Assign seriousness,Case 1328
Take in charge ticket,Case 1328
Assign seriousness,Case 3185
Take in charge ticket,Case 3185
Assign seriousness,Case 2502
Assign seriousness,Case 1257
