concept:name,case:concept:name
A,0
A,1
B,0
B,1
A,3
C,0
C,1
A,4
D,3
A,0
A,5
A,1
D,4
F,3
A,6
D,0
D,5
F,4
B,1
E,3
A,7
F,0
B,6
A,8
F,5
E,4
C,1
G,3
B,7
E,0
A,9
C,6
D,8
G,4
E,5
A,1
A,10
I,3
C,7
D,9
A,6
G,0
F,8
A,2
A,11
H,4
D,1
G,5
F,9
D,10
A,7
D,6
J,3
I,0
D,2
E,8
H,5
F,1
B,11
F,10
A,13
E,9
F,6
J,0
L,3
F,2
A,14
G,8
E,10
C,11
G,9
B,13
E,1
E,6
K,0
A,15
M,3
E,2
G,10
D,14
I,8
H,9
A,11
C,13
G,1
D,15
G,6
M,0
O,3
I,10
A,17
J,8
G,2
F,14
B,11
A,13
H,1
A,18
F,15
O,0
I,6
B,17
J,10
L,8
H,2
E,14
C,11
A,19
B,13
I,12
D,18
E,15
C,17
L,10
J,6
M,8
A,11
C,13
G,14
D,19
J,12
G,15
A,21
F,18
A,17
D,11
M,10
K,6
N,8
I,14
F,19
A,22
A,13
H,15
L,12
B,21
E,18
O,10
F,11
A,23
B,17
M,6
D,13
B,22
E,19
J,14
M,12
C,21
G,18
E,11
C,17
B,23
F,13
O,6
A,25
C,22
G,19
L,14
I,18
N,12
G,11
A,21
A,26
A,17
C,23
D,21
D,25
I,19
E,13
H,11
A,22
J,18
M,14
A,27
I,20
F,16
D,26
B,17
A,23
F,25
F,21
A,28
G,13
K,18
J,19
B,22
O,14
J,20
D,27
A,29
E,16
F,26
D,23
H,13
C,17
E,25
D,28
E,21
M,18
L,19
C,22
F,27
A,30
L,20
D,24
G,16
D,29
E,26
F,23
G,25
F,28
A,17
A,31
N,18
M,19
G,21
A,22
E,27
B,30
M,20
F,24
I,16
A,32
E,23
G,26
F,29
O,19
B,17
H,21
E,28
B,31
H,25
D,22
G,27
A,33
C,30
O,20
E,24
J,16
D,32
H,26
G,23
E,29
C,31
C,17
A,34
F,22
H,27
G,28
A,30
B,33
G,24
L,16
A,35
H,23
A,31
F,32
G,29
A,17
E,22
D,34
H,28
B,30
C,33
A,36
H,24
M,16
D,31
E,32
D,35
B,17
H,29
A,37
G,22
C,30
A,33
B,36
F,34
F,31
N,16
G,32
F,35
B,37
C,17
H,22
E,34
C,36
A,39
D,33
A,30
E,31
E,35
H,32
C,37
A,40
A,17
G,34
A,36
F,33
D,39
B,30
A,41
G,31
G,35
B,40
A,37
B,17
H,34
E,33
A,42
C,30
F,39
B,36
H,35
D,37
I,31
B,41
C,40
A,43
C,17
B,42
E,39
C,36
G,33
A,44
J,31
F,37
A,40
C,41
D,43
A,17
C,42
A,36
G,39
H,33
E,37
D,44
K,31
D,40
D,17
A,41
A,46
F,43
A,42
I,39
B,36
G,37
F,44
A,47
A,38
F,40
M,31
D,41
E,43
F,17
D,46
C,36
A,48
D,42
J,39
I,37
E,44
B,47
D,38
O,31
E,40
E,17
A,49
F,46
G,43
F,41
A,36
F,42
D,48
J,37
K,39
C,47
A,50
G,44
F,38
G,40
G,17
E,41
B,49
I,43
B,36
E,42
E,46
F,48
A,51
M,39
A,47
K,37
D,50
E,38
H,44
I,45
I,40
G,41
I,17
A,52
C,36
C,49
J,43
G,46
E,48
G,42
D,51
N,39
M,37
D,47
A,53
F,50
J,40
G,38
L,43
A,49
A,36
J,45
G,48
H,42
D,52
J,17
H,41
I,46
F,51
B,53
F,47
K,40
E,50
H,38
O,37
D,49
K,17
M,43
A,55
L,45
F,52
J,46
H,48
E,51
E,47
C,53
A,56
G,50
F,49
M,40
N,43
B,55
M,45
M,17
E,52
K,46
A,57
G,51
A,53
B,56
G,47
H,50
N,40
E,49
N,45
C,55
N,17
B,57
G,52
M,46
