concept:name,case:concept:name
Queued,1-109135791
Accepted,1-147898401
Accepted,1-147898401
Accepted,1-165554831
Accepted,1-172473423
Accepted,1-182640781
Accepted,1-230541365
Accepted,1-236817141
Accepted,1-230541365
Accepted,1-270399977
Accepted,1-270427461
Accepted,1-310231291
Accepted,1-316086072
Queued,1-316086072
Accepted,1-316086072
Accepted,1-320604521
Unmatched,1-320604521
Queued,1-322204195
Accepted,1-322581861
Accepted,1-322980802
Accepted,1-323264491
Accepted,1-323264491
Accepted,1-323462732
Accepted,1-322204195
Accepted,1-322204195
Accepted,1-327329880
Accepted,1-329451027
Accepted,1-329647261
Accepted,1-329647261
Unmatched,1-329451027
Accepted,1-330634474
Accepted,1-330634474
Accepted,1-331478885
Queued,1-332389008
Accepted,1-333164156
Unmatched,1-322581861
Accepted,1-332389008
Accepted,1-335260940
Queued,1-335260940
Accepted,1-165554831
Accepted,1-147898401
Accepted,1-182640781
Accepted,1-172473423
Accepted,1-230541365
Accepted,1-236817141
Accepted,1-270427461
Accepted,1-327329880
Unmatched,1-337229341
Accepted,1-338946805
Accepted,1-339798202
Accepted,1-339889001
Accepted,1-340984229
Unmatched,1-340984229
Accepted,1-341002175
Accepted,1-323462732
Accepted,1-342442140
Accepted,1-345132462
Accepted,1-345255471
Queued,1-345255471
Accepted,1-347461373
Accepted,1-347924629
Accepted,1-347923966
Accepted,1-345132462
Accepted,1-349857482
Accepted,1-351187625
Accepted,1-351314317
Queued,1-351314317
Accepted,1-345132462
Accepted,1-351314317
Accepted,1-351314317
Accepted,1-351869391
Accepted,1-347923966
Queued,1-353818791
Accepted,1-353818791
Accepted,1-354039443
Accepted,1-354039443
Accepted,1-354090772
Accepted,1-354090772
Accepted,1-354039443
Accepted,1-354350908
Accepted,1-354376900
Accepted,1-345132462
Accepted,1-356055231
Accepted,1-356055231
Accepted,1-356879617
Queued,1-356879617
Accepted,1-356879617
Accepted,1-356879617
Accepted,1-356879617
Accepted,1-356879617
Accepted,1-356879617
Accepted,1-356879617
Accepted,1-357087417
Queued,1-357087417
Accepted,1-357087417
Accepted,1-357087417
Accepted,1-357610411
Queued,1-329647261
Queued,1-330634474
Queued,1-356055231
Queued,1-329451027
Accepted,1-329647261
Accepted,1-330634474
Accepted,1-330634474
Accepted,1-329451027
Accepted,1-329451027
Accepted,1-356055231
Accepted,1-356055231
Accepted,1-354090772
Queued,1-354090772
Accepted,1-354090772
Accepted,1-354090772
Accepted,1-354090772
Accepted,1-329647261
Accepted,1-331478885
Accepted,1-331478885
Accepted,1-347923966
Accepted,1-347923966
Accepted,1-358038911
Accepted,1-358776870
Accepted,1-358776870
Accepted,1-359215498
Accepted,1-359781492
Accepted,1-359841262
Accepted,1-359841262
Queued,1-359841262
Accepted,1-359841262
Queued,1-359841262
Accepted,1-359841262
Unmatched,1-358038911
Accepted,1-360072755
Accepted,1-335260940
Unmatched,1-335260940
Accepted,1-360464815
Accepted,1-360667704
Accepted,1-323462732
Accepted,1-361368011
Accepted,1-363041157
Accepted,1-363206822
Accepted,1-363206822
Queued,1-363206822
Accepted,1-363549934
Queued,1-363549934
Accepted,1-363549934
Accepted,1-363549934
Accepted,1-364018090
Accepted,1-364018090
Queued,1-364018090
Accepted,1-364018090
Accepted,1-364018090
Accepted,1-364458525
Accepted,1-364528467
Accepted,1-364528467
Queued,1-364528467
Accepted,1-364528467
Accepted,1-364528467
Accepted,1-365052802
Accepted,1-365052802
Accepted,1-365189372
Unmatched,1-365189372
Accepted,1-365702595
Queued,1-365702595
Queued,1-322204195
Queued,1-322204195
Accepted,1-365702595
Accepted,1-365702595
Accepted,1-322204195
Accepted,1-322204195
Accepted,1-366462246
Accepted,1-366509892
Queued,1-366509892
Accepted,1-366584206
Queued,1-366584206
Accepted,1-366698569
Accepted,1-366726662
Accepted,1-366509892
Accepted,1-366509892
Accepted,1-366584206
Accepted,1-366584206
Accepted,1-366923538
Queued,1-366923538
Accepted,1-366923538
Queued,1-366923538
Accepted,1-367002597
Accepted,1-366923538
Accepted,1-366923538
Accepted,1-360464815
Accepted,1-367648732
Queued,1-367648732
Accepted,1-367648732
Accepted,1-367648732
Accepted,1-367921041
Queued,1-367921041
Accepted,1-366698569
Accepted,1-366698569
Accepted,1-366726662
Accepted,1-366726662
Accepted,1-368322765
Queued,1-368322765
Accepted,1-368322765
Accepted,1-368322765
Accepted,1-368929048
Queued,1-368929048
Accepted,1-368929048
Accepted,1-368929048
Accepted,1-369693874
Queued,1-369693874
Accepted,1-369693874
Accepted,1-369693874
Accepted,1-369989135
Accepted,1-369989135
Queued,1-365052802
Accepted,1-365052802
Unmatched,1-365052802
Accepted,1-370436092
Queued,1-370436092
Accepted,1-370452680
Queued,1-370452680
Accepted,1-369989135
Accepted,1-369989135
Accepted,1-370452680
Accepted,1-370452680
Accepted,1-370436092
Accepted,1-371498622
Queued,1-371498622
Accepted,1-371498622
Accepted,1-371498622
Accepted,1-371631962
Accepted,1-371672096
Queued,1-371672096
Accepted,1-371672096
Accepted,1-371672096
Accepted,1-367921041
Accepted,1-372029512
Unmatched,1-372029512
Accepted,1-372555278
Queued,1-372555278
Accepted,1-372579132
Queued,1-372579132
Accepted,1-372555278
Accepted,1-372555278
Accepted,1-372579132
Accepted,1-372579132
Accepted,1-372858362
Queued,1-372858362
Accepted,1-372858362
Accepted,1-372858362
Accepted,1-372978779
Accepted,1-372978779
Accepted,1-372978779
Queued,1-372978779
Accepted,1-373110819
Queued,1-373110819
Accepted,1-372978779
Accepted,1-372978779
Accepted,1-373110819
Accepted,1-373110819
Accepted,1-373268674
Queued,1-373268674
Accepted,1-373268674
Accepted,1-373268674
Accepted,1-373413519
Queued,1-373413519
Accepted,1-373413971
Queued,1-373413971
Accepted,1-373413519
Accepted,1-373413519
Accepted,1-373413971
Accepted,1-373413971
Queued,1-316086072
Accepted,1-374379174
Accepted,1-374630866
Queued,1-374630866
Accepted,1-374630866
Accepted,1-374630866
Queued,1-374832944
Accepted,1-374832944
Queued,1-374832944
Queued,1-367921041
Accepted,1-375337251
Queued,1-375337251
Queued,1-374832944
Accepted,1-331478885
Accepted,1-375430388
Queued,1-375430388
Accepted,1-375430388
Accepted,1-375430388
Accepted,1-375337251
Accepted,1-375337251
Accepted,1-375644051
Accepted,1-375644051
Accepted,1-375646314
Queued,1-375646314
Accepted,1-375646314
Accepted,1-375646314
Accepted,1-375670011
Accepted,1-376424233
Accepted,1-377083756
Queued,1-377083756
Accepted,1-377083756
Accepted,1-377083756
Accepted,1-377276064
Queued,1-377276064
Accepted,1-377276064
Accepted,1-377276064
Accepted,1-377458451
Queued,1-377458451
Accepted,1-377458451
Accepted,1-377458451
Accepted,1-378054711
Queued,1-378050311
Queued,1-378054711
Accepted,1-378054711
Accepted,1-378054711
Accepted,1-378744625
Queued,1-378744625
Accepted,1-378976624
Queued,1-378976624
Accepted,1-378744625
Accepted,1-378976624
Accepted,1-378976624
Accepted,1-379209685
Accepted,1-377083756
Accepted,1-377083756
Accepted,1-379702919
Queued,1-379702919
Accepted,1-329647261
Accepted,1-379789104
Accepted,1-379789104
Accepted,1-379789104
Accepted,1-379789104
Accepted,1-377083756
Queued,1-374379174
Accepted,1-379789104
Accepted,1-360667704
Accepted,1-379789104
Queued,1-378744625
Accepted,1-374379174
Accepted,1-374379174
Accepted,1-380297615
Accepted,1-380392616
Queued,1-380392616
Accepted,1-380392616
Accepted,1-380392616
Queued,1-377083756
Accepted,1-377083756
Accepted,1-377083756
Accepted,1-377083756
Accepted,1-380527184
Queued,1-380527184
Accepted,1-316086072
Accepted,1-380654568
Queued,1-380654568
Accepted,1-380527184
Accepted,1-380527184
Accepted,1-380654568
Accepted,1-380654568
Accepted,1-380632889
Accepted,1-380885044
Accepted,1-380527184
Accepted,1-380527184
Accepted,1-381124870
Accepted,1-381124870
Accepted,1-380527184
Queued,1-380527184
Accepted,1-380527184
