concept:name,case:concept:name
A,0
A,1
D,0
A,2
D,1
F,0
A,3
D,2
F,1
E,0
B,3
F,2
E,1
A,6
G,0
E,2
C,3
A,7
G,1
D,6
I,0
G,2
A,8
A,3
B,7
F,6
H,1
J,0
A,9
B,8
B,3
C,7
A,10
E,6
D,5
K,0
D,9
C,8
A,11
C,3
B,10
A,7
G,6
A,12
F,9
M,0
F,5
A,8
B,11
C,10
A,3
A,13
D,7
H,6
B,12
E,5
A,10
E,9
D,3
O,0
C,11
A,14
D,8
D,13
B,4
F,7
A,15
G,5
F,3
B,10
C,12
G,9
A,11
F,8
B,14
A,16
F,13
C,4
E,7
B,15
E,3
H,5
C,10
I,9
B,11
A,17
A,12
C,14
D,16
E,13
A,4
G,3
G,7
J,9
A,10
A,18
C,15
B,17
C,11
A,14
A,19
B,12
F,16
D,4
A,15
D,10
I,7
K,9
G,13
B,18
H,3
A,11
C,17
A,20
D,14
C,12
E,16
B,19
D,15
C,18
A,21
M,9
F,10
J,7
F,4
H,13
D,20
D,11
A,17
G,16
A,22
A,12
C,19
A,18
O,9
F,14
E,10
F,15
E,4
B,21
K,7
F,11
F,20
A,23
B,17
I,16
E,14
B,18
B,22
D,12
A,19
M,7
G,10
C,21
G,4
E,15
E,11
E,20
C,17
B,23
A,25
J,16
G,14
H,4
F,12
I,10
C,18
C,22
N,7
D,19
A,21
G,15
C,23
G,11
G,20
B,25
A,17
J,10
H,14
A,18
D,21
E,12
A,22
L,16
H,15
A,27
F,19
A,23
C,25
H,20
I,11
B,17
A,28
L,10
B,22
G,12
F,21
B,18
M,16
E,24
D,27
E,19
B,23
A,29
A,25
J,11
D,28
E,21
M,10
C,17
C,18
C,22
N,16
H,12
A,30
G,24
F,27
G,19
B,25
C,23
L,11
B,29
A,18
N,10
A,31
A,22
F,28
G,21
A,17
B,30
H,24
E,27
A,23
C,29
A,32
H,19
C,25
M,11
B,31
D,18
B,22
I,21
E,28
B,17
C,30
A,33
G,27
B,32
B,23
A,25
O,11
A,29
C,31
C,22
A,34
G,28
F,18
A,30
C,17
D,33
J,21
C,23
I,27
A,35
C,32
D,25
A,31
B,29
D,34
A,22
I,28
E,18
A,17
F,33
B,30
A,36
L,21
J,27
D,35
A,23
A,32
D,31
C,29
F,34
F,25
D,22
G,18
A,37
B,17
E,33
J,28
B,36
C,30
L,27
M,21
F,35
A,29
E,25
D,23
B,32
A,38
F,31
I,18
E,34
D,37
L,28
F,22
A,30
C,17
C,36
G,33
A,39
E,35
M,27
C,32
N,21
F,23
G,25
D,38
E,31
G,34
D,30
J,18
A,40
E,22
M,28
F,37
H,33
A,36
A,17
D,39
A,32
G,35
N,27
A,41
H,25
F,38
G,31
E,23
H,34
D,40
L,18
E,37
O,28
F,30
G,22
D,36
F,39
D,17
A,42
H,35
D,41
D,32
H,31
G,23
E,38
A,43
F,40
G,37
M,18
E,30
E,39
H,22
B,42
F,36
F,17
F,41
F,32
A,44
I,23
E,40
H,37
D,43
N,18
G,38
E,36
G,30
C,42
G,39
E,17
A,45
E,41
B,44
E,32
J,23
G,40
A,46
F,43
G,36
I,30
I,38
G,17
H,39
A,42
D,45
G,41
C,26
G,32
A,47
C,44
L,23
I,40
D,46
E,43
J,30
J,38
H,36
H,41
D,42
A,48
H,17
F,45
A,26
A,44
I,32
M,23
B,47
F,46
A,49
K,38
J,40
G,43
K,30
D,48
B,26
E,45
F,42
D,44
N,23
A,50
J,32
B,49
C,47
E,46
L,40
M,38
M,30
F,48
C,26
A,51
G,45
D,50
F,44
G,46
A,47
M,40
C,49
L,32
N,38
E,48
O,30
A,26
D,51
I,45
E,44
A,53
F,50
M,32
I,46
G,48
A,49
O,40
D,47
D,26
A,54
J,45
G,44
