concept:name,case:concept:name
A,0
A,1
F,0
A,2
B,1
A,3
D,0
F,2
C,1
A,4
F,3
E,0
D,2
A,5
A,1
B,4
D,3
A,6
G,0
B,5
E,2
F,1
C,4
E,3
F,6
I,0
A,8
C,5
G,2
D,1
A,4
G,3
D,6
J,0
B,8
A,5
I,2
E,1
A,10
B,4
H,3
E,6
A,11
L,0
B,5
G,1
C,8
J,2
C,4
B,10
A,12
G,6
M,0
B,11
C,5
L,2
A,4
H,1
A,13
A,8
C,10
B,12
E,9
H,6
A,14
F,4
C,11
O,0
M,2
A,5
F,13
F,8
A,10
A,15
C,12
G,9
D,4
F,14
O,2
A,11
D,13
B,5
B,10
A,16
D,8
A,12
B,15
H,9
D,14
B,11
C,5
E,4
A,17
E,13
C,10
B,16
F,12
E,8
C,15
A,18
A,5
G,4
E,14
C,11
G,13
B,17
D,7
A,10
G,8
A,15
D,12
C,16
F,5
F,18
E,7
A,11
I,4
G,14
C,17
I,13
B,15
B,10
I,8
E,12
A,16
A,21
D,5
D,18
G,7
H,14
F,11
J,4
A,17
C,15
J,8
A,22
C,10
J,13
G,12
F,16
B,21
E,5
E,18
I,7
A,23
K,4
F,17
A,15
F,22
L,8
A,10
L,13
E,19
G,18
A,24
D,16
H,12
G,5
C,21
J,7
B,23
E,20
B,15
M,4
D,22
D,17
A,25
F,10
M,13
G,19
M,8
F,24
E,16
I,5
A,21
A,26
K,7
O,4
C,15
C,23
G,20
E,22
D,10
N,13
B,25
H,19
E,17
D,24
G,16
O,8
J,5
A,27
B,21
B,26
M,7
A,15
G,17
G,22
A,23
H,20
A,28
H,16
E,24
E,10
C,25
K,5
B,27
C,21
C,26
N,7
A,29
F,15
H,22
I,17
B,23
B,28
G,24
A,25
G,10
A,30
M,5
C,27
A,26
B,29
A,21
D,15
C,23
J,17
B,25
A,31
C,28
H,24
B,30
A,27
H,10
F,26
O,5
C,29
B,21
A,32
A,23
L,17
C,25
E,15
A,28
B,31
B,27
A,33
D,26
A,29
C,30
C,21
B,32
F,23
G,15
M,17
A,34
A,25
B,28
C,27
C,31
B,33
A,30
E,26
F,29
A,21
A,35
C,32
D,23
N,17
A,27
H,15
F,34
F,25
C,28
A,31
G,26
A,36
C,33
B,30
F,21
D,29
A,32
B,35
E,23
A,37
B,27
D,25
I,26
D,34
B,36
A,28
F,31
A,33
C,30
D,21
C,35
B,32
A,38
G,23
C,27
B,37
E,25
J,26
E,34
D,31
A,39
C,36
B,28
F,33
E,21
A,30
A,35
F,38
C,32
I,23
A,40
C,37
K,26
A,27
G,34
G,25
C,28
E,31
A,36
B,39
D,33
B,30
G,21
A,41
B,35
D,38
A,32
J,23
B,40
M,26
B,27
I,25
A,37
H,34
G,31
A,42
B,36
C,39
A,28
E,33
H,21
C,30
C,35
B,41
E,38
L,23
C,40
B,32
A,43
N,26
F,42
C,27
B,37
H,31
J,25
C,36
G,33
A,35
A,39
A,30
F,28
C,41
A,44
G,38
B,43
A,27
A,40
C,32
L,25
M,23
D,42
C,37
A,45
A,36
F,35
I,33
B,39
D,28
F,44
A,41
F,30
C,43
H,38
B,40
A,46
M,25
N,23
E,42
F,27
A,32
A,37
B,45
B,36
E,28
D,35
J,33
C,39
D,30
A,47
D,44
D,27
A,43
N,25
C,40
F,41
F,46
B,32
G,42
F,37
C,36
C,45
A,48
G,28
E,35
A,39
B,47
E,30
K,33
F,43
A,40
E,44
E,27
C,32
D,41
D,46
A,49
D,37
A,36
H,42
G,35
F,48
A,45
M,33
B,39
H,28
C,47
G,27
D,43
A,50
G,30
F,40
G,44
A,32
F,49
E,46
E,41
B,36
O,33
B,45
D,48
A,51
E,37
I,35
C,39
B,50
A,47
E,43
H,27
H,30
D,40
D,49
