concept:name,case:concept:name
A,0
A,1
B,0
A,2
F,1
C,0
A,3
F,2
D,1
A,4
A,0
F,3
A,5
D,2
E,1
F,4
B,0
D,3
A,6
F,5
E,2
G,1
A,7
E,3
C,0
B,6
D,4
A,8
D,5
G,2
H,1
B,7
A,0
G,3
E,4
C,6
A,9
F,8
E,5
A,10
B,0
G,4
A,6
I,3
C,7
F,9
D,8
A,11
G,5
C,0
H,4
F,10
J,3
A,7
D,9
F,6
A,12
E,8
F,11
I,5
A,13
F,12
A,0
D,10
L,3
E,9
D,6
D,11
A,14
G,8
J,5
D,12
F,13
M,3
B,0
A,15
G,9
E,11
B,14
E,6
H,8
L,5
A,16
D,13
O,3
C,0
E,12
H,9
C,14
G,11
G,6
B,15
A,17
M,5
F,16
G,12
E,13
A,0
C,15
A,14
A,18
H,11
H,6
F,17
N,5
G,13
A,19
H,12
F,0
D,16
B,14
A,15
B,18
A,20
D,17
I,13
D,0
B,19
C,14
E,16
A,21
F,15
C,18
E,17
B,20
J,13
E,0
A,22
A,14
C,19
G,16
D,15
B,21
G,0
G,17
A,23
C,20
A,18
K,13
I,16
B,22
A,19
E,15
F,14
C,21
A,24
I,0
H,17
B,23
A,20
M,13
A,25
C,22
J,16
B,19
A,21
G,15
J,0
B,24
C,23
A,26
O,13
F,20
L,16
F,25
A,22
H,15
A,27
C,19
K,0
B,21
C,24
F,26
A,23
D,20
M,16
A,28
D,25
B,22
A,24
B,27
M,0
A,19
C,21
B,23
D,26
A,29
E,20
C,22
E,25
B,28
O,16
C,27
B,24
A,30
A,21
E,26
O,0
F,19
C,23
G,20
F,29
A,22
A,31
G,25
C,28
A,27
C,24
B,21
F,30
G,26
A,23
A,32
H,20
D,29
F,22
B,31
F,27
H,25
A,24
C,21
A,28
A,33
D,30
B,32
I,26
B,23
D,22
D,27
E,29
A,34
C,31
F,28
B,24
F,33
A,21
E,30
C,32
A,35
J,26
A,31
C,23
E,22
G,29
E,27
B,34
C,24
D,28
A,36
D,33
G,30
F,35
A,32
A,23
F,31
L,26
G,22
H,29
G,27
E,28
B,36
C,34
A,24
E,33
D,35
H,30
F,32
B,23
M,26
A,38
D,31
H,22
I,27
C,36
G,28
A,39
A,34
E,35
F,24
D,32
G,33
F,38
E,31
C,23
N,26
J,27
A,40
A,36
B,39
D,38
B,34
H,28
G,35
H,33
D,24
E,32
A,41
A,23
G,31
K,27
F,40
B,36
C,39
A,42
C,34
E,38
G,32
H,35
E,24
B,23
F,41
H,31
A,43
D,40
M,27
A,39
F,42
C,36
A,34
G,38
I,32
A,44
D,41
G,24
C,23
B,43
E,40
O,27
F,34
A,45
D,42
I,38
A,36
B,39
B,44
A,23
J,32
I,24
C,43
G,40
J,38
F,36
E,42
F,45
C,39
C,44
E,37
L,32
F,23
A,47
J,24
A,43
H,40
L,38
D,36
G,42
A,39
D,45
M,32
G,37
A,44
D,23
F,47
K,24
B,43
A,49
E,36
M,38
H,42
O,32
B,39
B,44
M,24
A,50
I,37
D,47
E,23
C,43
G,36
F,49
O,38
A,51
C,44
C,39
O,24
J,37
B,50
A,43
G,23
E,47
A,52
D,49
H,36
A,44
A,39
F,51
A,53
L,37
B,43
C,50
I,23
F,52
G,47
E,49
A,54
B,44
B,53
F,39
D,51
A,50
M,37
D,52
J,23
G,49
C,43
I,47
A,55
E,46
C,44
B,54
I,48
C,53
D,39
A,56
E,51
B,50
O,37
L,23
H,49
A,43
B,55
G,46
J,47
A,44
A,57
C,54
J,48
A,53
M,23
E,39
G,51
C,50
B,56
F,43
A,58
C,55
B,44
I,46
L,47
B,57
A,54
B,53
H,51
A,59
L,48
G,39
N,23
J,46
B,58
D,43
C,56
C,44
A,55
M,47
A,60
C,57
L,46
