concept:name,case:concept:name
Activity A,0
Activity AR,0
Activity BV,0
Activity CA,0
Activity BX,0
Activity A,1
Activity AR,1
Activity CF,0
Activity AT,1
Activity CD,0
Activity AU,1
Activity CC,0
Activity AV,1
Activity CH,0
Activity AS,1
Activity CG,0
Activity CI,1
Activity BZ,0
Activity CE,0
Activity CQ,1
Activity CR,1
Activity BY,0
Activity CK,1
Activity CB,0
Activity CO,1
Activity BW,0
Activity CN,1
Activity AS,0
Activity CM,1
Activity CI,0
Activity CP,1
Activity CQ,0
Activity CL,1
Activity CR,0
Activity CK,0
Activity CJ,1
Activity CS,1
Activity CN,0
Activity CP,0
Activity CX,1
Activity CO,0
Activity CV,1
Activity CM,0
Activity CW,1
Activity CU,1
Activity CL,0
Activity CT,1
Activity CJ,0
Activity CY,1
Activity A,2
Activity CS,0
Activity B,1
Activity AR,2
Activity BI,2
Activity CW,0
Activity CV,0
Activity BO,2
Activity CU,0
Activity BM,2
Activity CX,0
Activity BN,2
Activity BP,2
Activity CT,0
Activity BK,2
Activity CY,0
Activity BL,2
Activity A,3
Activity B,0
Activity C,3
Activity BJ,2
Activity D,3
Activity BQ,2
Activity D,3
Activity B,3
Activity BT,2
Activity BU,2
Activity BS,2
Activity BR,2
Activity AS,2
Activity CI,2
Activity A,4
Activity CK,2
Activity AR,4
Activity CQ,2
Activity BV,4
Activity CM,2
Activity BX,4
Activity CN,2
Activity BZ,4
Activity CO,2
Activity CH,4
Activity CP,2
Activity BY,4
Activity CR,2
Activity CA,4
Activity CL,2
Activity CG,4
Activity CF,4
Activity CJ,2
Activity CE,4
Activity CS,2
Activity CD,4
Activity CC,4
Activity CW,2
Activity CU,2
Activity CB,4
Activity CX,2
Activity CV,2
Activity BW,4
Activity AS,4
Activity CT,2
Activity CI,4
Activity CY,2
Activity B,2
Activity CK,4
Activity CQ,4
Activity CO,4
Activity CR,4
Activity CN,4
Activity A,5
Activity CP,4
Activity AR,5
Activity CM,4
Activity BV,5
Activity CL,4
Activity BZ,5
Activity BX,5
Activity CJ,4
Activity CA,5
Activity CS,4
Activity CE,5
Activity CW,4
Activity CH,5
Activity CU,4
Activity CC,5
Activity A,6
Activity CV,4
Activity BY,5
Activity C,6
Activity CX,4
Activity CG,5
Activity D,6
Activity CF,5
Activity B,6
Activity CT,4
Activity CD,5
Activity CY,4
Activity B,4
Activity CB,5
Activity BW,5
Activity AS,5
Activity CI,5
Activity CK,5
Activity CQ,5
Activity CN,5
Activity CP,5
Activity CO,5
Activity CR,5
Activity CM,5
Activity CL,5
Activity CJ,5
Activity CS,5
Activity CV,5
Activity CX,5
Activity CU,5
Activity CW,5
Activity CT,5
Activity CY,5
Activity B,5
Activity A,7
Activity AR,7
Activity BI,7
Activity BO,7
Activity BL,7
Activity BP,7
Activity BK,7
Activity BN,7
Activity BM,7
Activity BJ,7
Activity BQ,7
Activity A,8
Activity BT,7
Activity E,8
Activity BS,7
Activity G,8
Activity BU,7
Activity L,8
Activity BR,7
Activity J,8
Activity AS,7
Activity K,8
Activity CI,7
Activity I,8
Activity M,8
Activity CK,7
Activity CQ,7
Activity H,8
Activity CR,7
Activity F,8
Activity T,8
Activity CO,7
Activity AB,8
Activity CM,7
Activity CN,7
Activity AD,8
Activity CP,7
Activity AE,8
Activity CL,7
Activity AC,8
Activity U,8
Activity CJ,7
Activity AF,8
Activity CS,7
Activity A,9
Activity AH,8
Activity C,9
Activity CV,7
Activity AI,8
Activity D,9
Activity CX,7
Activity AJ,8
Activity D,9
Activity CW,7
Activity AK,8
Activity B,9
Activity CU,7
Activity AM,8
Activity CT,7
Activity AN,8
Activity CY,7
Activity AQ,8
Activity B,7
Activity AO,8
Activity AP,8
Activity AL,8
Activity AG,8
Activity B,8
Activity A,10
Activity C,10
Activity D,10
Activity B,10
Activity A,11
Activity C,11
Activity D,11
Activity B,11
Activity A,12
Activity AR,12
Activity AT,12
Activity AU,12
Activity AV,12
Activity AS,12
Activity CI,12
Activity CQ,12
Activity CR,12
Activity CK,12
Activity CO,12
Activity CP,12
Activity CM,12
Activity CN,12
Activity CL,12
Activity CJ,12
Activity CS,12
Activity CW,12
Activity CX,12
Activity CU,12
Activity CV,12
Activity CV,12
Activity CT,12
Activity CY,12
Activity B,12
Activity A,13
Activity C,13
Activity D,13
Activity B,13
Activity A,14
Activity AR,14
Activity AX,14
Activity AZ,14
Activity BA,14
Activity AY,14
Activity BB,14
Activity BF,14
Activity BD,14
Activity BH,14
Activity BG,14
Activity BE,14
Activity BC,14
Activity AS,14
Activity CI,14
Activity CK,14
Activity CO,14
Activity CM,14
Activity CQ,14
Activity CN,14
Activity CR,14
Activity CP,14
Activity CL,14
Activity A,15
Activity C,15
Activity CJ,14
Activity D,15
Activity CS,14
Activity B,15
Activity CU,14
Activity CX,14
Activity CV,14
Activity CW,14
Activity CT,14
Activity CY,14
Activity B,14
Activity A,16
Activity C,16
Activity D,16
Activity B,16
Activity A,17
Activity E,17
Activity N,17
Activity O,17
Activity F,17
Activity T,17
Activity V,17
Activity U,17
Activity AF,17
Activity AH,17
Activity AI,17
Activity AJ,17
Activity AK,17
Activity AM,17
Activity AQ,17
Activity AO,17
Activity AN,17
Activity AP,17
Activity AL,17
Activity AG,17
Activity B,17
Activity A,18
Activity AR,18
Activity BV,18
Activity CH,18
Activity CA,18
Activity CF,18
Activity CE,18
Activity BX,18
Activity CC,18
Activity BZ,18
Activity CD,18
Activity BY,18
Activity CG,18
Activity CB,18
Activity BW,18
Activity AS,18
Activity CI,18
Activity CQ,18
Activity CK,18
Activity CR,18
Activity CP,18
Activity CN,18
Activity CO,18
Activity CM,18
Activity CL,18
Activity CJ,18
Activity CS,18
Activity CW,18
Activity CV,18
Activity CU,18
Activity CX,18
Activity CT,18
Activity CY,18
Activity B,18
Activity A,19
Activity AR,19
Activity AW,19
Activity AS,19
Activity CI,19
Activity A,20
Activity C,20
Activity CK,19
Activity D,20
Activity B,20
Activity CM,19
Activity CO,19
Activity CN,19
Activity CP,19
Activity CQ,19
Activity CR,19
Activity CL,19
Activity CJ,19
Activity CS,19
Activity CU,19
Activity CX,19
Activity CV,19
Activity A,21
Activity CW,19
Activity C,21
Activity D,21
Activity CT,19
Activity B,21
Activity CY,19
Activity B,19
Activity A,22
Activity AR,22
Activity AX,22
Activity BA,22
Activity AZ,22
Activity AY,22
Activity BB,22
Activity BF,22
Activity A,23
Activity BE,22
Activity AR,23
Activity BG,22
Activity AW,23
Activity BH,22
Activity AS,23
Activity BD,22
Activity CI,23
Activity BC,22
Activity CQ,23
Activity AS,22
Activity CK,23
Activity CI,22
Activity CR,23
Activity CQ,22
Activity CN,23
Activity CK,22
Activity CM,23
Activity CP,23
Activity CO,22
Activity CO,23
Activity CP,22
Activity CM,22
Activity CL,23
Activity CN,22
Activity CR,22
Activity CJ,23
Activity CS,23
Activity CL,22
Activity CX,23
Activity CJ,22
Activity CW,23
Activity CS,22
Activity CU,23
Activity CV,23
Activity CU,22
Activity CX,22
Activity A,24
Activity CT,23
Activity CV,22
Activity E,24
Activity CU,23
Activity CW,22
Activity R,24
Activity CV,23
Activity S,24
Activity CT,23
Activity CT,22
Activity F,24
Activity CY,23
Activity CY,22
Activity T,24
Activity B,23
Activity B,22
Activity AB,24
Activity AD,24
Activity AE,24
Activity AC,24
Activity U,24
Activity AF,24
Activity AH,24
Activity AI,24
Activity AJ,24
Activity AJ,24
Activity AK,24
Activity AN,24
Activity AM,24
Activity AP,24
Activity AQ,24
Activity AO,24
Activity AL,24
Activity AG,24
Activity B,24
Activity A,25
Activity AR,25
Activity BV,25
Activity BZ,25
Activity CA,25
Activity CH,25
Activity CD,25
Activity CE,25
Activity CC,25
Activity CG,25
Activity CF,25
Activity BX,25
Activity BY,25
Activity CB,25
Activity BW,25
Activity AS,25
Activity CI,25
Activity CQ,25
Activity CK,25
Activity CP,25
Activity CO,25
Activity CM,25
Activity CR,25
Activity CN,25
Activity CL,25
Activity CJ,25
Activity CS,25
Activity CX,25
Activity CU,25
Activity CV,25
Activity CW,25
Activity CT,25
Activity CY,25
Activity B,25
Activity A,26
Activity C,26
Activity A,27
Activity D,26
Activity E,27
Activity B,26
Activity P,27
Activity Q,27
Activity F,27
Activity T,27
Activity AB,27
Activity AD,27
Activity AE,27
Activity AC,27
Activity U,27
Activity AF,27
Activity AI,27
Activity AJ,27
Activity A,28
Activity AH,27
Activity C,28
Activity AK,27
Activity D,28
Activity B,28
Activity AM,27
Activity AQ,27
Activity AN,27
Activity AP,27
Activity AO,27
Activity AL,27
Activity AG,27
Activity B,27
Activity A,29
Activity AR,29
Activity BI,29
Activity BP,29
Activity BO,29
Activity BN,29
Activity BK,29
Activity BL,29
Activity BM,29
Activity BJ,29
Activity BQ,29
Activity BU,29
Activity BS,29
Activity BT,29
Activity BR,29
Activity AS,29
Activity CI,29
Activity A,30
Activity CK,29
Activity AR,30
Activity AX,30
Activity CP,29
Activity CM,29
Activity BA,30
Activity CQ,29
Activity AZ,30
Activity CN,29
Activity CO,29
Activity AY,30
Activity CR,29
Activity BB,30
Activity CL,29
Activity BG,30
Activity BF,30
Activity CJ,29
Activity BD,30
Activity CS,29
Activity BH,30
Activity BE,30
Activity CV,29
Activity CW,29
Activity BC,30
Activity CU,29
Activity AS,30
Activity CX,29
Activity CI,30
Activity CT,29
Activity CQ,30
Activity CY,29
Activity CR,30
Activity B,29
Activity CK,30
Activity CM,30
Activity CN,30
Activity CO,30
Activity CP,30
Activity CL,30
Activity CJ,30
Activity CS,30
Activity CV,30
Activity CX,30
Activity CU,30
Activity CW,30
Activity CT,30
Activity CY,30
Activity B,30
Activity A,31
Activity E,31
Activity G,31
Activity L,31
Activity J,31
Activity K,31
Activity I,31
Activity M,31
Activity H,31
Activity F,31
Activity T,31
Activity W,31
Activity X,31
Activity U,31
Activity AF,31
Activity AI,31
Activity AH,31
Activity AJ,31
Activity AK,31
Activity AP,31
Activity AO,31
Activity AQ,31
Activity AM,31
Activity AN,31
Activity AL,31
Activity AG,31
Activity B,31
Activity A,32
Activity AR,32
Activity AW,32
Activity AS,32
Activity CI,32
Activity CQ,32
Activity CK,32
Activity CR,32
Activity CM,32
Activity CO,32
Activity CP,32
Activity CN,32
Activity CL,32
Activity CJ,32
Activity CS,32
Activity CX,32
Activity CU,32
Activity CV,32
Activity CW,32
Activity CT,32
Activity CY,32
Activity B,32
Activity A,33
Activity AR,33
Activity AX,33
Activity BA,33
Activity AZ,33
Activity AY,33
Activity BB,33
Activity BG,33
Activity BH,33
Activity BE,33
Activity BF,33
Activity BD,33
Activity BC,33
Activity AS,33
Activity CI,33
Activity CK,33
Activity CN,33
Activity CO,33
Activity CM,33
Activity CQ,33
Activity CP,33
Activity CR,33
Activity CL,33
Activity CJ,33
Activity CS,33
Activity CU,33
Activity CX,33
Activity CW,33
Activity CV,33
Activity CT,33
Activity CY,33
Activity B,33
Activity A,34
Activity C,34
Activity D,34
Activity B,34
Activity A,35
Activity E,35
Activity G,35
Activity L,35
Activity I,35
Activity J,35
Activity K,35
Activity M,35
Activity H,35
Activity F,35
Activity T,35
Activity V,35
Activity U,35
Activity AF,35
Activity AI,35
Activity AJ,35
Activity AK,35
Activity AH,35
Activity AP,35
Activity AO,35
Activity AN,35
Activity AQ,35
Activity AM,35
Activity AL,35
Activity AG,35
Activity B,35
Activity A,36
Activity C,36
Activity C,36
Activity D,36
Activity B,36
Activity A,37
Activity E,37
Activity N,37
Activity O,37
Activity A,38
Activity F,37
Activity C,38
Activity T,37
Activity D,38
Activity W,37
Activity B,38
Activity X,37
Activity U,37
Activity AF,37
Activity AI,37
Activity AH,37
Activity AJ,37
Activity AK,37
Activity AO,37
Activity AP,37
Activity AN,37
Activity AQ,37
Activity AM,37
Activity AL,37
Activity AG,37
Activity B,37
Activity A,39
Activity C,39
Activity C,39
Activity D,39
Activity B,39
Activity A,40
Activity E,40
Activity G,40
Activity J,40
Activity K,40
Activity M,40
Activity I,40
Activity L,40
Activity H,40
Activity F,40
Activity A,41
Activity T,40
Activity A,41
Activity Z,40
Activity C,41
Activity AA,40
Activity D,41
Activity U,40
Activity B,41
Activity AF,40
Activity AH,40
Activity AI,40
Activity AJ,40
Activity AK,40
Activity AP,40
Activity AN,40
Activity AM,40
Activity AQ,40
Activity AO,40
Activity AL,40
Activity AG,40
Activity B,40
Activity A,42
Activity C,42
Activity D,42
Activity B,42
Activity A,43
Activity AR,43
Activity BV,43
Activity CA,43
Activity CF,43
Activity CH,43
Activity CC,43
Activity A,44
Activity CE,43
Activity E,44
Activity CD,43
Activity P,44
Activity BZ,43
Activity Q,44
Activity CG,43
Activity F,44
Activity BX,43
Activity T,44
Activity BY,43
Activity Z,44
Activity AA,44
Activity CB,43
Activity U,44
Activity AF,44
Activity BW,43
Activity AS,43
Activity AI,44
Activity CI,43
Activity AJ,44
Activity AH,44
Activity CQ,43
Activity AK,44
Activity CR,43
Activity A,45
Activity CK,43
Activity AM,44
Activity E,45
Activity AP,44
Activity N,45
Activity CP,43
Activity AN,44
Activity O,45
Activity CO,43
Activity AQ,44
Activity F,45
Activity CM,43
Activity AO,44
Activity T,45
Activity CN,43
Activity Y,45
Activity AL,44
Activity U,45
Activity CL,43
Activity AF,45
Activity AG,44
Activity CJ,43
Activity B,44
Activity AI,45
Activity CS,43
Activity AJ,45
Activity AH,45
Activity CW,43
Activity AK,45
Activity CU,43
Activity CV,43
Activity AO,45
Activity CX,43
Activity AM,45
Activity AN,45
Activity CT,43
Activity AQ,45
Activity CY,43
Activity AP,45
Activity B,43
Activity AL,45
Activity AG,45
Activity B,45
Activity A,46
Activity E,46
Activity R,46
Activity S,46
Activity F,46
Activity T,46
Activity W,46
Activity A,47
Activity X,46
Activity E,47
Activity U,46
Activity N,47
Activity AF,46
Activity O,47
Activity F,47
Activity AI,46
Activity T,47
Activity U,46
Activity W,47
Activity AF,46
Activity X,47
Activity U,47
Activity AI,46
Activity AF,47
Activity AJ,46
Activity AK,46
Activity AI,47
Activity AQ,46
Activity AH,47
Activity AP,46
Activity AJ,47
Activity AN,46
Activity AK,47
Activity AM,46
Activity A,48
Activity AM,47
Activity C,48
Activity AQ,47
Activity AO,46
Activity D,48
Activity AP,47
Activity AH,46
Activity B,48
Activity AN,47
Activity AL,46
Activity AO,47
Activity AG,46
Activity B,46
Activity AL,47
Activity AG,47
Activity B,47
Activity A,49
Activity AR,49
Activity A,50
Activity AT,49
Activity AR,50
Activity AU,49
Activity BV,50
Activity AV,49
Activity AS,49
Activity BX,50
Activity CI,49
Activity CH,50
Activity CA,50
Activity CQ,49
Activity BY,50
Activity CK,49
Activity CR,49
Activity CF,50
Activity CD,50
Activity CP,49
Activity BZ,50
Activity CO,49
Activity CE,50
Activity CM,49
Activity CC,50
Activity A,51
Activity CN,49
Activity CG,50
Activity C,51
Activity D,51
Activity CL,49
Activity CB,50
Activity B,51
Activity CJ,49
Activity BW,50
Activity CS,49
Activity AS,50
Activity CI,50
Activity CU,49
Activity CX,49
Activity CQ,50
Activity CW,49
Activity CR,50
Activity CV,49
Activity CK,50
Activity CT,49
Activity CP,50
Activity CY,49
Activity CM,50
Activity B,49
Activity CN,50
Activity CO,50
Activity CL,50
Activity CJ,50
Activity CS,50
Activity CU,50
Activity CW,50
Activity CX,50
Activity CV,50
Activity CT,50
Activity CY,50
Activity B,50
Activity A,52
Activity C,52
Activity D,52
Activity B,52
Activity A,53
Activity E,53
Activity A,54
Activity N,53
Activity E,54
Activity O,53
Activity G,54
Activity F,53
Activity T,53
Activity I,54
Activity V,53
Activity K,54
Activity U,53
Activity L,54
Activity AF,53
Activity M,54
Activity J,54
Activity AI,53
Activity AJ,53
Activity H,54
Activity AH,53
Activity F,54
Activity AK,53
Activity T,54
Activity W,54
Activity AO,53
Activity X,54
Activity AQ,53
Activity U,54
Activity AM,53
Activity AF,54
Activity AP,53
Activity AN,53
Activity AI,54
Activity AH,54
Activity AL,53
Activity AJ,54
Activity AK,54
Activity AG,53
Activity B,53
Activity AQ,54
Activity AN,54
Activity AO,54
Activity A,55
Activity AM,54
Activity AR,55
Activity AP,54
Activity AW,55
Activity AS,55
Activity AL,54
Activity CI,55
Activity AG,54
Activity CK,55
Activity B,54
Activity CQ,55
Activity CR,55
Activity CN,55
Activity CO,55
Activity CP,55
Activity A,56
Activity CM,55
Activity C,56
Activity D,56
Activity CL,55
Activity B,56
Activity CJ,55
Activity CS,55
Activity CV,55
Activity CU,55
Activity CW,55
Activity CX,55
Activity CT,55
Activity CY,55
Activity B,55
Activity A,57
Activity E,57
Activity N,57
Activity O,57
Activity F,57
Activity T,57
Activity Y,57
Activity U,57
Activity AF,57
Activity AI,57
Activity AH,57
Activity AJ,57
Activity AK,57
Activity AO,57
Activity AP,57
Activity AM,57
Activity AN,57
Activity AQ,57
Activity AL,57
Activity A,58
Activity AG,57
Activity AR,58
Activity B,57
Activity AX,58
Activity AZ,58
Activity A,59
Activity BA,58
Activity AR,59
Activity AW,59
Activity AY,58
Activity AS,59
Activity BB,58
Activity CI,59
Activity BE,58
Activity CQ,59
Activity BH,58
Activity CR,59
Activity BG,58
Activity CK,59
Activity BF,58
Activity BD,58
Activity CM,59
Activity CP,59
Activity BC,58
Activity CO,59
Activity AS,58
Activity CN,59
Activity CI,58
Activity CL,59
Activity CQ,58
Activity CK,58
Activity CJ,59
Activity CS,59
Activity CM,58
Activity CN,58
Activity CV,59
Activity CR,58
Activity CX,59
Activity CO,58
Activity CW,59
Activity CP,58
Activity CU,59
Activity CL,58
Activity CT,59
Activity CY,59
Activity CJ,58
Activity B,59
Activity CS,58
Activity A,60
Activity CX,58
Activity A,61
Activity AR,60
Activity CV,58
Activity E,61
Activity AT,60
Activity CU,58
Activity P,61
Activity AU,60
Activity CW,58
Activity Q,61
Activity AV,60
Activity F,61
Activity AS,60
Activity CT,58
Activity T,61
Activity CI,60
Activity CY,58
Activity Y,61
Activity B,58
Activity U,61
Activity A,62
Activity CK,60
Activity AF,61
Activity AR,62
Activity AW,62
Activity CP,60
Activity AI,61
Activity AS,62
Activity CQ,60
Activity AJ,61
Activity CI,62
Activity CM,60
Activity AH,61
Activity CO,60
Activity AK,61
Activity CQ,62
Activity CN,60
Activity CR,62
Activity AN,61
Activity CK,62
Activity CL,60
Activity AP,61
Activity CR,60
Activity AM,61
Activity CO,62
Activity AQ,61
Activity CP,62
Activity CJ,60
Activity AO,61
Activity CM,62
Activity CS,60
Activity CN,62
Activity AL,61
Activity CX,60
Activity A,63
Activity CL,62
Activity CU,60
Activity C,63
Activity AG,61
Activity CW,60
Activity D,63
Activity B,61
Activity CJ,62
Activity CV,60
Activity B,63
Activity CS,62
Activity CT,60
Activity CV,62
Activity CY,60
Activity CU,62
Activity B,60
Activity CX,62
Activity CW,62
Activity CT,62
Activity CY,62
Activity B,62
Activity A,64
Activity AR,64
Activity BI,64
Activity BL,64
Activity BO,64
Activity BK,64
Activity BP,64
Activity BN,64
Activity BM,64
Activity BJ,64
Activity BQ,64
Activity BT,64
Activity BU,64
Activity BS,64
Activity BR,64
Activity AS,64
Activity CI,64
Activity CQ,64
Activity CK,64
Activity CR,64
Activity CO,64
Activity CM,64
Activity CN,64
Activity CP,64
Activity CL,64
Activity CJ,64
Activity CS,64
Activity A,65
Activity AR,65
Activity CX,64
Activity AT,65
Activity CV,64
Activity A,66
Activity AU,65
Activity A,67
Activity CU,64
Activity E,66
Activity AV,65
Activity C,67
Activity CW,64
Activity G,66
Activity AS,65
Activity D,67
Activity CI,65
Activity B,67
Activity CT,64
Activity J,66
Activity CY,64
Activity I,66
Activity CQ,65
Activity B,64
Activity K,66
Activity CR,65
Activity M,66
