concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
F,2
C,1
A,4
A,0
F,3
A,5
D,2
A,1
F,4
D,3
A,6
B,0
F,5
E,2
A,7
F,1
E,3
D,4
F,6
C,0
D,5
A,8
G,2
D,1
F,7
E,4
G,3
A,0
A,9
D,6
B,8
E,5
H,2
A,10
E,1
D,7
G,4
B,9
F,0
E,6
I,3
G,5
C,8
A,11
E,7
G,1
I,4
B,10
G,6
C,9
A,12
D,0
J,3
H,5
A,8
F,11
A,13
G,7
J,4
I,1
C,10
B,12
A,9
E,0
H,6
L,3
B,8
A,14
D,11
L,4
B,13
I,7
J,1
B,9
A,15
C,12
A,10
M,3
G,0
C,8
B,14
E,11
M,4
A,16
C,13
J,7
B,15
A,12
C,9
B,10
L,1
N,3
A,8
C,14
I,0
A,17
N,4
G,11
A,13
B,16
C,15
K,7
B,8
F,12
A,18
M,1
C,10
A,9
J,0
A,14
B,17
A,19
F,13
H,11
F,18
C,16
C,8
D,12
N,1
A,15
M,7
A,10
F,9
L,0
A,20
B,14
C,17
D,13
F,19
D,18
O,7
A,21
A,16
A,8
F,15
F,10
E,12
M,0
D,9
C,14
B,20
A,22
E,13
A,17
D,19
E,18
B,21
F,8
D,10
F,16
G,12
D,15
A,14
O,0
A,23
E,9
C,20
G,13
E,19
B,22
F,17
E,10
A,24
G,18
H,12
D,16
D,8
C,21
E,15
B,14
F,23
G,9
A,20
I,13
A,25
D,17
C,22
G,19
F,24
G,10
I,18
C,14
G,15
E,8
E,16
A,21
A,26
E,17
H,9
D,23
J,13
F,20
B,25
A,22
D,24
I,19
I,10
J,18
A,27
G,16
B,21
H,15
A,14
B,26
G,8
D,20
E,23
G,17
J,19
E,24
F,22
K,13
C,25
A,28
J,10
F,27
K,18
C,21
F,14
H,16
C,26
A,29
H,8
E,20
H,17
G,23
L,19
M,13
F,28
G,24
D,22
A,25
M,18
L,10
A,21
A,30
D,27
D,14
A,26
G,20
B,29
D,28
M,19
N,13
I,23
E,22
A,31
H,24
N,18
B,25
B,21
M,10
B,30
E,27
E,14
C,29
B,26
A,32
E,28
I,20
G,22
N,19
J,23
B,31
C,25
C,30
N,10
G,27
A,33
C,21
G,14
C,26
L,23
A,29
I,22
F,32
G,28
J,20
A,34
C,31
A,25
A,30
F,33
I,27
A,21
H,14
M,23
A,35
J,22
A,26
H,28
K,20
D,32
B,29
D,33
B,25
F,34
F,30
A,31
J,27
A,36
B,21
M,20
N,23
L,22
B,35
F,26
C,29
E,33
A,37
C,25
E,32
B,31
D,34
D,30
K,27
B,36
C,21
O,20
A,38
A,29
M,22
C,35
D,26
G,33
A,25
E,34
C,31
B,37
G,32
E,30
M,27
A,39
B,29
C,36
A,21
A,35
F,38
N,22
H,33
E,26
A,40
A,31
F,25
G,34
N,27
C,37
C,29
G,30
B,39
H,32
B,21
D,38
B,35
A,36
A,41
G,26
H,34
A,37
B,40
D,25
A,29
B,31
I,30
C,39
A,42
C,35
E,38
C,21
F,41
B,36
H,26
A,43
F,37
C,40
B,29
E,25
C,31
B,42
J,30
A,39
A,35
A,21
D,41
G,38
C,36
A,44
F,43
C,29
D,37
G,25
A,40
A,31
C,42
L,30
A,45
F,35
F,21
E,41
F,39
A,36
F,44
H,38
A,46
D,43
E,37
H,25
A,42
B,40
A,29
F,45
M,30
D,39
B,31
D,35
B,36
G,41
D,21
A,47
D,44
E,43
B,46
F,42
G,37
F,29
D,45
C,40
N,30
A,48
E,39
C,36
E,35
C,31
I,41
E,21
E,44
F,47
D,42
G,43
A,49
E,45
D,29
C,46
I,37
A,40
F,48
G,39
G,35
A,31
J,41
A,36
A,50
G,44
G,21
D,47
E,42
F,49
H,43
E,29
G,45
