concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
B,2
C,1
A,4
B,3
A,0
C,2
A,1
B,4
C,3
A,6
F,0
A,2
B,1
A,7
A,3
C,4
F,6
F,2
D,0
A,8
C,1
F,7
A,4
D,6
B,3
A,9
E,0
D,2
A,1
B,8
E,6
D,7
A,10
F,4
B,9
C,3
G,0
F,5
A,11
E,2
F,1
C,8
G,6
E,7
B,10
D,4
C,9
A,3
D,5
I,0
B,11
C,10
D,1
G,2
A,8
A,13
E,4
G,7
H,6
A,9
E,5
J,0
B,3
A,14
C,11
H,2
E,1
B,13
A,10
F,8
H,7
G,4
G,5
K,0
C,3
B,9
A,15
A,11
G,1
C,13
B,14
A,16
F,10
D,8
H,5
M,0
C,9
A,3
B,15
I,4
F,11
A,17
A,13
H,1
D,10
E,8
C,14
B,3
F,16
O,0
C,15
F,12
J,4
A,9
F,17
D,11
E,10
G,8
D,16
A,19
C,3
A,14
D,12
K,4
A,15
D,17
B,9
E,11
E,16
H,8
B,19
G,10
B,14
A,3
E,12
A,21
M,4
E,17
G,11
B,15
C,9
C,19
G,16
G,12
H,10
C,14
A,22
B,21
B,3
O,4
G,17
A,23
A,9
C,15
A,19
I,16
H,11
A,14
F,22
C,21
H,12
C,3
A,24
H,17
B,23
B,9
D,22
F,14
A,21
A,25
J,16
B,19
A,3
F,24
I,18
C,9
C,23
A,26
B,3
C,19
E,22
K,16
D,14
F,21
B,25
A,27
D,24
J,18
A,23
F,26
A,9
C,3
A,19
E,14
D,21
A,28
M,16
G,22
B,27
C,25
E,24
F,23
B,9
L,18
D,26
A,29
A,3
F,19
H,22
G,14
B,28
E,21
N,16
C,27
A,25
G,24
A,30
D,23
C,9
M,18
E,26
B,29
F,3
D,19
I,14
G,21
A,31
B,25
C,28
A,27
O,18
A,9
B,30
I,24
G,26
E,23
A,32
C,29
D,20
E,19
J,14
D,3
I,21
F,31
C,25
F,27
C,30
A,28
A,33
J,24
F,9
I,26
B,32
G,23
E,20
A,29
J,21
K,14
G,19
E,3
A,34
D,31
A,25
A,30
L,24
D,27
F,33
J,26
D,9
C,32
H,23
G,20
A,35
K,21
B,29
M,14
I,19
E,31
F,34
G,3
M,24
E,27
F,25
B,30
A,36
D,33
K,26
E,9
I,20
A,32
C,29
M,21
B,35
D,34
O,14
J,19
A,37
O,24
G,31
H,3
D,25
C,30
G,27
F,36
M,26
E,33
J,20
B,32
G,9
A,38
C,35
N,21
E,34
A,29
L,19
E,25
F,37
I,31
I,27
A,30
D,36
O,26
I,9
C,32
G,33
L,20
G,34
F,29
A,35
B,38
J,27
J,31
D,37
G,25
A,40
M,19
F,30
E,36
J,9
A,41
M,20
H,33
D,29
C,38
F,35
I,34
A,32
L,31
O,19
I,25
L,27
E,37
B,40
D,30
A,42
G,36
L,9
N,20
D,35
B,41
A,38
J,34
E,29
J,25
B,32
M,31
A,43
M,27
G,37
E,30
C,40
F,42
H,36
M,9
E,35
C,41
A,44
K,34
F,38
G,29
C,32
O,31
N,27
L,25
B,43
A,40
I,37
G,30
A,45
D,42
N,9
B,44
G,35
D,38
A,41
J,37
M,34
M,25
H,29
A,46
I,30
A,32
B,40
C,43
I,39
F,45
E,42
A,47
I,35
C,44
F,41
B,32
E,38
N,34
K,37
N,25
J,30
B,46
C,40
A,43
J,39
A,48
G,42
D,45
F,47
J,35
K,30
A,44
G,38
M,37
C,46
D,41
A,49
C,32
A,40
L,39
E,45
B,48
H,42
L,35
A,50
D,47
M,30
H,38
B,44
O,37
A,46
A,32
B,49
E,41
M,39
B,40
C,48
G,45
B,50
O,30
E,47
M,35
B,32
C,44
B,46
C,49
A,52
G,41
N,39
A,48
H,45
C,40
C,50
O,35
