concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
C,0
A,3
D,2
F,1
A,4
D,3
A,0
A,5
F,2
B,4
E,1
F,3
A,6
B,0
E,2
C,4
B,5
G,1
A,7
E,3
B,6
C,0
A,8
G,2
I,1
A,4
C,5
D,7
G,3
C,6
A,9
A,0
H,2
B,8
F,7
A,5
J,1
D,4
A,10
A,6
B,9
B,0
A,11
E,7
K,1
B,5
C,8
D,10
F,4
D,6
C,0
A,12
C,9
D,11
G,7
C,5
A,8
M,1
A,13
E,4
F,10
F,6
D,12
A,9
A,0
F,11
I,7
A,14
A,5
D,8
N,1
D,13
E,10
G,4
E,6
F,12
D,0
E,11
B,9
J,7
B,5
F,13
D,14
F,8
A,16
G,10
H,4
G,11
G,6
E,12
F,0
C,5
K,7
A,17
C,9
E,13
E,8
I,10
F,14
D,16
G,12
I,11
A,18
I,6
E,0
G,13
M,7
A,5
B,17
A,9
J,10
G,8
F,16
E,14
A,19
J,11
H,12
D,18
G,0
J,6
O,7
A,20
B,5
I,13
G,14
C,17
K,10
B,9
H,8
D,19
K,11
E,16
A,21
K,6
D,20
F,18
H,0
J,13
F,19
A,17
C,9
H,14
M,11
G,16
A,22
M,10
B,21
M,6
F,20
E,19
E,18
K,13
A,23
A,9
D,17
E,15
N,11
N,10
B,22
A,24
C,21
E,20
G,19
N,6
G,18
M,13
D,9
B,23
G,15
F,17
A,25
C,22
D,24
H,19
G,20
N,13
A,21
I,18
A,26
F,9
C,23
I,15
B,25
E,17
A,22
F,24
A,27
I,20
D,26
J,18
C,25
E,9
D,21
J,15
A,23
G,17
A,28
E,24
B,22
D,27
J,20
A,29
A,25
G,9
F,26
K,18
F,21
L,15
I,17
B,28
C,22
D,23
G,24
F,27
A,30
K,20
E,26
B,25
B,29
H,9
E,21
M,18
A,31
J,17
C,28
A,22
M,15
F,23
H,24
D,30
M,20
E,27
G,26
A,32
G,21
C,25
K,17
N,18
C,29
A,28
B,31
O,15
B,22
F,30
E,23
O,20
G,27
A,25
H,26
A,29
I,21
B,32
M,17
D,28
C,22
C,31
G,23
E,30
I,27
B,25
J,21
C,32
N,17
D,29
F,28
A,22
H,23
A,31
G,30
J,27
K,21
C,25
A,32
F,29
D,22
E,28
B,31
I,30
K,27
A,25
M,21
B,32
G,28
F,22
E,29
C,31
J,30
M,27
B,25
C,32
G,29
O,21
E,22
I,28
L,30
N,27
C,25
A,32
G,22
I,29
J,28
M,30
A,25
B,32
I,22
J,29
L,28
N,30
C,32
J,22
B,25
K,29
M,28
C,25
L,22
A,32
N,28
M,29
M,22
A,25
N,29
B,32
B,25
N,22
C,32
C,25
A,32
A,25
B,32
B,25
C,32
C,25
A,32
A,25
B,32
B,25
C,32
C,25
A,32
A,25
B,32
B,25
C,32
C,25
A,32
A,25
D,32
B,25
F,32
C,25
E,32
A,25
G,32
B,25
I,32
C,25
J,32
A,25
K,32
D,25
M,32
F,25
N,32
E,25
G,25
H,25
A,33
A,34
P,33
P,34
E,33
A,37
E,34
F,33
A,38
F,34
P,37
A,39
D,33
B,38
A,40
D,34
E,37
B,39
P,33
A,41
C,38
B,40
G,34
F,37
C,39
A,42
P,41
E,33
A,38
C,40
A,43
I,34
D,37
A,39
P,42
E,41
A,44
F,33
P,38
A,40
P,43
P,37
B,39
E,42
J,34
A,45
P,44
F,41
E,38
D,33
P,40
E,43
A,46
C,39
K,34
P,45
E,37
D,36
F,42
E,44
D,41
A,47
F,38
E,40
G,33
P,46
D,42
F,43
M,34
E,45
G,36
A,48
F,44
F,37
A,39
G,41
P,35
D,38
B,47
I,33
F,40
A,49
E,46
G,42
P,48
D,43
D,37
F,45
P,39
H,41
O,34
G,38
D,44
I,36
C,47
E,35
