concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
F,2
C,1
A,4
F,3
A,0
D,2
A,5
A,1
F,4
D,3
A,6
E,2
B,0
B,5
F,1
A,7
D,4
E,3
B,6
G,2
C,0
C,5
A,8
D,1
B,7
E,4
G,3
A,9
C,6
I,2
B,8
E,1
A,0
A,5
A,10
G,4
C,7
A,6
H,3
F,9
J,2
C,8
A,11
B,5
G,1
F,0
F,10
A,7
I,4
D,9
A,12
B,6
K,2
F,11
C,5
I,1
A,8
D,0
D,10
A,13
E,9
F,12
J,4
F,7
M,2
C,6
J,1
A,14
D,11
A,5
B,8
E,0
F,13
E,10
D,12
G,9
A,15
L,4
D,7
A,6
O,2
K,1
E,11
C,8
F,5
B,14
G,10
G,0
A,16
E,12
D,13
B,15
I,9
M,4
G,11
B,6
M,1
D,5
A,17
E,7
A,8
C,14
F,16
H,10
E,13
I,0
G,12
C,15
A,18
N,1
N,4
I,11
C,6
J,9
B,8
B,17
G,7
A,14
E,5
D,16
G,13
A,19
J,0
A,15
B,18
I,12
J,11
A,6
L,9
B,14
C,17
C,8
A,20
I,7
G,5
E,16
B,19
L,0
C,18
I,13
J,12
B,15
A,21
K,11
M,9
C,14
A,8
B,6
J,7
A,17
I,5
B,20
G,16
M,0
A,22
C,19
B,21
A,18
J,13
K,12
C,15
M,11
O,9
B,8
C,6
A,14
L,7
A,23
B,17
J,5
B,22
O,0
A,19
C,21
C,20
K,13
I,16
F,18
A,15
M,12
A,24
C,8
N,11
A,6
F,14
M,7
F,23
K,5
F,19
C,17
C,22
A,20
A,21
A,25
D,18
M,13
J,16
B,15
N,12
A,8
F,24
D,14
A,26
O,7
F,6
D,23
A,17
M,5
A,22
D,19
E,18
B,21
B,25
K,16
B,20
O,13
C,15
A,27
E,14
F,8
D,24
E,23
D,6
F,22
F,26
C,21
N,5
E,19
G,18
C,25
B,17
M,16
A,28
C,20
B,27
A,15
G,14
D,8
E,24
E,6
G,23
D,22
A,29
D,26
C,17
A,25
I,18
N,16
A,21
G,19
A,20
F,28
C,27
F,15
E,8
A,30
I,14
H,23
G,24
E,22
G,6
E,26
F,29
I,19
A,17
F,25
F,21
J,18
F,20
A,31
D,28
A,27
D,15
B,30
G,8
J,14
I,24
G,22
D,21
A,32
D,29
I,6
G,26
B,31
D,25
L,18
F,17
D,20
E,28
J,19
C,30
B,27
A,33
I,8
K,14
E,15
J,24
F,32
E,21
E,29
J,6
I,26
H,22
D,17
E,25
C,31
M,18
E,20
G,28
A,34
K,19
F,33
A,30
C,27
J,8
G,15
M,14
L,24
D,32
A,35
L,6
G,29
J,26
A,31
G,21
E,17
N,18
G,25
I,28
G,20
F,34
M,19
L,8
H,15
N,14
D,33
A,27
A,36
F,30
E,32
M,24
H,29
B,35
G,17
L,26
M,6
H,21
F,31
I,20
I,25
A,37
D,34
J,28
B,27
N,19
O,24
M,8
D,30
E,33
G,32
F,36
I,17
C,35
A,38
J,20
M,26
D,31
N,6
E,34
C,27
J,25
B,37
K,28
E,30
A,39
N,8
H,32
G,33
J,17
A,35
D,36
F,38
L,20
E,31
N,26
A,27
G,34
G,30
A,40
C,37
L,25
M,28
F,39
B,35
K,17
E,36
I,33
A,41
D,38
G,31
M,20
H,30
B,27
F,40
N,28
H,34
M,25
A,37
A,42
D,39
B,41
C,35
J,33
G,36
I,31
N,20
M,17
E,38
O,25
C,27
D,40
A,43
F,37
K,33
F,42
C,41
E,39
J,31
A,35
A,44
H,36
N,17
G,38
E,40
B,43
A,27
D,37
A,45
A,41
F,44
M,33
K,31
D,42
G,39
H,38
F,35
G,40
F,27
C,43
A,46
E,37
D,44
M,31
F,41
B,45
N,33
E,42
A,47
H,39
I,40
