concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
F,2
C,1
A,0
B,3
D,2
A,5
A,1
B,0
A,6
E,2
C,3
F,5
F,1
A,7
C,0
F,6
D,5
A,8
G,2
A,3
D,1
B,7
A,0
A,9
D,6
E,5
B,8
I,2
F,3
E,1
C,7
A,10
E,6
B,0
F,9
G,5
C,8
J,2
A,11
I,4
D,3
A,7
G,1
B,10
A,12
G,6
D,9
C,0
H,5
L,2
J,4
A,8
F,11
F,7
I,1
A,13
E,3
C,10
B,12
L,4
A,0
E,9
B,8
M,2
H,6
D,11
A,14
J,1
D,7
F,13
A,10
G,3
A,15
C,12
M,4
B,0
F,14
G,9
N,2
C,8
E,11
L,1
D,13
A,16
E,7
F,10
I,3
B,15
A,12
D,14
C,0
N,4
H,9
G,11
A,8
M,1
B,16
G,7
J,3
D,10
C,15
E,13
E,14
A,0
F,12
F,8
K,3
I,11
E,10
O,1
A,19
I,7
C,16
A,15
G,13
F,0
G,14
D,12
A,20
M,3
J,11
G,10
B,19
D,8
J,7
A,16
H,13
D,0
F,15
A,21
I,14
E,12
F,20
L,11
E,8
I,10
C,19
L,7
O,3
A,22
F,16
D,15
F,21
J,14
E,18
E,0
A,23
G,12
G,8
D,20
A,19
M,7
M,11
J,10
F,22
D,16
G,0
E,15
D,21
K,14
A,24
G,18
B,23
I,8
N,7
H,12
E,16
D,22
B,19
O,11
A,25
I,0
M,14
L,10
G,15
H,18
I,17
E,21
F,24
C,23
J,8
A,26
C,19
E,22
G,16
J,17
B,25
J,0
O,14
D,24
A,27
G,21
H,15
M,10
A,23
L,8
A,19
B,26
G,22
H,16
C,25
A,28
E,24
L,0
L,17
F,27
F,23
I,21
M,8
I,22
O,10
A,29
F,19
C,26
G,24
F,28
A,25
M,0
D,27
A,30
J,22
J,21
N,8
B,29
M,17
D,23
D,19
A,26
H,24
A,31
B,25
D,28
O,0
B,30
E,27
E,23
C,29
L,22
O,17
L,21
F,26
A,32
E,19
B,31
C,25
E,28
C,30
A,29
A,33
G,27
M,22
G,23
M,21
D,26
F,32
G,19
C,31
A,34
A,30
G,28
A,25
F,33
I,27
O,22
O,21
B,29
D,32
E,26
I,23
H,19
B,30
A,31
F,34
H,28
A,36
D,33
J,27
C,29
J,23
G,26
E,32
C,30
B,31
D,34
L,27
B,36
E,33
A,29
K,23
A,38
H,26
A,30
G,32
C,31
E,34
M,27
G,33
A,39
C,36
E,35
B,29
F,38
M,23
B,30
A,31
A,40
O,27
I,32
G,34
A,36
B,39
C,29
G,35
A,41
C,30
B,31
F,40
E,37
D,38
N,23
J,32
F,36
C,39
B,41
A,29
H,35
C,31
E,38
D,40
A,43
D,36
L,32
G,37
A,39
F,29
C,41
A,44
A,31
F,43
H,37
G,38
M,32
E,40
A,45
F,39
B,44
D,29
A,41
B,31
D,43
I,38
O,32
A,46
G,40
B,45
D,39
C,44
B,41
E,29
E,43
A,47
C,31
B,46
J,38
H,40
C,45
E,39
A,48
G,43
A,44
C,41
F,47
G,29
A,31
C,46
K,38
A,49
I,42
A,45
F,48
G,39
B,44
H,43
D,47
I,29
A,41
A,50
B,49
F,31
A,46
M,38
J,42
D,48
F,45
A,51
H,39
J,29
F,50
C,44
E,47
D,31
C,49
B,41
F,46
N,38
E,48
D,45
A,52
L,42
E,31
F,51
K,29
D,46
A,44
G,47
D,50
A,49
C,41
G,48
E,45
B,52
M,42
D,51
A,54
G,31
M,29
B,49
B,44
E,50
A,41
E,46
H,47
G,45
C,52
H,48
A,55
N,42
E,51
H,31
O,29
G,50
C,49
B,41
G,46
C,44
B,54
A,56
I,45
A,52
F,55
A,57
G,51
I,50
A,44
B,56
A,49
C,54
H,46
C,41
J,45
