concept:name,case:concept:name
A,0
A,1
D,0
A,2
D,1
D,2
F,0
F,1
A,4
F,2
E,0
A,5
E,1
B,4
E,2
A,6
D,5
G,1
G,0
A,7
C,4
G,2
E,3
D,6
F,5
A,8
A,4
H,1
D,7
I,0
H,2
A,9
G,3
F,6
B,4
E,5
B,8
F,7
J,0
A,10
D,9
E,6
C,4
H,3
C,8
A,11
G,5
L,0
D,10
E,7
F,9
G,6
A,12
A,4
A,8
D,11
M,0
F,10
H,5
A,13
G,7
B,12
H,6
E,9
D,4
D,8
A,14
N,0
F,11
E,10
B,13
H,7
F,4
C,12
G,9
A,15
F,8
B,14
E,11
G,10
I,9
C,13
A,16
E,4
D,15
A,12
C,14
A,17
E,8
A,13
G,11
I,10
J,9
B,16
F,15
D,12
G,4
A,18
G,8
A,14
D,17
D,13
L,9
A,19
I,11
J,10
C,16
F,12
H,4
E,15
D,14
D,18
F,17
H,8
A,20
F,13
M,9
K,10
D,19
J,11
A,16
A,21
E,12
G,15
E,17
E,13
B,20
F,14
O,9
F,18
M,10
A,22
F,19
K,11
B,21
D,16
G,12
G,17
G,13
C,20
E,14
A,23
E,18
N,10
B,22
E,19
M,11
A,24
C,21
F,16
H,13
I,12
H,17
D,23
A,20
G,14
G,18
C,22
A,25
G,19
A,21
B,24
O,11
E,16
J,12
I,14
A,26
F,23
H,18
B,25
B,21
H,19
A,22
C,24
A,27
G,16
L,12
J,14
D,26
E,23
C,25
C,21
D,22
A,28
A,24
D,27
I,16
M,12
A,29
F,26
L,14
G,23
A,25
A,21
F,22
B,28
D,24
F,27
J,16
O,12
E,26
M,14
D,29
B,25
I,23
E,22
B,21
A,31
C,28
F,24
C,25
E,27
A,32
J,23
N,14
L,16
G,26
C,21
F,29
G,22
D,31
E,24
A,28
A,33
A,25
G,27
D,32
M,16
L,23
A,21
I,26
E,29
F,31
A,34
H,22
D,28
G,24
B,33
F,32
B,25
M,23
D,21
A,35
N,16
J,26
G,29
E,31
C,33
B,34
H,24
F,28
A,36
N,23
F,21
E,32
C,25
D,35
K,26
I,29
A,37
G,31
A,33
C,34
E,28
B,36
G,32
E,21
I,30
A,25
F,35
J,29
M,26
I,31
B,37
G,28
D,33
C,36
A,34
A,39
H,32
J,30
G,21
D,25
E,35
C,37
K,29
J,31
A,40
N,26
I,28
A,36
F,33
K,30
B,34
B,39
H,21
F,25
A,41
G,35
M,29
A,37
L,31
D,40
E,33
J,28
D,36
M,30
C,39
A,42
C,34
B,41
E,25
O,29
M,31
E,38
H,35
D,37
A,43
G,33
D,42
K,28
F,40
F,36
O,30
A,39
A,34
A,44
O,31
G,25
C,41
F,37
G,38
H,33
B,43
F,42
E,36
M,28
E,40
A,45
D,34
B,44
A,41
H,25
E,37
H,38
D,39
C,43
A,46
E,42
G,36
G,40
N,28
B,45
F,34
F,39
A,47
C,44
D,41
G,37
A,43
B,46
G,42
I,36
I,40
A,48
C,45
E,34
B,47
A,44
E,39
B,43
F,41
I,37
C,46
A,49
A,45
J,36
I,42
G,39
B,48
G,34
C,47
J,40
E,41
D,44
A,50
C,43
B,49
J,37
A,46
B,45
J,42
L,36
A,51
C,48
H,34
I,39
A,47
L,40
G,41
F,44
C,49
B,50
A,43
L,37
A,52
C,45
K,42
B,46
M,36
D,51
A,48
M,40
B,47
H,41
J,39
E,44
A,53
A,49
D,43
M,37
C,50
D,52
A,45
I,42
C,46
N,36
F,51
A,54
B,48
O,40
D,53
G,44
F,43
C,47
L,39
D,49
N,37
A,50
A,55
A,46
M,42
F,52
B,45
E,51
F,53
B,54
C,48
I,44
E,43
A,56
A,47
M,39
F,49
B,55
B,50
O,42
C,45
B,46
E,52
A,57
C,54
J,44
G,51
G,43
A,48
N,39
