concept:name,case:concept:name
A,0
A,1
F,0
A,2
B,1
D,0
A,3
F,2
C,1
A,4
E,0
B,3
A,5
D,2
B,4
A,1
G,0
C,3
A,6
E,2
B,1
B,5
A,7
C,4
I,0
A,3
B,6
A,8
G,2
C,1
C,5
B,7
J,0
A,4
F,3
A,9
C,6
A,1
I,2
C,7
F,8
A,5
L,0
F,4
A,10
D,3
B,9
A,11
J,2
A,6
B,1
A,7
D,8
M,0
B,5
D,4
F,10
A,12
E,3
C,9
F,7
E,8
C,1
K,2
B,11
B,6
D,10
A,13
E,4
C,5
O,0
G,3
F,12
A,9
A,14
M,2
D,7
C,6
G,8
G,4
C,11
A,1
E,10
B,13
A,5
A,15
D,12
I,3
O,2
B,9
E,7
B,14
I,4
B,1
I,8
A,6
A,11
A,16
G,10
F,5
C,13
E,12
J,3
F,15
J,4
G,7
A,17
C,14
C,9
J,8
B,6
B,11
C,1
B,16
I,10
A,13
D,5
G,12
A,18
K,3
B,17
H,7
K,4
D,15
A,9
A,14
K,8
C,6
J,10
A,19
C,16
C,11
A,1
B,13
F,18
E,5
H,12
C,17
M,3
E,15
M,4
B,9
F,14
A,20
M,8
A,6
F,19
A,16
C,13
K,10
D,18
F,1
G,5
A,11
A,21
D,14
A,17
C,9
B,20
O,3
G,15
O,4
F,6
D,19
A,22
A,13
O,8
B,16
M,10
H,5
D,1
E,18
B,11
B,21
E,14
F,17
A,9
I,15
C,20
A,23
F,13
E,19
F,22
O,10
D,6
G,18
C,16
E,1
C,21
A,24
C,11
B,23
J,15
D,17
F,9
G,14
A,20
A,25
G,19
E,6
D,22
D,13
G,1
A,21
H,18
A,16
C,23
B,24
A,11
E,17
D,9
B,20
K,15
A,26
I,14
F,25
E,22
G,6
H,19
F,21
B,16
E,13
I,1
A,27
A,23
C,24
E,9
G,17
B,11
M,15
C,20
F,26
J,14
D,25
C,16
H,6
A,28
G,22
D,21
G,13
J,1
N,15
B,27
I,17
G,9
A,24
B,23
D,26
A,20
C,11
A,29
K,14
F,28
E,21
I,22
A,16
E,25
I,13
C,27
L,1
C,23
A,30
J,17
H,9
F,24
B,20
B,29
A,11
E,26
G,21
M,14
J,22
G,25
D,28
F,16
A,31
J,13
M,1
K,17
A,23
A,27
B,30
B,11
D,24
C,20
A,32
C,29
K,22
E,28
G,26
I,21
I,25
D,16
O,1
F,31
N,14
F,23
K,13
F,27
M,17
C,11
A,33
C,30
E,24
M,22
A,20
H,26
G,28
J,21
B,32
A,29
A,34
M,13
J,25
D,31
E,16
O,17
A,30
F,33
D,23
D,27
A,11
O,22
K,21
G,24
A,35
B,20
I,28
F,29
C,32
F,34
N,13
F,30
E,31
L,25
E,23
G,16
E,27
A,36
B,11
D,33
I,24
F,35
J,28
A,32
D,29
C,20
M,21
D,34
A,37
G,31
M,25
D,30
I,16
G,27
G,23
B,36
E,33
C,11
E,29
L,28
D,35
J,24
A,38
A,20
N,21
B,32
I,31
N,25
E,34
I,23
E,30
F,37
H,27
C,36
G,33
J,16
A,39
A,11
F,20
G,29
F,38
M,28
K,24
C,32
G,34
J,31
A,40
G,30
D,37
J,23
H,33
L,16
B,11
D,20
A,36
B,39
D,38
I,29
M,24
A,41
N,28
A,32
H,34
F,40
L,31
I,30
B,36
E,37
E,20
K,23
A,42
C,11
M,16
C,39
J,29
F,41
E,38
N,24
F,32
D,40
M,31
A,43
M,23
G,37
C,36
G,20
B,42
J,30
A,11
L,29
N,16
A,44
D,41
G,38
A,39
E,40
D,32
O,31
N,23
B,43
H,37
A,45
K,30
A,36
I,20
B,11
C,42
B,44
E,41
F,39
H,38
M,29
E,32
G,40
A,46
C,43
B,45
F,36
C,11
A,42
J,20
C,44
A,47
M,30
D,39
G,41
