concept:name,case:concept:name
A,0
A,1
D,0
D,1
A,3
F,0
F,1
A,4
B,3
E,0
A,5
E,1
B,4
C,3
G,0
A,6
B,5
G,1
C,4
A,7
H,0
D,6
A,3
A,8
A,4
H,1
C,5
B,7
B,3
F,6
A,9
I,2
D,8
A,5
B,4
C,7
A,10
C,3
E,6
D,9
F,8
J,2
A,11
A,7
D,5
C,4
D,10
A,3
G,6
E,8
F,9
D,11
L,2
D,7
F,5
A,4
A,13
F,10
B,3
H,6
E,9
F,11
G,8
A,14
M,2
E,5
F,7
B,13
D,4
E,10
A,15
C,3
G,9
D,14
E,11
O,2
I,8
G,5
C,13
A,16
F,4
G,10
B,15
A,3
F,14
H,9
G,11
A,17
J,8
I,5
A,13
D,16
H,10
E,4
A,18
B,3
C,15
E,14
D,17
H,11
K,8
J,5
A,19
F,16
B,13
G,4
D,18
G,14
A,15
C,3
F,17
A,20
L,5
M,8
B,19
C,13
F,18
A,21
I,4
B,15
E,12
A,3
I,14
E,17
D,20
A,13
C,19
N,8
M,5
E,18
B,3
B,21
J,4
C,15
G,12
G,17
A,23
J,14
F,20
A,19
N,5
B,13
G,18
A,24
K,4
A,15
C,21
C,3
H,17
B,23
I,12
K,14
E,20
A,25
C,13
D,19
H,18
M,4
B,24
A,21
D,15
A,3
A,26
G,20
M,14
F,19
J,12
C,23
A,13
B,25
A,27
N,4
B,21
C,24
F,15
D,3
L,12
O,14
H,20
D,26
A,23
A,28
C,25
E,19
E,15
B,13
D,27
C,21
F,3
A,24
A,29
F,26
M,12
B,23
G,19
D,28
A,25
C,13
F,27
I,22
G,15
A,30
E,3
A,21
B,24
B,29
E,26
O,12
C,23
A,31
H,19
F,28
E,27
I,15
J,22
A,13
B,25
G,3
D,30
C,29
B,21
A,32
C,24
G,26
A,23
B,31
E,28
G,27
C,25
D,13
I,3
J,15
L,22
A,33
A,29
C,21
F,30
B,32
A,24
I,26
C,31
A,34
I,27
B,23
J,3
D,29
A,25
L,15
E,30
M,22
G,28
F,13
B,33
A,21
C,32
J,26
D,24
B,34
K,3
A,31
J,27
C,33
C,23
F,29
A,36
M,15
D,25
G,30
D,21
N,22
I,28
E,13
L,26
A,32
C,34
A,37
A,33
F,24
B,31
L,27
M,3
A,23
J,28
F,21
D,36
N,15
F,25
I,30
G,13
A,38
A,34
M,26
B,32
D,33
C,31
D,37
E,24
N,3
B,23
M,27
F,36
A,39
E,21
E,25
J,30
K,28
H,13
B,34
C,32
D,38
N,26
F,33
A,40
O,27
A,31
F,37
C,23
B,39
G,24
G,21
E,36
G,25
L,30
C,34
M,28
A,32
A,41
F,38
E,33
D,40
G,36
E,37
H,25
B,31
H,21
C,39
H,24
A,23
A,42
M,30
A,34
D,32
O,28
E,38
G,33
D,41
C,31
F,40
H,36
A,39
G,37
B,42
D,23
O,30
D,34
F,32
A,44
G,38
H,33
F,41
A,31
B,39
I,37
E,40
A,45
F,23
C,42
E,32
F,34
D,44
D,31
E,41
I,38
A,46
C,39
J,37
E,23
G,40
A,42
G,32
B,45
E,34
F,44
A,47
G,41
J,38
B,46
F,31
G,23
I,32
A,48
L,37
A,39
C,45
H,40
B,42
G,34
C,46
D,47
E,44
I,41
K,38
E,31
A,35
C,42
J,32
A,45
B,48
D,39
H,34
H,23
M,37
F,47
M,38
A,50
A,46
G,44
J,41
G,31
B,35
A,42
C,48
K,32
D,45
A,51
F,39
N,37
E,47
D,50
D,46
I,44
N,38
L,41
I,31
A,52
E,43
C,35
A,48
D,42
M,32
B,51
E,39
F,45
F,50
G,47
F,46
A,53
J,44
M,41
G,43
B,52
A,35
J,31
B,48
O,32
F,42
A,54
C,51
E,50
H,47
E,45
G,39
D,53
O,41
E,46
L,44
I,43
