concept:name,case:concept:name
Accepted,1-364285768
Accepted,1-364285768
Queued,1-364285768
Accepted,1-364285768
Queued,1-364285768
Accepted,1-364285768
Completed,1-364285768
Queued,1-364285768
Accepted,1-364285768
Queued,1-364285768
Accepted,1-364285768
Accepted,1-364285768
Accepted,1-467153946
Accepted,1-467153946
Queued,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Queued,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-503573772
Accepted,1-503573772
Queued,1-503573772
Accepted,1-503573772
Queued,1-503573772
Accepted,1-503573772
Queued,1-503573772
Accepted,1-504538555
Accepted,1-504538555
Queued,1-504538555
Accepted,1-504538555
Queued,1-504538555
Accepted,1-504538555
Accepted,1-504538555
Accepted,1-504538555
Queued,1-504538555
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-506071646
Queued,1-506071646
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-512795200
Accepted,1-512795200
Queued,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-467153946
Queued,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Accepted,1-467153946
Completed,1-512795200
Accepted,1-467153946
Accepted,1-467153946
Queued,1-467153946
Accepted,1-512795200
Accepted,1-512795200
Queued,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-467153946
Accepted,1-516553982
Accepted,1-516553982
Queued,1-516553982
Accepted,1-516553982
Queued,1-516553982
Accepted,1-516553982
Accepted,1-516553982
Accepted,1-516553982
Accepted,1-516553982
Accepted,1-516553982
Queued,1-516553982
Accepted,1-516553982
Queued,1-516553982
Accepted,1-516553982
Queued,1-516553982
Accepted,1-522528740
Accepted,1-522528740
Queued,1-522528740
Accepted,1-522528740
Queued,1-522528740
Accepted,1-522528740
Accepted,1-522528740
Accepted,1-522528740
Queued,1-522528740
Accepted,1-503573772
Accepted,1-504538555
Accepted,1-506071646
Accepted,1-523391859
Accepted,1-523391859
Accepted,1-523391859
Accepted,1-523391859
Accepted,1-516553982
Accepted,1-522528740
Queued,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-506071646
Accepted,1-529067006
Accepted,1-529067006
Queued,1-529067006
Accepted,1-506071646
Accepted,1-506071646
Queued,1-506071646
Accepted,1-529096847
Accepted,1-529096847
Queued,1-529096847
Accepted,1-529067006
Queued,1-529067006
Accepted,1-529096847
Queued,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-529067006
Accepted,1-529067006
Accepted,1-529067006
Queued,1-529067006
Accepted,1-529067006
Queued,1-529067006
Accepted,1-529067006
Queued,1-529067006
Accepted,1-512795200
Accepted,1-512795200
Accepted,1-529096847
Queued,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-530458987
Accepted,1-530458987
Queued,1-530458987
Accepted,1-529096847
Queued,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Queued,1-529096847
Accepted,1-529096847
Accepted,1-529096847
Accepted,1-530772502
Accepted,1-530772502
Queued,1-530772502
Accepted,1-530838254
Accepted,1-530838254
Queued,1-530838254
Accepted,1-530838254
Queued,1-530838254
Accepted,1-530772502
Queued,1-530772502
Accepted,1-530838254
Accepted,1-530838254
Accepted,1-530772502
Queued,1-530772502
Accepted,1-530458987
Queued,1-530458987
Accepted,1-530458987
