concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
A,3
C,0
B,2
A,4
F,1
D,3
A,0
A,5
C,2
B,4
F,3
E,1
A,6
D,5
D,0
C,4
A,7
A,2
G,1
D,6
E,3
F,0
F,5
A,8
A,4
D,2
H,1
D,7
F,6
G,3
E,0
E,5
B,8
F,2
B,4
A,10
E,6
H,3
G,5
F,7
G,0
A,11
C,8
B,10
C,4
G,6
E,7
A,12
H,5
I,0
D,11
A,4
A,8
A,13
C,10
E,9
I,6
G,7
B,12
F,11
A,14
J,0
B,4
B,8
D,13
A,10
I,7
G,9
J,6
A,15
C,12
E,11
D,14
K,0
C,4
C,8
H,9
A,16
J,7
D,10
K,6
B,15
F,13
A,12
G,11
F,14
A,17
D,16
A,4
M,0
A,8
F,10
K,7
C,15
M,6
A,18
D,12
E,13
I,11
E,14
D,17
D,4
F,16
O,0
A,19
E,10
D,8
M,7
A,15
G,13
B,18
O,6
F,12
J,11
F,4
F,17
A,20
G,14
G,10
E,16
B,19
F,8
I,13
D,15
O,7
A,21
E,12
C,18
D,20
E,4
E,17
I,14
H,10
L,11
G,16
F,15
E,8
D,21
C,19
J,13
G,12
G,4
J,14
F,20
A,23
A,18
G,17
H,16
M,11
G,8
E,15
A,19
F,21
A,24
H,12
E,20
H,4
K,13
L,14
B,23
I,17
D,18
O,11
A,25
H,8
B,19
G,15
B,24
G,20
C,23
E,21
J,17
A,26
M,14
M,13
F,18
D,25
I,15
C,19
C,24
L,17
A,27
I,20
A,23
G,21
D,26
O,14
N,13
E,18
F,25
A,28
A,19
J,15
A,24
M,17
B,27
J,20
I,21
B,23
F,26
B,19
G,18
E,25
D,28
O,17
D,24
K,15
A,30
C,27
K,20
J,21
E,26
C,23
H,18
A,31
F,28
C,19
G,25
D,30
F,24
G,26
M,15
K,21
M,20
A,27
A,32
A,23
D,31
E,28
A,19
N,15
A,33
E,24
M,21
D,27
F,30
I,26
N,20
B,32
D,23
A,34
G,28
F,22
F,31
D,19
G,24
F,27
O,21
C,32
E,30
B,33
J,26
F,23
A,35
D,29
E,22
B,34
E,31
F,19
H,28
A,36
H,24
E,27
A,32
C,33
G,30
F,29
D,35
L,26
E,23
G,22
A,37
G,31
C,34
E,19
B,36
D,32
G,27
E,29
A,33
F,35
M,26
I,30
A,38
G,23
I,22
A,34
I,31
B,37
C,36
G,19
A,39
F,32
I,27
D,33
G,29
O,26
J,30
B,38
E,35
I,23
J,22
A,40
D,34
C,37
H,19
J,31
E,32
J,27
A,36
D,39
F,33
J,23
C,38
A,41
L,30
G,35
H,29
L,31
B,40
L,22
F,34
A,37
G,32
B,36
A,42
E,33
K,27
F,39
D,41
A,38
K,23
H,35
M,30
M,22
C,40
M,31
A,43
E,34
H,32
C,36
D,37
G,33
M,27
E,39
D,38
F,41
D,42
A,44
N,22
M,23
N,30
A,40
F,37
O,31
B,43
G,34
A,36
H,33
O,27
A,45
G,39
D,44
N,23
F,38
E,41
F,42
B,40
E,37
A,46
C,43
I,34
B,36
B,45
I,39
F,44
A,47
E,38
G,37
G,41
C,40
E,42
C,36
D,46
A,43
J,34
A,48
E,44
J,39
C,45
G,38
B,47
I,37
I,41
A,36
A,40
D,43
A,49
G,42
F,46
B,48
K,34
G,44
A,45
L,39
H,38
C,47
A,50
D,36
J,37
J,41
D,49
E,46
F,43
B,40
I,42
C,48
D,45
A,51
I,44
M,34
M,39
A,47
F,36
L,37
L,41
B,50
J,42
G,46
F,49
A,52
E,43
C,40
A,48
J,44
N,34
F,45
D,51
N,39
D,47
M,37
A,53
E,36
H,46
L,42
M,41
E,49
C,50
A,40
K,44
B,52
B,48
G,43
F,51
A,54
E,45
O,37
F,47
B,53
G,36
N,41
G,49
