concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
F,2
A,4
C,1
F,3
A,0
D,2
A,5
A,1
B,4
F,0
D,3
A,6
E,2
B,5
B,1
A,7
C,4
F,6
D,0
E,3
G,2
A,8
C,5
C,1
F,7
A,4
D,6
A,9
E,0
G,3
F,8
I,2
A,1
A,5
D,7
A,10
B,4
B,9
E,6
G,0
H,3
D,8
A,11
J,2
F,1
B,5
E,7
B,10
C,4
C,9
A,12
H,0
G,6
L,2
E,8
D,1
B,11
C,5
G,7
C,10
A,13
A,4
A,9
H,6
F,12
M,2
G,8
A,14
E,1
A,5
C,11
H,7
B,4
A,10
F,13
B,9
H,8
B,5
D,12
N,2
B,14
G,1
A,11
C,4
A,16
B,10
C,9
D,13
C,5
I,1
A,17
E,12
F,11
C,14
F,16
A,4
C,10
E,13
A,9
A,18
F,17
J,1
D,16
G,12
A,14
D,11
F,4
A,19
E,15
G,13
A,10
B,9
F,18
K,1
A,20
D,17
E,11
B,14
E,16
F,19
H,12
D,4
G,15
F,10
D,18
A,21
I,13
C,9
F,20
M,1
E,17
G,11
G,16
E,4
C,14
D,19
E,18
H,15
A,9
D,10
B,21
J,13
O,1
D,20
G,17
A,23
H,11
H,16
G,4
E,19
L,13
A,14
G,18
B,9
C,21
E,10
A,24
E,20
F,23
M,13
G,19
I,4
F,14
C,9
F,24
H,18
G,10
A,21
G,20
D,23
O,13
H,19
A,9
J,4
D,24
F,21
A,27
I,10
H,20
E,23
F,9
A,28
D,21
K,4
E,24
F,27
J,10
G,23
A,29
D,9
B,28
E,21
E,25
G,24
M,4
L,10
D,27
F,29
I,23
E,9
G,21
C,28
A,31
G,25
I,24
N,4
M,10
D,29
E,27
J,23
A,32
G,9
I,21
A,28
B,31
H,25
J,24
O,10
A,33
G,27
E,29
F,32
I,26
K,23
J,21
H,9
C,31
K,24
E,30
B,28
B,33
D,32
I,27
G,29
J,26
M,23
A,35
L,21
A,31
G,30
C,28
M,24
C,33
J,27
A,36
E,32
N,23
A,22
I,29
F,35
L,26
M,21
A,37
N,24
A,28
H,30
G,32
F,36
A,33
K,27
J,29
B,22
M,26
D,35
A,38
N,21
B,28
B,37
I,32
L,29
A,39
F,33
M,27
D,36
N,26
C,22
E,35
F,38
A,40
F,39
C,37
M,29
O,27
C,28
D,33
J,32
E,36
A,22
G,35
A,41
D,38
N,29
D,39
D,40
I,34
A,37
G,36
A,42
A,28
E,33
K,32
F,22
I,35
F,41
E,38
A,43
J,34
F,40
E,39
I,36
G,33
F,37
B,28
F,42
M,32
J,35
A,44
D,22
D,41
G,38
B,43
L,34
J,36
O,32
A,45
E,40
I,33
G,39
D,37
D,42
L,35
C,28
E,41
B,44
E,22
M,34
H,38
L,36
C,43
J,33
G,40
H,39
B,45
G,41
E,37
M,35
G,22
A,47
A,28
C,44
N,34
H,40
A,43
K,33
A,48
C,45
M,36
G,37
I,41
B,47
O,35
H,22
F,28
A,44
A,49
O,36
F,48
M,33
B,43
A,45
H,37
J,41
A,50
C,47
F,44
D,28
F,49
F,45
O,33
D,48
C,43
A,51
L,41
A,47
B,50
E,28
D,44
D,49
A,52
A,43
D,45
E,48
D,51
M,41
B,47
A,53
E,49
G,28
C,50
D,52
E,44
F,43
E,45
F,51
A,54
O,41
G,48
C,47
G,49
F,53
I,28
F,52
A,50
G,44
A,55
D,43
E,51
G,45
I,48
B,54
H,49
D,53
A,47
B,50
J,28
I,44
E,52
E,43
D,55
G,51
B,46
A,57
J,48
E,53
C,54
H,45
F,47
K,28
C,50
J,44
G,52
F,55
A,58
G,43
H,51
C,46
L,48
B,57
G,53
A,54
A,59
L,44
M,28
E,55
A,50
D,47
H,52
D,58
I,43
C,57
