concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
D,2
C,1
A,4
A,0
B,3
A,5
F,2
D,4
D,0
A,1
C,3
A,6
E,2
D,5
A,7
B,1
F,4
F,0
A,3
D,6
A,8
G,2
F,5
B,7
C,1
E,4
F,6
E,0
D,3
A,9
D,8
H,2
E,5
A,1
C,7
A,10
G,4
B,9
E,6
G,0
F,3
F,8
A,11
B,1
G,5
D,10
I,4
A,7
I,0
C,9
A,12
E,3
G,6
B,11
E,8
C,1
I,5
F,10
A,13
J,4
J,0
G,3
D,7
A,9
D,12
H,6
C,11
A,14
G,8
A,1
E,10
J,5
D,13
L,4
L,0
A,15
I,3
F,7
F,12
B,9
I,8
A,11
D,14
D,1
L,5
A,16
F,13
G,10
E,7
M,4
M,0
C,9
E,12
F,14
B,11
J,3
B,15
J,8
A,17
F,1
E,13
M,5
B,16
A,9
N,0
H,10
O,4
G,7
C,11
A,18
L,3
C,15
G,12
E,14
L,8
D,17
G,13
E,1
A,19
O,5
B,9
C,16
I,7
M,3
A,11
D,18
A,15
G,14
H,12
M,8
A,20
H,13
F,17
C,9
G,1
B,19
A,16
A,21
J,7
F,18
O,3
H,14
N,8
D,11
B,20
B,15
E,17
A,9
A,22
H,1
C,19
L,7
B,16
E,18
D,21
C,20
F,11
C,15
A,23
G,17
A,19
B,9
D,22
M,7
C,16
A,24
F,21
G,18
A,20
E,11
A,15
B,19
C,9
D,23
F,22
H,17
O,7
A,25
B,24
A,16
C,19
E,21
D,20
G,11
A,26
B,15
F,23
A,9
H,18
E,22
D,25
A,27
F,20
D,16
A,19
C,24
D,26
I,11
G,21
E,23
C,15
B,9
G,22
A,28
F,25
F,16
J,11
B,27
D,19
E,20
C,9
I,21
F,26
A,24
A,15
G,23
I,22
B,28
E,16
E,25
A,30
L,11
A,9
E,26
G,20
F,19
B,15
C,27
J,21
D,24
I,23
J,22
C,28
A,31
G,16
G,25
B,30
E,19
A,27
M,11
L,21
G,26
D,9
A,32
I,20
C,15
L,22
F,24
J,23
D,31
H,16
A,28
C,30
I,25
A,33
F,9
N,11
G,19
M,21
I,26
A,15
B,27
B,32
M,22
J,20
D,28
E,24
F,31
A,34
L,23
A,30
J,25
D,33
D,29
E,9
H,19
N,21
B,15
C,27
N,22
A,35
J,26
C,32
K,20
F,28
E,31
G,24
G,9
D,34
L,25
M,23
F,33
B,30
A,36
F,29
L,26
A,27
C,15
B,35
A,32
M,20
E,28
A,37
I,9
G,31
H,24
F,34
E,33
M,25
C,30
O,23
E,29
D,36
D,27
M,26
A,38
A,15
C,35
B,32
B,37
G,28
J,9
O,20
H,31
A,30
E,34
A,39
O,25
G,29
F,27
G,33
F,36
D,38
A,35
O,26
B,15
C,32
H,28
C,37
L,9
A,40
B,39
G,34
D,30
E,27
H,29
D,35
F,38
I,33
C,15
A,41
A,32
M,9
A,37
C,39
F,40
G,27
F,30
A,42
H,34
E,38
F,35
A,15
J,33
N,9
B,41
D,32
A,43
B,37
I,27
B,42
D,40
A,39
G,38
E,30
L,33
E,35
D,15
A,44
F,32
C,41
C,37
J,27
B,39
C,42
D,43
E,40
A,45
M,33
H,38
G,30
D,44
F,15
G,35
A,41
E,32
C,39
A,46
K,27
F,43
A,42
A,37
G,40
B,45
O,33
H,30
F,44
A,47
I,35
E,15
D,41
G,32
A,39
E,43
B,42
B,46
M,27
I,40
D,37
A,48
C,45
B,47
E,44
J,35
G,15
H,32
A,49
F,41
B,39
G,43
O,27
C,46
F,37
J,40
C,42
A,45
B,48
G,44
H,15
A,50
C,47
K,35
E,41
H,43
C,39
B,49
A,42
L,40
A,46
A,51
D,45
E,37
I,44
C,48
M,35
A,47
F,50
G,41
A,52
D,42
