concept:name,case:concept:name
A,0
A,1
B,0
A,2
F,1
A,3
C,0
B,2
A,4
D,1
F,3
A,0
A,5
C,2
B,4
E,1
D,3
F,0
B,5
A,2
G,1
C,4
A,7
E,3
D,0
B,2
C,5
A,4
H,1
B,7
G,3
A,9
E,0
C,2
A,5
F,4
C,7
I,3
G,0
B,9
A,2
F,5
A,11
J,3
C,9
H,0
A,7
D,4
B,11
D,5
F,2
A,13
E,8
K,3
A,9
I,6
F,7
E,4
C,11
A,14
E,5
D,2
B,13
G,8
M,3
F,9
G,4
D,7
A,15
A,11
J,6
G,5
E,2
B,14
A,16
C,13
H,8
D,9
B,15
B,11
O,3
H,4
E,7
L,6
A,17
G,2
C,14
H,5
F,16
A,13
E,9
C,11
A,18
C,15
G,7
F,17
H,2
M,6
A,14
D,16
B,13
A,11
G,9
I,12
A,15
I,7
F,18
D,17
A,20
N,6
B,11
B,14
E,16
I,9
C,13
B,15
J,12
D,18
A,21
E,17
J,7
F,20
C,14
C,11
A,22
J,9
G,16
A,13
C,15
E,18
L,12
F,21
K,7
G,17
A,11
D,20
A,14
B,22
H,16
G,18
L,9
B,13
A,15
A,10
A,24
M,12
D,21
M,7
B,11
E,20
C,22
F,14
A,25
I,18
C,13
N,12
B,15
B,24
M,9
F,10
O,7
E,21
C,11
A,26
A,22
G,20
B,25
D,14
A,13
C,24
A,27
J,18
D,10
C,15
N,9
G,21
A,11
B,26
B,22
H,20
C,25
E,14
A,28
B,13
F,27
A,24
L,18
B,11
A,15
E,10
C,26
H,21
A,29
C,22
A,25
G,14
B,28
C,13
B,24
A,30
I,23
M,18
B,15
A,26
D,27
C,11
F,29
G,10
A,22
D,19
F,25
A,31
C,28
I,14
C,24
B,30
A,13
N,18
J,23
E,27
C,15
D,29
A,11
F,26
I,10
A,32
F,31
E,19
B,22
D,25
A,28
J,14
A,24
A,33
K,23
A,15
B,13
C,30
G,27
F,11
E,29
D,26
J,10
D,31
C,22
G,19
B,32
F,28
F,24
E,25
M,23
F,33
K,14
D,11
K,10
C,13
E,26
B,15
I,27
A,30
A,35
C,32
G,29
A,22
E,31
I,19
D,28
D,24
G,25
N,23
G,26
A,36
M,10
M,14
E,11
A,13
D,33
J,27
B,30
C,15
B,35
A,32
H,29
B,22
J,19
G,31
E,28
A,37
I,25
E,24
N,10
H,26
C,30
B,13
B,36
N,14
G,11
L,27
A,15
E,33
F,32
C,35
A,38
K,19
G,28
H,31
F,37
C,22
J,25
H,11
G,24
A,30
A,39
C,13
C,36
M,27
B,38
D,32
B,15
A,35
G,33
D,37
M,19
A,22
H,28
A,40
L,25
H,24
B,30
F,39
A,36
N,27
E,32
A,13
A,41
C,38
F,35
H,33
O,19
I,34
C,15
B,40
E,37
C,30
F,22
M,25
A,42
D,39
B,36
F,13
B,41
A,38
G,32
J,34
D,35
G,37
A,15
A,43
A,30
C,40
D,22
N,25
C,36
E,39
I,32
L,34
D,13
F,42
F,38
C,41
A,44
E,35
B,15
I,37
A,40
F,43
E,22
B,30
A,45
D,38
A,36
G,39
A,41
E,13
B,44
J,32
M,34
G,35
D,42
C,15
A,46
J,37
B,40
D,43
C,30
G,22
E,38
I,39
B,41
F,45
F,36
C,44
G,13
L,32
A,47
H,35
E,42
O,34
K,37
A,15
C,40
F,46
E,43
J,39
A,30
M,32
I,22
A,48
G,38
D,36
D,45
C,41
I,13
A,44
F,47
G,42
F,15
A,40
M,37
A,49
D,46
H,38
F,30
J,22
L,39
O,32
G,43
A,41
E,45
J,13
F,48
E,36
B,44
D,47
A,50
I,42
N,37
D,15
F,40
F,49
E,46
M,39
K,22
D,48
F,41
G,45
D,30
A,51
I,43
L,13
C,44
G,36
E,47
J,42
F,50
E,15
D,40
