concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
B,2
A,4
C,1
D,3
A,0
A,5
C,2
A,1
D,4
A,6
F,3
B,0
A,2
B,5
A,7
D,1
F,4
B,6
E,3
C,0
D,2
A,8
C,5
B,7
F,1
E,4
C,6
A,9
G,3
B,8
F,2
A,0
A,5
A,10
E,1
C,7
A,6
G,4
C,8
B,9
H,3
B,0
A,11
E,2
D,5
B,10
G,1
B,6
H,4
A,7
A,12
C,0
C,9
A,8
F,5
B,11
G,2
C,6
A,13
I,1
B,7
C,10
D,12
A,0
D,8
A,9
C,11
A,14
E,5
I,2
A,6
A,10
B,13
J,1
F,12
F,8
C,7
A,15
D,0
B,9
A,11
D,14
J,2
G,5
A,16
E,12
A,7
B,6
K,1
C,13
D,10
B,15
E,8
F,0
B,11
C,9
A,17
I,5
F,14
L,2
D,7
B,16
G,8
A,13
C,6
M,1
A,18
C,11
C,15
G,12
E,0
F,10
A,9
E,14
J,5
M,2
B,17
A,19
C,16
H,8
A,6
B,13
F,7
N,1
A,11
D,18
E,10
G,0
A,15
I,12
A,20
D,9
G,14
L,5
O,2
C,17
A,16
B,19
E,7
D,6
D,15
C,13
B,11
A,21
F,18
J,12
I,0
G,10
F,9
B,20
I,14
M,5
B,16
A,17
A,22
G,7
F,6
C,19
C,11
B,21
A,13
E,18
F,15
K,12
H,10
E,9
O,5
J,0
C,20
A,23
J,14
C,16
B,17
I,7
E,6
A,19
D,22
A,11
G,18
C,21
E,15
D,13
A,24
M,12
G,9
A,20
D,23
L,14
A,16
K,0
C,17
A,25
G,6
J,7
I,18
B,19
F,22
D,11
G,15
A,21
H,9
F,13
D,24
O,12
M,0
F,23
M,14
B,20
A,26
B,16
A,17
K,7
D,25
E,22
J,18
H,6
B,21
F,24
F,11
E,13
C,19
A,27
H,15
N,0
E,23
D,26
C,20
O,14
M,7
C,16
G,22
F,25
A,28
B,17
E,24
A,19
C,21
G,13
K,18
E,11
B,27
G,23
F,26
A,29
A,20
N,7
D,28
A,16
E,25
C,17
G,24
H,22
M,18
C,27
G,11
A,21
D,19
I,13
A,30
I,23
B,29
D,20
E,26
D,16
A,17
F,28
H,24
G,25
A,31
A,27
N,18
I,11
D,21
F,19
J,13
D,30
J,23
F,20
A,32
C,29
G,26
D,17
F,16
D,31
H,25
E,28
B,27
J,11
F,21
A,33
E,19
L,13
F,30
K,23
H,26
E,20
A,29
E,16
F,17
D,32
F,31
A,34
G,28
C,27
E,30
D,33
E,21
G,19
L,11
M,13
M,23
A,35
G,16
D,29
G,20
D,34
F,32
E,17
H,28
E,31
F,33
A,27
G,21
G,30
I,19
A,36
M,11
N,13
O,23
G,17
B,35
F,34
E,32
I,16
I,20
F,29
A,37
G,31
B,27
J,19
I,21
E,33
I,30
N,11
B,36
A,38
G,32
H,17
C,35
E,34
H,31
J,20
E,29
J,16
D,37
C,27
G,33
K,19
J,30
J,21
A,39
C,36
B,38
A,35
L,20
G,34
I,32
F,37
A,27
A,40
L,16
G,29
K,30
I,33
M,19
D,39
L,21
C,38
A,41
A,36
B,35
M,20
E,37
D,27
J,32
H,34
M,16
D,40
H,29
M,30
N,19
J,33
A,42
F,39
M,21
A,38
B,36
B,41
K,32
G,37
N,20
C,35
F,27
F,40
A,43
O,16
K,33
O,30
D,38
D,42
E,39
C,41
C,36
A,44
A,35
D,43
O,21
I,37
E,27
M,32
E,40
F,38
M,33
F,42
A,45
A,41
G,39
A,36
B,44
J,37
N,32
G,27
F,43
D,35
E,38
A,46
G,40
N,33
E,42
D,41
D,45
I,39
L,37
A,47
I,27
F,35
C,44
D,36
G,38
E,43
H,40
B,46
J,39
F,45
F,41
G,42
A,48
M,37
B,47
A,44
