concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
A,3
C,0
B,2
A,4
F,1
B,3
A,0
A,5
C,2
D,4
E,1
C,3
A,6
D,5
B,0
A,2
F,4
A,7
G,1
D,6
A,3
F,5
A,8
C,0
E,4
B,7
D,2
I,1
F,6
A,9
E,5
A,0
D,8
J,1
G,4
C,7
A,10
F,2
B,9
E,6
G,5
A,11
L,1
F,8
D,0
I,4
A,7
D,10
E,2
A,12
G,6
H,5
C,9
B,11
E,8
M,1
F,0
B,7
A,13
G,2
J,4
F,10
D,12
H,6
C,11
A,9
A,14
G,8
O,1
E,0
C,7
B,13
L,4
E,10
H,2
F,12
A,15
B,9
A,11
I,8
D,14
A,7
G,0
A,16
G,10
C,13
M,4
B,11
B,15
C,9
E,12
J,8
F,14
A,17
B,7
I,0
H,10
B,16
C,15
A,13
C,11
N,4
A,9
A,18
E,14
G,12
K,8
B,17
C,7
A,11
J,0
C,16
A,15
B,13
B,9
B,18
G,14
M,8
H,12
C,17
A,20
A,16
A,7
B,11
C,18
C,9
B,15
K,0
C,13
I,14
O,8
A,17
B,16
D,20
A,22
D,7
A,13
C,11
A,18
C,15
A,9
M,0
J,14
A,23
F,20
B,18
C,16
A,11
F,7
B,13
B,9
B,22
K,14
A,15
O,0
A,24
E,20
D,23
A,16
M,14
E,7
A,25
D,11
C,18
C,22
C,13
C,9
D,24
B,15
G,20
A,26
B,16
F,23
F,11
N,14
G,7
D,25
A,13
A,18
A,9
A,22
A,27
C,15
F,24
D,21
B,26
H,20
E,23
H,7
C,16
A,28
F,25
E,11
B,18
B,9
D,22
D,27
B,13
E,19
F,21
A,15
E,24
C,26
A,29
G,23
A,16
B,28
E,25
C,18
C,9
C,13
G,11
F,27
G,19
F,22
E,21
A,30
D,15
G,24
A,26
D,16
D,29
C,28
H,23
G,25
A,31
A,9
E,22
B,30
A,13
E,27
G,21
A,18
I,11
I,19
F,15
D,26
I,24
F,16
A,28
A,32
F,29
H,25
G,22
D,9
B,31
C,30
G,27
E,15
A,33
J,11
H,21
F,26
B,13
D,18
J,19
J,24
E,16
D,28
D,32
E,29
A,34
A,30
F,9
I,22
E,26
D,33
I,27
K,24
C,13
L,11
G,15
L,19
C,31
F,18
F,28
G,16
G,29
A,35
F,32
B,34
B,30
E,9
A,13
M,11
J,22
G,26
F,33
M,24
A,36
J,27
E,18
E,28
A,31
I,15
M,19
E,32
I,29
D,35
I,16
C,34
A,37
D,13
G,9
G,18
I,26
N,11
K,22
C,30
D,31
O,24
G,28
E,33
O,19
G,32
B,36
J,15
L,27
A,38
F,35
J,29
J,16
B,37
A,34
H,9
F,13
J,26
M,22
A,30
I,18
F,31
A,39
L,15
M,27
C,36
I,32
I,28
E,35
G,33
B,38
L,29
C,37
L,16
B,34
E,13
A,40
L,26
N,22
B,30
J,18
E,31
A,36
M,15
C,38
B,39
G,35
O,27
I,33
J,32
M,29
A,41
A,37
J,28
G,13
C,34
M,16
M,26
B,40
L,18
A,42
N,15
C,30
G,31
B,36
A,38
H,35
C,39
D,41
J,33
D,37
N,29
L,32
L,28
I,13
A,34
C,40
A,43
O,26
N,16
M,18
D,42
H,31
B,38
A,30
F,37
C,36
A,39
A,44
L,33
F,41
M,32
M,28
J,13
B,34
B,43
A,40
O,18
F,42
D,30
A,45
C,38
E,37
N,32
B,39
A,36
M,33
D,44
N,28
L,13
C,43
E,41
C,34
A,46
B,40
F,30
E,42
B,45
N,33
B,36
A,38
G,37
A,47
C,39
F,44
A,34
M,13
A,43
G,41
D,46
C,40
E,30
G,42
C,45
A,48
C,36
D,38
B,47
H,37
E,44
B,34
D,43
A,39
F,46
H,41
A,49
A,40
G,30
O,13
I,42
A,45
D,48
A,36
