concept:name,case:concept:name
A,0
A,1
B,0
F,1
C,0
A,3
D,1
A,4
A,0
F,3
A,5
F,0
E,1
B,4
D,3
E,2
F,5
G,1
D,0
C,4
E,3
A,8
I,1
E,0
G,2
D,5
A,4
G,3
A,9
B,8
H,2
J,1
G,0
E,5
A,10
B,4
I,3
F,9
C,8
H,0
L,1
A,11
G,5
C,4
F,10
J,3
A,12
F,11
M,1
A,8
D,9
H,5
D,10
A,13
A,4
L,3
F,12
D,11
N,1
E,9
I,6
A,14
B,8
B,13
E,10
F,4
A,15
M,3
D,12
E,11
G,9
J,6
B,14
D,4
E,7
C,13
C,8
G,10
A,16
N,3
F,15
E,12
H,9
A,17
G,11
C,14
K,6
A,8
A,13
E,4
G,7
F,16
I,10
D,15
A,18
G,12
B,17
H,11
B,8
I,7
A,14
M,6
B,13
J,10
D,16
G,4
A,19
E,15
B,18
H,12
C,17
A,20
C,13
C,8
J,7
O,6
I,4
L,10
B,19
E,16
G,15
C,18
A,21
A,17
B,20
A,8
A,13
M,10
K,7
J,4
A,22
C,19
A,18
G,16
H,15
B,17
F,21
B,8
A,23
C,20
B,13
M,7
N,10
K,4
F,22
A,19
I,16
B,18
A,24
D,21
C,17
F,23
C,8
C,13
A,20
O,7
A,25
D,22
B,19
M,4
C,18
F,24
J,16
A,17
A,8
E,21
D,23
A,13
A,26
F,20
B,25
A,18
E,22
C,19
N,4
D,24
L,16
A,27
G,21
F,17
E,23
B,13
B,26
D,20
B,8
C,25
G,22
A,19
E,24
F,18
F,27
M,16
D,17
A,25
H,21
G,23
C,13
E,20
C,26
A,29
C,8
H,22
D,18
B,19
G,24
F,25
A,30
N,16
H,23
D,27
E,17
A,26
B,29
G,20
A,13
E,18
A,31
A,8
B,30
I,24
C,19
D,25
E,27
G,17
H,20
A,32
C,29
F,26
B,31
B,13
E,28
G,18
F,8
C,30
J,24
A,19
A,33
G,27
E,25
F,32
C,13
A,29
H,17
C,31
D,26
I,18
A,34
L,24
D,8
A,30
G,28
B,33
F,19
I,27
G,25
D,32
F,29
A,35
A,13
A,31
E,26
F,34
E,8
H,28
B,30
J,18
M,24
C,33
D,19
A,36
J,27
H,25
D,29
F,13
E,32
B,35
D,34
F,31
G,26
G,8
L,18
O,24
A,33
C,30
B,36
E,19
L,27
E,29
A,38
C,35
D,31
D,13
H,26
E,34
G,32
M,18
I,8
F,33
A,30
G,19
A,39
C,36
G,29
B,38
E,13
M,27
A,35
E,31
J,8
G,34
I,32
A,40
D,33
B,30
O,18
A,36
H,29
H,19
F,39
G,13
O,27
C,38
A,41
L,8
B,35
H,34
G,31
J,32
E,33
E,37
B,40
F,36
A,42
C,30
D,39
H,13
B,41
A,38
M,8
C,35
C,40
A,43
K,32
G,37
H,31
D,36
G,33
F,42
A,30
E,39
B,38
A,44
C,41
N,8
A,35
A,40
B,43
M,32
H,37
E,36
I,33
F,30
A,45
D,42
F,44
G,39
A,41
C,38
C,43
B,40
B,35
A,46
O,32
G,36
B,45
J,33
D,30
E,42
D,44
F,41
A,47
C,40
A,38
A,43
F,46
C,35
C,45
I,36
E,30
A,48
E,44
K,33
G,42
F,47
D,41
A,40
F,38
D,46
B,43
A,49
A,45
A,35
B,48
H,42
G,44
J,36
G,30
M,33
E,41
B,40
D,38
D,47
F,49
E,46
B,35
C,48
C,43
B,45
I,30
L,36
G,41
H,44
N,33
C,40
E,38
E,47
G,46
C,35
D,49
C,45
A,43
A,48
J,30
H,41
M,36
A,40
A,35
G,38
H,46
G,47
E,49
A,45
F,43
K,30
N,36
F,40
F,35
I,47
H,38
G,49
F,45
D,43
M,30
D,40
D,35
J,47
H,49
E,43
E,40
O,30
E,35
K,47
G,43
G,40
G,35
M,47
H,40
