concept:name,case:concept:name
A,0
A,1
F,0
A,2
F,1
D,0
A,3
B,2
A,4
D,1
E,0
B,3
C,2
A,5
E,1
B,4
G,0
C,3
A,6
F,5
A,2
G,1
A,7
C,4
I,0
B,6
A,3
D,5
F,2
A,8
I,1
F,7
F,3
A,4
C,6
J,0
A,9
D,2
E,5
F,8
J,1
D,7
A,10
A,6
D,3
B,4
E,2
B,9
K,0
G,5
A,11
D,8
L,1
B,10
G,2
E,7
C,9
F,6
E,3
C,4
M,0
A,12
H,5
F,11
E,8
C,10
G,7
M,1
A,13
I,2
A,9
D,6
G,3
A,4
B,12
N,0
A,14
D,11
G,8
A,10
B,13
H,7
O,1
F,9
H,3
J,2
F,4
E,6
C,12
A,15
F,14
H,8
E,11
C,13
F,10
A,16
D,9
L,2
G,6
D,4
A,12
F,15
D,14
A,17
G,11
B,16
D,10
A,13
M,2
E,9
E,4
F,12
A,18
I,6
D,15
E,14
H,11
C,16
B,17
B,13
A,19
G,9
E,10
O,2
G,4
E,15
D,12
B,18
J,6
G,14
A,20
A,16
C,17
B,19
H,4
H,9
C,13
G,15
G,10
E,12
A,21
L,6
C,18
F,20
I,14
B,16
A,17
H,15
C,19
A,22
A,13
G,12
A,18
H,10
F,21
M,6
C,16
A,23
D,20
J,14
F,17
A,19
F,13
B,22
H,12
B,18
A,24
D,21
O,6
B,23
K,14
E,20
D,13
A,25
C,22
D,17
C,18
F,19
F,24
E,21
A,26
M,14
G,20
C,23
F,25
E,13
E,17
A,22
G,21
A,18
D,19
A,27
D,24
O,14
A,23
F,26
H,20
G,13
D,25
A,28
G,17
F,22
B,18
I,21
E,19
B,27
E,24
F,23
D,26
A,29
I,13
D,22
E,25
H,17
B,28
G,19
J,21
C,18
A,30
G,24
C,27
E,26
D,23
F,29
J,13
A,31
L,21
E,22
I,19
G,25
I,24
F,30
A,18
C,28
G,26
A,27
E,23
A,32
D,29
L,13
F,31
M,21
G,22
I,25
J,19
A,28
J,24
D,30
A,33
I,26
F,18
G,23
F,27
B,32
M,13
E,29
H,22
N,21
A,34
D,31
J,25
F,28
K,24
B,33
D,18
K,19
J,26
E,30
A,35
D,27
I,23
G,29
N,13
C,32
F,34
L,25
M,24
E,31
D,28
C,33
A,36
M,19
L,26
E,18
G,30
H,29
E,27
B,35
J,23
A,32
G,31
A,37
M,25
E,28
D,34
O,24
F,36
H,30
G,18
A,33
M,26
C,35
O,19
A,38
G,27
F,32
H,31
K,23
B,37
G,28
N,25
E,34
D,36
I,18
A,39
A,35
F,33
F,38
O,26
I,27
D,32
A,40
M,23
C,37
I,28
E,36
G,34
J,18
F,39
D,33
F,35
D,38
A,41
J,27
B,40
A,37
E,32
N,23
G,36
I,34
J,28
D,39
A,42
L,18
E,38
D,35
E,33
B,41
L,27
H,36
F,37
A,43
C,40
E,39
J,34
G,32
K,28
M,18
G,38
C,41
F,42
E,35
G,33
A,44
M,27
D,37
B,43
G,39
I,32
A,40
K,34
M,28
A,45
O,18
G,35
H,38
A,41
H,33
D,42
B,44
O,27
B,40
A,46
E,37
C,43
I,39
N,28
J,32
M,34
B,45
I,35
B,41
A,47
C,44
A,43
G,37
C,40
B,46
N,34
C,45
L,32
A,48
J,39
C,41
J,35
F,47
A,44
F,43
C,46
A,49
I,37
A,40
M,32
A,45
K,39
A,41
D,47
F,48
A,50
K,35
D,43
F,44
A,46
B,49
M,39
B,45
J,37
F,40
A,51
D,48
O,32
B,41
E,43
E,47
B,50
M,35
D,44
C,49
A,52
F,46
C,45
O,39
K,37
F,51
D,40
G,43
G,47
C,41
C,50
A,53
N,35
B,52
E,44
A,49
D,46
M,37
A,45
A,54
H,43
E,40
I,47
D,51
F,53
A,41
A,50
F,49
C,52
