concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
F,2
C,1
A,4
B,3
A,0
A,5
A,1
D,2
F,4
A,6
C,3
F,0
F,5
B,1
E,2
D,4
A,7
F,6
D,5
D,0
A,3
C,1
A,8
E,4
G,2
B,7
A,9
D,6
E,5
B,8
E,0
A,1
G,4
H,2
B,3
C,7
A,10
B,9
G,5
E,6
G,0
B,1
A,11
C,8
C,3
I,4
A,7
F,10
C,9
A,12
H,5
G,6
C,1
F,11
I,0
A,8
A,3
J,4
F,7
A,13
D,10
A,9
D,11
I,6
F,12
A,1
A,14
B,8
J,0
B,3
D,7
L,4
F,13
E,10
B,9
A,15
D,12
J,6
F,1
B,14
E,11
C,8
C,3
E,7
K,0
A,16
M,4
D,13
G,10
C,9
L,6
F,15
C,14
E,12
A,8
G,11
D,1
A,17
B,16
G,7
A,3
M,0
A,9
N,4
B,8
I,10
A,18
E,13
D,15
M,6
A,14
H,11
G,12
E,1
B,17
B,3
N,0
I,7
A,19
C,16
B,9
C,8
J,10
B,18
O,6
E,15
F,14
G,13
H,12
G,1
A,20
C,17
J,7
F,19
C,3
A,16
C,9
A,8
C,18
K,10
D,14
G,15
A,21
I,13
F,20
H,1
A,17
K,7
D,19
A,9
A,22
A,3
F,8
B,16
H,15
J,13
M,10
F,21
A,18
E,14
D,20
A,23
E,19
B,17
M,7
B,9
B,22
C,16
F,3
N,10
K,13
D,8
G,14
D,21
A,24
E,20
F,18
F,23
G,19
N,7
A,16
C,9
C,17
D,3
A,25
E,8
C,22
H,14
E,21
G,20
M,13
D,18
B,24
D,23
A,26
H,19
B,16
B,25
A,9
A,17
E,3
G,8
G,21
A,22
N,13
A,27
H,20
C,24
E,18
E,23
B,26
C,16
B,9
F,17
A,28
C,25
G,3
B,27
B,22
I,8
G,18
H,21
G,23
A,24
C,26
A,29
A,16
F,28
D,17
C,27
C,9
H,3
J,8
H,18
A,30
A,25
H,23
C,22
B,24
A,26
F,16
F,29
E,17
A,31
D,28
A,27
A,9
B,30
K,8
B,25
A,22
D,16
A,32
C,24
B,26
G,17
B,31
D,29
E,28
B,9
C,30
F,27
A,33
M,8
C,25
F,22
E,16
F,32
A,24
H,17
C,26
C,31
E,29
C,9
A,34
G,28
D,27
A,25
A,30
O,8
F,33
D,22
G,16
F,24
D,32
A,35
A,26
A,31
B,34
I,28
A,9
G,29
F,30
E,27
H,16
F,25
A,36
E,22
D,33
F,35
D,24
E,32
B,26
C,34
J,28
B,31
A,37
G,27
B,9
D,30
D,25
I,29
G,22
B,36
E,33
D,35
G,32
A,38
A,34
K,28
E,24
C,31
C,26
B,37
I,27
E,25
C,9
A,39
G,33
I,22
E,30
C,36
B,38
J,29
H,32
A,31
E,35
B,34
G,24
A,26
M,28
C,37
A,40
J,27
G,25
G,30
J,22
H,33
A,36
A,9
L,29
F,39
C,38
A,41
B,31
C,34
I,24
G,35
F,26
N,28
K,27
F,40
A,37
H,25
I,30
B,36
K,22
A,42
M,29
D,39
B,9
F,41
A,34
A,38
H,35
J,24
D,40
D,26
C,31
M,27
A,43
J,30
B,37
M,22
B,42
C,36
N,29
C,9
E,39
F,34
E,40
A,44
K,24
D,41
E,26
B,38
A,31
B,43
O,27
K,30
C,42
N,22
A,36
C,37
A,45
A,9
D,34
G,39
F,44
G,40
M,24
G,26
C,38
C,43
E,41
B,31
A,46
B,36
A,42
M,30
F,45
A,37
F,9
H,39
E,34
D,44
O,24
A,47
A,43
H,40
H,26
A,38
C,31
G,41
F,46
C,36
B,42
D,45
A,48
B,37
O,30
E,44
D,9
F,47
G,34
F,43
F,38
I,41
A,49
A,31
D,46
A,36
C,42
C,37
E,45
F,48
E,9
G,44
D,43
H,34
