concept:name,case:concept:name
A,0
A,1
D,0
A,2
D,1
F,0
A,3
B,2
A,4
F,1
E,0
B,3
A,5
D,4
C,2
G,0
E,1
C,3
A,6
B,5
A,2
F,4
A,7
G,1
A,3
B,6
C,5
I,0
A,8
B,2
E,4
B,7
I,1
B,3
A,9
J,0
C,6
B,8
A,5
G,4
C,2
C,7
A,10
J,1
C,3
D,9
L,0
A,6
C,8
D,5
A,11
A,7
I,4
A,2
B,10
K,1
A,3
F,9
A,12
M,0
D,6
F,5
B,7
A,8
D,2
B,11
J,4
A,13
C,10
D,3
M,1
E,9
D,12
C,7
N,0
F,6
E,5
D,8
C,11
K,4
D,13
A,10
F,3
F,12
N,1
G,9
A,15
A,11
A,7
G,5
E,6
F,8
A,16
M,4
B,10
I,9
E,12
F,13
E,3
B,15
G,6
H,5
E,8
B,11
D,7
A,17
C,10
N,4
G,12
G,3
J,9
E,13
A,18
B,16
C,15
F,7
H,6
G,8
B,17
C,11
A,10
A,19
K,9
I,12
D,18
G,13
H,3
A,15
E,7
C,17
C,16
A,20
H,8
D,10
B,19
A,11
J,12
F,18
M,9
A,21
G,7
I,13
A,16
D,15
B,20
A,17
F,10
I,14
C,19
B,11
A,22
N,9
K,12
E,18
H,7
D,21
B,16
J,13
C,20
B,17
F,15
E,10
J,14
A,19
C,11
B,22
M,12
A,24
K,13
F,21
A,20
K,14
G,18
C,16
E,15
C,17
B,19
G,10
A,25
C,22
A,11
E,21
D,24
M,13
D,20
A,16
M,14
I,18
O,12
G,15
C,19
A,17
I,10
D,25
D,11
G,21
A,22
F,24
F,20
N,13
N,14
A,27
J,18
H,15
B,17
B,16
A,19
F,25
J,10
I,21
A,28
B,22
F,11
E,24
K,18
E,20
C,16
B,27
A,29
D,19
C,17
E,25
K,10
J,21
B,28
E,11
C,22
M,18
A,30
G,24
A,16
G,20
C,27
F,19
A,17
G,25
I,23
D,29
K,21
C,28
M,10
A,22
G,11
I,20
B,30
N,18
H,24
D,16
D,17
A,32
I,25
E,19
A,27
D,26
F,29
J,23
M,21
O,10
A,28
B,22
I,11
J,20
A,33
F,16
C,30
J,25
F,17
D,32
F,26
G,19
D,27
E,29
K,23
N,21
B,28
A,34
C,22
J,11
L,20
E,16
B,33
L,25
A,30
F,32
E,26
G,29
A,35
F,27
M,23
C,28
I,19
E,17
B,34
A,22
M,20
G,16
K,11
A,36
E,32
M,25
C,33
B,30
G,26
E,27
A,28
B,35
J,19
H,29
N,23
G,17
A,37
I,16
D,22
C,34
N,20
G,32
A,33
B,36
M,11
G,27
N,25
C,35
C,30
A,38
H,26
K,19
D,28
D,37
H,17
J,16
A,34
F,22
H,32
N,11
D,33
I,27
A,30
A,35
C,36
F,37
B,38
F,28
M,19
L,16
A,40
E,31
D,34
E,22
F,33
J,27
C,38
D,35
A,41
E,37
N,19
E,28
M,16
B,30
A,36
D,40
G,31
F,34
G,22
A,42
E,33
A,38
K,27
G,37
D,41
G,28
O,16
B,36
F,35
A,43
I,31
C,30
F,40
I,22
E,34
B,42
D,38
G,33
I,28
M,27
A,44
F,41
I,37
C,36
A,30
J,31
E,35
B,43
G,34
E,40
J,22
F,38
C,42
H,33
O,27
J,28
E,41
D,44
J,37
D,30
A,46
H,34
G,35
K,31
A,36
C,43
K,22
G,40
I,39
A,42
E,38
L,28
A,47
G,41
F,44
K,37
D,46
F,30
A,43
D,36
D,42
M,31
H,40
G,38
I,35
A,48
M,22
J,39
M,28
B,47
M,37
I,41
E,44
F,46
D,43
E,30
O,22
F,36
E,45
H,38
L,39
N,31
J,35
B,48
F,42
N,28
J,41
C,47
N,37
G,44
E,36
G,45
M,39
F,43
E,46
G,30
E,42
C,48
A,51
K,35
L,41
A,47
G,36
