concept:name,case:concept:name
A,0
A,1
D,0
A,2
D,1
A,3
F,0
D,2
F,1
B,3
E,0
F,2
A,5
E,1
A,6
G,0
C,3
D,5
A,7
G,1
A,3
D,6
H,0
F,5
A,8
D,7
H,1
E,5
F,6
B,3
D,8
D,4
A,10
F,7
G,5
E,6
C,3
F,4
A,11
F,8
E,7
D,10
H,5
A,12
A,3
G,6
D,11
E,8
E,4
G,7
A,13
F,10
B,3
G,8
E,9
H,6
F,11
D,12
A,14
G,4
H,7
B,13
E,10
A,15
G,9
D,14
C,3
F,12
E,11
H,4
C,13
G,10
A,16
D,15
A,3
E,12
F,14
H,9
G,11
A,17
B,16
A,13
I,10
F,15
A,18
G,12
B,3
E,14
B,17
C,16
D,13
A,19
J,10
D,18
I,12
E,15
C,3
C,17
A,20
G,14
A,16
L,10
F,13
D,19
A,21
G,15
F,18
A,3
J,12
A,17
B,20
H,14
E,13
D,16
A,22
M,10
F,19
D,21
I,15
E,18
L,12
B,3
D,17
A,23
C,20
F,16
B,22
O,10
G,13
E,19
F,21
J,15
G,18
A,24
C,3
M,12
F,17
A,20
D,23
E,16
C,22
I,13
G,19
A,25
L,15
E,21
I,18
B,24
A,3
E,17
G,16
O,12
A,26
B,20
A,22
J,13
F,23
H,19
B,25
G,21
M,15
J,18
A,27
D,3
C,24
I,16
D,26
G,17
D,22
C,20
K,13
E,23
A,28
C,25
O,15
H,21
L,18
B,27
A,24
F,3
I,17
J,16
A,29
F,26
F,22
A,20
G,23
A,25
M,13
B,28
C,27
M,18
A,30
B,24
L,16
J,17
E,3
E,22
H,23
D,20
D,25
D,29
E,26
A,31
C,28
A,27
N,13
O,18
D,30
C,24
K,17
M,16
G,3
F,20
A,32
G,22
F,25
F,29
G,26
A,28
B,31
D,27
F,30
A,24
M,17
O,16
E,20
I,22
I,3
E,25
E,29
B,32
D,28
A,34
I,26
F,27
C,31
D,24
E,30
J,22
N,17
A,35
G,20
J,3
G,25
B,34
G,29
C,32
F,28
E,27
J,26
A,31
A,36
G,30
I,20
F,24
D,35
A,32
L,22
L,3
C,34
I,25
G,27
L,26
A,37
E,28
B,36
B,31
F,35
I,30
J,20
E,24
A,38
M,22
I,27
B,32
M,3
J,25
M,26
A,34
B,37
G,28
C,36
A,39
D,33
C,31
J,30
E,35
O,22
L,20
N,3
B,38
J,27
G,24
C,32
K,25
N,26
C,37
B,34
A,40
A,36
I,28
A,31
F,33
B,39
G,35
L,30
M,20
A,41
C,38
M,25
C,34
L,27
A,37
H,24
A,32
D,40
J,28
B,36
A,42
D,31
H,35
C,39
E,33
M,30
D,41
A,38
N,20
N,25
M,27
A,43
A,34
B,32
B,37
F,40
L,28
C,36
D,42
F,41
A,39
O,30
F,31
B,38
G,33
O,27
A,44
C,32
E,40
B,34
D,43
C,37
M,28
F,42
A,45
B,39
A,36
C,38
H,33
B,44
E,31
A,32
G,40
C,34
A,46
F,43
O,28
E,42
A,37
D,45
C,39
A,38
D,36
G,31
A,47
C,44
H,40
D,46
B,32
A,34
G,42
E,43
A,48
A,39
D,37
F,45
H,31
F,36
B,38
B,47
A,44
A,49
C,32
F,46
B,34
H,42
G,43
F,37
D,39
E,45
D,48
E,36
C,47
B,44
C,38
C,34
D,49
A,32
G,45
E,37
F,39
F,48
G,36
A,47
C,44
A,34
A,38
D,32
F,49
H,36
E,39
I,45
A,44
E,48
G,37
B,47
D,34
F,32
D,38
E,49
G,39
J,45
B,44
H,37
G,48
C,47
F,34
F,38
G,49
E,32
H,39
L,45
C,44
A,47
I,48
E,34
G,32
H,49
E,38
M,45
A,44
J,48
D,47
G,34
G,38
H,32
O,45
B,44
L,48
F,47
H,34
H,38
M,48
C,44
E,47
O,48
G,47
A,44
