concept:name,case:concept:name
A,0
A,1
F,0
A,2
F,1
D,0
A,3
F,2
A,4
D,1
E,0
B,3
A,5
D,2
B,4
E,1
G,0
C,3
E,2
B,5
C,4
A,7
G,1
I,0
A,3
C,5
A,4
G,2
I,1
F,7
J,0
A,9
B,3
A,5
B,4
A,10
I,2
D,7
J,1
L,0
F,9
C,3
A,11
F,5
C,4
J,2
F,10
E,7
K,1
A,12
M,0
D,9
A,3
D,5
F,11
A,4
A,13
L,2
G,7
M,1
D,10
B,12
N,0
E,9
D,11
F,3
A,14
F,4
E,5
F,13
H,7
M,2
N,1
A,6
E,10
E,11
D,3
C,12
G,9
B,14
D,4
G,5
D,13
A,16
G,10
O,2
F,6
H,9
G,11
E,3
A,12
A,17
E,4
C,14
E,13
B,16
H,5
D,6
I,10
A,18
I,11
G,3
B,8
F,12
G,13
A,14
F,17
G,4
A,19
C,16
E,6
J,10
B,18
I,3
J,11
C,8
F,14
H,13
A,20
D,12
I,4
D,17
G,6
A,16
F,19
K,10
J,3
C,18
A,21
D,14
E,17
A,8
E,12
L,11
J,4
B,20
H,6
A,22
I,15
F,16
D,19
K,3
M,10
F,21
A,18
F,8
G,12
K,4
E,14
G,17
A,23
M,11
C,20
J,15
B,22
O,10
D,21
D,16
M,3
B,18
A,24
D,8
I,17
M,4
H,12
G,14
O,11
B,23
A,20
N,3
A,25
L,15
E,16
C,22
E,21
F,24
E,8
C,18
O,4
H,14
J,17
A,26
F,25
C,23
B,20
M,15
G,16
G,21
A,22
A,27
D,24
A,18
G,8
K,17
F,26
C,20
D,25
A,23
A,28
O,15
H,16
B,22
F,27
I,21
F,18
D,26
H,8
A,29
A,20
F,23
E,25
M,17
F,28
D,27
C,22
A,30
J,21
E,26
D,18
F,29
B,20
D,23
N,17
G,25
D,28
A,31
A,22
E,27
G,26
B,30
L,21
E,18
D,29
A,32
E,23
C,20
H,25
E,28
B,22
G,27
M,21
F,31
I,26
A,33
E,29
G,18
C,30
B,32
G,23
A,20
I,27
G,28
C,22
I,18
D,31
N,21
J,26
G,29
A,30
F,33
C,32
A,35
I,23
J,27
F,20
I,28
A,22
I,29
E,31
K,26
A,36
J,18
D,33
B,30
A,32
F,35
J,23
J,28
D,20
L,27
A,37
B,22
J,29
G,31
B,36
E,33
L,18
M,26
C,30
B,32
A,38
D,35
K,23
M,27
E,20
L,28
B,37
K,29
C,22
A,39
C,36
B,38
M,18
G,33
C,32
N,26
E,35
A,30
G,20
M,23
A,40
C,37
O,27
M,28
A,22
B,39
O,18
A,36
M,29
I,33
A,32
C,38
G,35
A,41
F,30
H,20
A,37
N,23
N,28
F,40
C,39
B,22
A,42
J,33
N,29
F,36
B,32
H,35
A,38
F,41
D,30
A,43
F,37
D,40
A,39
K,33
C,22
B,42
C,32
D,36
B,38
A,44
D,41
E,30
B,43
D,37
E,40
B,39
A,22
M,33
A,45
A,32
C,42
E,36
C,38
E,41
F,44
D,34
G,30
G,40
C,39
A,46
C,43
E,37
N,33
B,45
B,22
G,36
F,32
A,42
A,47
E,34
G,41
A,38
I,30
D,44
A,43
A,39
I,40
G,37
F,46
C,45
A,48
I,36
C,22
B,47
D,32
B,42
E,44
H,41
F,38
G,34
J,30
D,46
B,43
H,37
A,49
J,40
A,45
B,39
F,48
J,36
A,22
E,32
C,47
D,38
A,50
C,42
F,49
I,34
L,40
K,30
G,44
E,46
C,43
C,39
D,48
A,51
K,36
F,22
A,47
F,50
G,32
J,34
D,49
A,42
M,40
E,38
H,44
A,43
A,39
A,52
G,46
E,48
M,30
F,51
M,36
B,47
L,34
D,22
H,32
D,50
G,38
A,53
B,42
E,49
O,40
B,43
G,48
H,46
B,52
F,39
O,30
D,51
A,54
E,50
O,36
