concept:name,case:concept:name
A,0
A,1
B,0
B,1
C,0
A,3
C,1
A,4
A,0
F,3
A,5
A,1
F,4
A,6
B,0
B,5
D,3
A,7
D,4
B,1
C,0
B,6
E,3
A,8
F,2
E,4
B,7
C,5
C,1
A,0
A,9
B,8
C,6
G,3
G,4
D,2
C,7
A,1
A,10
A,5
C,8
F,0
B,9
H,3
E,2
A,6
A,11
F,1
I,4
A,7
F,10
B,5
A,12
A,8
C,9
D,0
G,2
F,11
J,4
B,6
D,1
A,13
D,10
C,5
F,7
F,8
E,0
A,9
H,2
B,12
D,11
A,14
C,6
K,4
F,13
E,1
D,7
A,5
D,8
E,10
A,15
G,0
F,9
E,11
C,12
B,14
A,6
M,4
G,1
D,13
A,16
F,5
G,10
H,0
E,8
E,7
B,15
D,9
G,11
B,6
C,14
A,12
A,17
O,4
H,1
F,16
E,13
G,8
I,10
D,5
G,7
C,15
A,18
C,6
H,11
E,9
A,14
B,12
B,17
G,13
D,16
A,19
J,10
A,15
I,8
E,5
F,18
I,7
A,6
G,9
F,14
A,20
C,12
C,17
L,10
B,19
H,13
F,15
E,16
J,8
J,7
H,9
G,5
A,21
D,18
D,14
F,6
B,20
A,12
C,19
A,17
M,10
G,16
A,22
D,15
L,8
K,7
E,14
D,6
B,21
E,18
I,5
B,12
A,23
C,20
F,17
A,19
E,15
F,22
N,10
H,16
C,12
M,8
C,21
M,7
A,24
G,14
E,6
G,18
J,5
A,20
B,23
D,17
B,19
A,25
D,22
G,15
O,7
O,8
A,21
A,12
G,6
H,14
B,24
I,18
C,23
A,26
L,5
B,20
C,19
E,17
B,25
I,15
E,22
F,12
B,21
H,6
J,18
A,27
C,24
A,23
F,26
G,17
C,20
A,19
M,5
G,22
C,25
J,15
D,12
L,18
C,21
F,23
F,27
A,24
A,29
D,26
N,5
A,20
L,15
I,17
F,19
E,12
I,22
A,25
A,21
A,30
D,23
D,27
M,18
F,24
M,15
F,29
F,20
E,26
A,31
J,17
G,12
J,22
B,30
F,25
D,19
E,27
B,21
O,18
E,23
D,24
A,32
G,26
D,20
H,12
N,15
D,29
L,17
B,31
L,22
E,28
D,25
C,30
G,23
C,21
G,27
E,24
E,19
H,26
B,32
E,20
E,29
A,21
C,31
M,17
H,23
E,25
M,22
I,27
A,30
G,28
G,24
G,19
G,20
C,32
N,17
G,29
B,21
A,31
G,25
J,27
O,22
F,30
H,28
H,24
I,20
I,19
A,32
H,29
F,31
H,25
C,21
K,27
D,30
J,20
F,32
J,19
D,31
A,21
M,27
E,30
K,20
D,32
L,19
F,21
E,31
N,27
M,20
G,30
M,19
E,32
G,31
D,21
O,20
O,19
I,30
G,32
H,31
E,21
J,30
I,32
G,21
K,30
J,32
I,21
M,30
L,32
J,21
O,30
M,32
L,21
N,32
M,21
N,21
A,33
A,34
F,33
A,35
D,33
F,34
A,36
F,35
A,37
E,33
D,34
F,36
D,35
A,38
B,37
G,33
D,36
E,34
A,39
F,38
E,35
C,37
E,36
A,40
I,33
G,34
F,39
G,35
D,38
A,41
A,37
G,36
B,40
J,33
A,42
I,34
D,39
H,35
E,38
F,37
B,41
A,43
I,36
C,40
K,33
B,42
J,34
E,39
G,38
A,44
C,41
J,36
D,37
A,40
B,43
I,33
L,34
A,45
C,42
G,39
F,44
H,38
C,43
A,41
K,36
A,46
M,34
B,40
E,37
B,45
J,33
A,42
I,39
A,43
A,47
D,44
F,41
N,34
F,46
I,36
C,40
G,37
B,42
C,45
A,48
J,39
M,33
F,43
E,44
B,47
D,41
J,36
A,49
D,46
A,40
H,37
F,48
A,45
C,42
O,33
D,43
L,39
G,44
E,41
C,47
A,50
M,36
F,40
E,46
B,49
A,42
A,51
D,48
M,39
H,44
B,45
E,43
