concept:name,case:concept:name
A,0
A,1
D,0
A,2
B,1
A,3
F,0
D,2
C,1
A,4
D,3
E,0
A,5
A,1
F,2
B,4
F,3
A,6
G,0
D,5
B,1
A,7
C,4
E,2
E,3
B,6
I,0
A,8
F,5
C,1
A,4
D,7
G,2
G,3
C,6
J,0
A,9
D,8
D,4
F,7
A,10
I,2
A,1
E,5
A,6
L,0
H,3
D,9
A,11
F,4
F,8
E,7
D,1
J,2
D,10
D,6
G,5
F,9
M,0
A,12
E,8
F,1
D,11
L,2
A,13
G,7
F,10
E,9
O,0
F,6
I,5
B,12
A,14
F,11
G,8
E,1
I,7
M,2
B,13
G,9
E,6
C,12
J,5
E,10
A,15
E,11
D,14
H,8
G,1
O,2
J,7
A,16
A,12
C,13
L,5
G,10
I,9
G,6
D,15
G,11
A,17
F,14
I,1
A,13
D,16
L,7
J,9
B,12
F,15
I,6
M,5
H,10
A,18
I,11
B,17
E,14
D,13
J,1
A,19
M,7
E,15
O,5
J,6
K,9
C,12
F,16
B,18
C,17
J,11
A,20
G,14
K,1
O,7
F,13
D,19
A,12
G,15
L,6
E,16
M,9
A,21
C,18
K,11
B,20
A,17
I,14
E,13
F,19
M,1
A,22
N,9
M,6
B,12
H,15
G,16
D,21
A,18
M,11
A,23
C,20
B,17
J,14
N,1
G,13
E,19
D,22
C,12
N,6
I,16
A,24
F,21
B,18
A,20
B,23
N,11
C,17
G,19
I,13
A,25
K,14
F,22
A,12
D,24
J,16
C,18
C,23
E,21
A,26
D,20
A,17
H,19
M,14
B,25
J,13
B,12
F,24
E,22
A,27
L,16
A,18
A,23
G,21
F,20
D,26
C,25
O,14
C,12
A,28
E,24
L,13
B,27
G,22
M,16
D,23
D,18
A,29
I,21
E,20
F,26
D,28
A,25
A,12
G,24
H,22
M,13
C,27
A,30
O,16
B,29
F,18
J,21
E,26
F,23
F,28
B,12
G,20
A,31
B,25
O,13
H,24
A,27
E,18
C,29
B,30
K,21
A,32
G,26
E,28
E,23
C,12
B,31
I,20
C,25
A,33
A,29
G,18
B,27
M,21
C,30
I,26
B,32
A,12
G,23
G,28
C,31
A,34
A,25
J,20
C,27
D,29
D,33
O,21
D,12
A,30
I,18
A,35
I,28
C,32
J,26
A,31
I,23
K,20
B,34
B,25
A,36
F,29
A,27
J,28
B,30
F,33
D,35
F,12
L,26
J,18
J,23
B,31
A,32
M,20
A,37
C,34
C,25
D,36
B,27
E,12
F,35
K,28
E,29
K,18
E,33
M,26
A,38
C,30
N,20
C,31
B,32
L,23
A,34
B,37
C,27
A,39
F,36
G,12
G,29
G,33
M,18
E,35
M,28
A,30
C,32
N,26
A,31
D,38
M,23
A,40
C,37
B,34
A,27
D,39
E,36
H,33
A,32
D,31
H,29
N,28
H,12
A,41
D,30
N,18
G,35
F,38
O,23
A,37
B,40
C,34
D,27
A,42
G,36
F,39
B,32
F,31
F,30
B,41
H,35
E,38
A,43
C,40
A,34
F,27
B,37
D,42
I,36
E,39
E,31
C,32
A,44
C,41
E,30
G,38
D,34
D,43
A,40
E,27
F,42
G,39
A,45
C,37
G,31
J,36
A,32
G,30
A,41
D,44
D,40
F,34
A,46
F,43
H,38
G,27
E,42
I,39
D,45
I,31
K,36
A,37
B,32
A,47
I,30
F,44
D,41
E,34
F,40
J,39
D,46
H,27
G,42
E,43
M,36
J,31
D,37
A,48
C,32
F,45
F,41
B,47
J,30
G,34
E,44
A,49
E,40
N,36
G,43
A,32
F,46
I,42
L,39
L,31
D,48
F,37
E,45
C,47
A,50
G,40
E,41
K,30
G,44
D,49
H,34
F,48
J,42
E,46
D,32
E,37
I,43
M,39
M,31
A,51
G,45
A,47
B,50
G,41
I,40
F,49
L,42
A,52
G,46
G,37
I,44
