concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
B,2
C,1
A,4
F,3
A,0
C,2
A,5
A,1
B,4
B,0
A,6
D,3
A,2
B,5
C,4
F,1
A,7
C,0
B,6
C,5
F,2
E,3
A,8
A,4
B,7
D,1
A,0
C,6
A,9
B,8
D,2
G,3
A,5
E,1
F,4
A,10
C,7
B,0
F,9
A,6
C,8
H,3
B,5
E,2
A,11
G,1
D,4
C,0
B,10
A,7
D,9
A,8
F,6
A,12
I,1
C,5
G,2
F,11
E,4
C,10
A,13
E,9
A,0
B,8
B,7
D,6
B,12
J,1
A,5
I,2
A,14
B,0
G,4
D,11
G,9
A,10
F,13
C,8
C,7
C,12
E,6
A,15
L,1
F,5
J,2
B,14
C,0
I,9
B,10
I,4
A,16
E,11
D,13
A,7
A,8
B,15
G,6
A,12
M,1
A,0
D,5
A,17
L,2
C,14
G,11
J,4
E,13
B,16
B,7
C,10
J,9
B,8
A,18
B,12
I,6
C,15
N,1
F,0
B,17
E,5
M,2
H,11
A,14
C,16
G,13
L,4
A,10
A,19
C,7
C,8
L,9
F,18
C,12
A,15
G,5
D,0
A,20
J,6
C,17
A,7
N,2
H,13
M,4
A,16
B,14
A,8
F,19
B,10
D,18
M,9
A,21
E,0
A,12
F,20
B,15
H,5
F,7
L,6
A,17
N,4
F,16
F,8
C,10
A,22
E,18
D,19
C,14
O,9
B,12
G,0
C,15
B,21
B,17
D,20
M,6
A,23
D,7
A,10
D,8
G,18
D,16
A,14
B,22
E,19
A,24
A,15
C,12
C,21
H,0
C,17
O,6
E,20
F,23
E,7
E,8
B,10
A,25
C,22
F,14
G,19
H,18
E,16
F,24
B,15
A,17
A,21
A,12
G,20
A,26
D,23
G,7
I,19
G,8
B,25
C,10
G,16
D,14
A,22
F,17
C,15
H,20
A,27
D,24
F,21
I,7
F,12
B,26
E,23
C,25
A,10
J,19
A,28
E,14
H,8
F,27
D,17
I,16
A,15
E,24
B,22
D,21
D,12
A,29
G,23
J,7
F,10
A,25
C,26
G,14
K,19
D,27
J,16
E,17
B,28
E,21
B,15
G,24
A,30
C,22
E,12
I,23
B,29
K,7
D,10
B,25
A,26
A,31
M,19
I,14
K,16
G,17
C,28
G,21
E,27
I,24
B,30
C,15
C,29
J,23
G,12
A,22
M,7
A,32
E,10
J,14
B,26
M,16
O,19
C,25
B,31
H,17
A,28
G,27
A,33
H,21
J,24
C,30
A,15
F,22
F,32
L,23
I,12
N,7
G,10
A,29
L,14
A,34
C,26
N,16
A,25
C,31
F,33
H,27
F,28
A,30
L,24
F,15
D,32
H,10
D,22
M,23
A,35
J,12
M,14
B,29
B,34
A,26
B,25
D,15
A,31
D,33
D,28
A,36
M,24
F,30
E,22
B,35
O,23
O,14
E,32
C,29
L,12
C,34
A,37
E,33
B,26
E,15
C,25
E,28
B,36
F,31
D,30
O,24
G,22
C,35
A,38
G,32
B,37
A,29
M,12
A,34
C,26
G,33
G,28
G,15
C,36
A,25
D,31
A,39
E,30
H,22
B,34
I,32
F,38
A,35
O,12
C,37
A,26
A,40
F,29
I,28
A,36
F,25
H,33
E,31
H,15
B,39
G,30
A,41
F,35
J,32
D,38
C,34
A,37
B,40
J,28
B,26
D,29
D,25
G,31
H,30
A,42
B,36
C,39
L,32
F,41
D,35
E,38
F,37
C,36
A,43
K,28
C,26
C,40
A,34
E,25
E,29
I,31
A,39
B,42
M,32
D,41
A,44
E,35
G,38
G,25
A,36
F,34
D,37
F,43
M,28
A,26
A,40
G,29
C,42
J,31
A,45
B,39
O,32
E,41
B,44
G,35
I,38
D,34
B,36
A,46
H,25
D,43
E,37
A,42
H,29
N,28
L,31
D,40
F,26
G,41
C,39
B,45
C,44
A,47
