concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
F,2
C,1
A,4
A,0
B,3
A,5
D,2
A,1
B,4
C,3
F,0
A,6
B,1
B,5
C,4
E,2
A,7
D,0
B,6
A,3
C,5
A,8
C,1
A,4
G,2
B,7
C,6
B,3
A,9
E,0
A,5
B,8
A,1
A,6
H,2
A,10
B,4
C,7
B,9
C,3
B,5
C,8
G,0
B,1
A,11
A,7
F,10
F,6
C,4
A,3
C,9
A,12
C,5
A,8
H,0
C,1
F,11
A,4
D,6
A,13
D,10
B,7
F,3
A,9
F,12
A,5
F,8
A,14
A,1
D,11
F,4
C,7
F,13
E,6
E,10
D,3
F,5
D,12
B,9
A,15
D,8
B,14
A,7
D,13
B,1
D,4
E,11
G,6
D,5
G,10
E,3
F,15
C,9
E,12
E,8
C,14
A,17
E,4
G,11
F,7
C,1
H,6
E,13
E,5
I,10
G,12
G,3
D,15
A,18
A,9
G,8
A,14
F,17
D,7
G,5
G,4
I,11
A,1
A,19
J,10
F,18
G,13
F,9
I,12
I,3
E,15
F,14
I,8
D,17
E,7
J,11
L,10
H,4
B,19
H,5
H,13
B,1
D,18
D,9
J,12
D,14
A,21
J,3
G,15
J,8
G,7
E,17
M,10
K,11
A,22
C,19
C,1
E,18
L,12
F,21
E,9
E,14
K,3
H,15
K,8
I,7
A,23
N,10
G,17
M,11
F,22
A,19
M,12
A,1
G,18
M,8
A,24
G,9
D,21
G,14
M,3
J,7
B,23
O,11
A,25
B,1
I,17
O,12
D,22
B,19
N,8
H,9
B,24
I,14
I,18
O,3
K,7
E,21
A,26
J,17
C,23
C,1
F,25
E,22
C,19
M,7
J,18
J,14
A,27
C,24
G,21
B,26
K,17
A,1
A,28
A,23
D,25
G,22
A,19
L,18
K,14
I,21
O,7
F,27
A,24
C,26
A,29
M,17
B,1
I,22
B,23
F,28
M,18
E,25
M,14
J,21
B,19
A,30
D,27
A,26
B,24
N,17
F,29
J,22
A,31
B,16
C,1
C,23
N,18
D,28
N,14
C,19
G,25
L,21
B,30
C,24
K,22
B,26
D,29
E,27
B,31
C,16
A,23
A,1
A,19
A,33
H,25
E,28
M,21
M,22
A,24
G,27
C,26
E,29
A,20
C,30
C,31
A,34
A,16
B,23
F,1
G,28
B,19
B,33
B,24
O,22
N,21
F,20
A,26
A,35
G,29
H,27
A,30
A,31
B,16
B,34
C,23
D,1
C,19
C,33
A,36
C,24
B,31
D,20
B,26
I,29
C,34
F,35
B,30
C,16
A,37
E,1
A,19
A,33
A,23
B,36
A,24
C,31
A,34
C,26
C,30
E,20
A,38
D,35
J,29
A,16
B,19
F,37
G,1
B,33
F,24
C,36
A,39
F,23
A,26
F,38
G,20
B,34
A,31
A,30
I,32
E,35
F,16
K,29
A,40
I,1
D,24
C,33
A,36
C,19
D,23
D,37
F,30
F,39
I,20
D,38
F,26
F,31
A,41
C,34
J,32
D,16
G,35
M,29
A,33
B,40
E,24
A,19
E,23
A,42
E,37
F,36
J,1
J,20
D,30
D,26
B,41
D,39
D,31
L,32
A,34
E,16
H,35
O,29
A,43
G,24
B,19
F,33
C,40
G,37
G,23
F,42
L,20
E,26
D,36
K,1
E,30
C,41
G,16
E,39
A,44
E,31
M,32
F,34
B,43
A,40
D,33
M,1
I,24
D,42
C,19
A,45
E,36
I,23
G,30
I,37
G,26
M,20
H,16
G,31
A,41
F,44
G,39
O,32
D,34
C,43
F,40
E,33
J,23
O,1
E,42
J,24
F,45
H,26
H,30
G,36
A,19
J,37
N,20
H,31
A,47
I,39
D,44
E,34
F,41
A,43
G,33
G,42
K,23
L,24
D,40
A,48
F,19
D,45
K,37
I,36
B,47
F,43
G,34
E,44
J,39
D,41
A,49
I,33
M,24
