concept:name,case:concept:name
A,0
A,1
D,0
A,2
B,1
A,3
F,0
B,2
A,4
C,1
B,3
E,0
C,2
A,5
B,4
A,1
A,6
G,0
A,2
C,3
D,5
A,7
C,4
B,1
D,6
H,0
A,3
D,2
A,8
F,5
B,7
A,4
C,1
A,9
F,6
F,2
B,3
B,8
C,7
D,4
A,10
A,1
E,6
D,9
C,3
E,2
A,11
C,8
D,10
A,7
F,4
D,1
A,12
G,6
F,9
A,3
G,2
B,11
A,8
E,4
F,10
A,13
B,7
F,1
D,12
I,6
E,9
D,3
C,11
A,14
I,2
B,8
G,4
C,7
D,13
E,1
A,15
F,12
J,6
G,9
F,3
C,8
D,14
J,2
A,11
H,4
F,13
G,1
A,7
E,12
D,15
L,6
E,3
I,9
L,2
A,17
A,8
F,14
D,11
D,7
E,13
I,1
A,18
G,12
B,8
B,17
F,15
G,3
J,9
M,6
M,2
F,11
E,14
F,7
A,19
J,1
G,13
C,8
C,17
B,18
H,12
H,3
E,15
O,2
K,9
A,20
O,6
G,14
E,11
L,1
E,7
B,19
I,13
A,21
A,8
A,17
C,18
G,15
I,14
M,9
B,20
G,11
G,7
M,1
A,22
D,21
C,19
O,9
J,13
D,8
B,17
I,15
J,14
A,18
A,23
I,7
I,11
C,20
B,22
N,1
F,21
A,19
K,13
A,24
C,17
J,15
F,8
B,18
B,23
J,11
L,14
E,16
J,7
A,20
A,25
E,21
C,22
B,19
M,13
B,24
K,15
A,17
C,23
E,8
G,16
C,18
A,26
K,11
M,14
L,7
B,25
B,20
G,21
C,19
N,13
A,22
C,24
B,17
A,27
I,16
M,15
A,23
A,18
N,14
D,26
M,11
G,8
C,25
D,22
A,19
A,28
M,7
C,20
H,21
A,24
C,17
D,27
J,16
I,8
O,15
O,11
D,18
A,29
F,26
F,22
B,28
O,7
A,25
B,24
A,20
D,19
A,17
K,16
A,30
F,27
J,8
F,18
E,26
B,29
E,22
A,31
C,28
B,20
F,19
C,24
D,25
D,17
B,30
M,16
L,8
E,27
C,29
G,26
E,18
A,28
G,22
D,31
C,20
E,19
F,25
A,24
F,17
C,30
O,16
M,8
I,26
G,27
F,31
G,18
B,28
A,29
H,22
A,20
G,19
B,24
E,17
A,30
J,26
I,27
O,8
C,28
B,29
B,20
H,18
I,19
C,24
G,17
D,30
L,26
J,27
A,28
C,20
C,29
J,19
A,24
H,17
F,30
M,26
A,29
L,27
A,20
D,28
K,19
D,24
E,30
O,26
F,28
M,27
D,20
D,29
M,19
G,30
F,24
E,32
E,28
N,27
F,20
F,29
N,19
I,30
E,24
G,28
G,32
E,29
E,20
G,24
J,30
I,28
G,29
I,32
G,20
H,24
L,30
J,28
H,29
J,32
H,20
M,30
K,32
L,28
N,30
M,32
M,28
N,32
N,28
A,33
A,34
F,33
A,35
B,34
A,36
Q,33
B,35
C,34
A,37
E,33
F,36
A,38
C,35
A,34
B,37
G,33
A,39
Q,36
A,35
E,38
B,34
A,40
H,33
C,37
F,39
E,36
F,35
A,41
G,38
C,34
B,40
Q,39
A,37
G,36
I,38
E,41
Q,35
A,43
C,40
A,34
E,39
B,37
I,36
J,38
G,41
E,35
E,43
A,40
F,34
G,39
A,45
K,38
C,37
J,36
I,41
G,35
A,46
E,40
E,42
G,43
Q,34
I,39
E,45
A,37
M,38
G,44
A,47
L,36
I,35
G,40
G,42
B,46
G,45
E,34
A,48
J,39
H,43
O,38
B,37
H,44
B,47
M,36
H,40
J,35
A,49
H,42
E,48
I,45
C,46
G,34
K,39
C,47
C,37
A,50
N,36
E,49
L,35
A,46
J,45
A,51
G,48
I,34
M,39
A,37
A,47
B,50
A,52
M,35
K,45
B,46
F,51
H,48
N,39
J,34
B,37
B,47
A,53
C,50
B,52
C,46
