concept:name,case:concept:name
A,0
A,1
D,0
A,2
B,1
A,3
F,0
D,2
C,1
A,4
D,3
E,0
F,2
A,5
D,4
A,1
F,3
G,0
A,6
E,2
D,5
E,3
F,4
A,7
B,1
H,0
B,6
G,2
A,8
F,5
E,4
G,3
B,7
C,1
A,9
I,2
C,6
D,8
A,1
C,7
E,5
G,4
H,3
A,10
D,9
J,2
A,6
A,11
H,4
G,5
A,7
D,1
F,8
B,10
A,12
F,9
L,2
D,6
B,11
H,5
F,1
A,13
D,7
E,8
B,12
E,9
C,10
M,2
A,14
F,6
E,1
B,13
C,11
F,7
C,12
G,8
A,15
N,2
G,9
A,10
B,14
A,11
E,6
C,13
G,1
A,16
E,7
A,12
B,15
H,8
B,10
H,9
C,14
A,17
B,11
G,6
A,13
D,12
G,7
I,1
D,16
C,15
A,18
C,10
B,17
A,14
C,11
H,6
J,1
H,7
A,19
B,13
F,16
F,12
A,15
A,10
B,18
C,17
D,14
A,20
A,11
E,16
L,1
E,12
B,15
C,13
B,19
D,10
C,18
A,21
A,17
B,11
M,1
D,20
F,14
G,16
A,22
A,13
F,10
C,15
G,12
C,19
A,18
D,21
B,17
A,23
F,20
C,11
O,1
E,14
A,15
D,13
F,21
D,22
D,18
I,16
I,12
E,10
A,19
A,24
D,23
C,17
A,11
E,20
G,14
B,15
F,18
A,25
F,13
J,16
F,22
G,10
E,21
J,12
B,19
B,24
F,23
A,17
A,26
G,20
D,11
L,16
E,18
B,25
E,13
I,14
E,22
C,15
G,21
L,12
A,27
H,10
C,19
C,24
E,23
D,26
D,17
H,20
G,18
F,11
M,16
J,14
I,21
A,28
C,25
G,13
M,12
A,15
G,22
A,19
D,27
A,24
G,23
F,17
F,26
A,29
I,18
N,16
E,11
J,21
H,22
L,14
N,12
A,25
B,19
D,28
H,13
F,27
B,15
A,30
D,24
E,17
H,23
E,26
B,29
M,14
G,11
K,21
A,31
J,18
D,25
F,28
C,15
E,27
C,19
F,24
D,30
G,17
G,26
C,29
A,32
N,14
B,31
M,21
A,15
I,11
E,28
F,25
G,27
K,18
A,33
E,24
F,30
I,17
A,19
H,26
C,31
N,21
A,29
D,32
D,15
A,34
G,28
J,11
M,18
E,25
H,27
G,24
D,33
J,17
E,30
A,35
A,31
D,29
B,19
F,32
F,15
O,18
D,34
G,25
K,11
H,28
A,36
F,33
I,24
L,17
B,35
D,31
G,30
E,32
F,29
C,19
F,34
E,15
M,11
A,37
H,25
J,24
B,36
E,33
H,30
M,17
C,35
G,32
E,29
A,38
F,31
A,19
N,11
E,34
D,37
G,15
A,39
K,24
N,17
G,33
C,36
H,32
A,35
E,31
D,38
G,29
D,19
A,40
F,37
I,15
G,34
B,39
A,36
M,24
I,33
G,31
A,41
D,35
F,38
F,19
I,29
B,40
H,34
J,15
E,37
N,24
A,42
D,36
C,39
J,33
B,41
E,38
F,35
H,31
C,40
J,29
E,19
A,43
K,15
G,37
F,36
G,38
C,41
A,39
K,33
B,42
E,35
A,44
K,29
A,40
B,43
G,19
E,36
I,37
M,15
A,45
M,33
H,38
B,39
A,41
C,42
G,35
B,44
M,29
B,40
C,43
A,46
H,19
G,36
D,45
J,37
B,41
N,15
O,33
A,42
C,39
A,47
H,35
C,44
O,29
C,40
H,36
A,43
B,46
F,45
A,48
K,37
C,41
A,39
D,42
B,47
A,44
A,49
B,43
C,46
A,40
E,45
B,48
A,41
F,42
D,39
M,37
A,50
D,44
C,47
A,46
B,49
G,45
C,43
B,40
A,51
C,48
F,39
E,42
D,41
A,47
N,37
B,50
F,44
B,46
H,45
A,43
A,52
C,49
C,40
A,48
E,39
B,51
G,42
C,50
D,47
A,53
F,41
E,44
C,46
B,43
B,52
A,49
G,39
A,40
B,48
