concept:name,case:concept:name
Activity A,0
Activity E,0
Activity P,0
Activity Q,0
Activity F,0
Activity T,0
Activity AB,0
Activity AD,0
Activity AE,0
Activity A,1
Activity AC,0
Activity AR,1
Activity U,0
Activity AX,1
Activity AF,0
Activity CW,1
Activity AI,0
Activity CX,1
Activity AJ,0
Activity AK,0
Activity AZ,1
Activity AH,0
Activity BA,1
Activity AO,0
Activity AY,1
Activity AQ,0
Activity BB,1
Activity AP,0
Activity BD,1
Activity AM,0
Activity BF,1
Activity AN,0
Activity BH,1
Activity AL,0
Activity BE,1
Activity BG,1
Activity AG,0
Activity BC,1
Activity B,0
Activity AS,1
Activity CI,1
Activity CK,1
Activity CM,1
Activity CO,1
Activity A,2
Activity CN,1
Activity C,2
Activity CQ,1
Activity D,2
Activity B,2
Activity CR,1
Activity CP,1
Activity CL,1
Activity CJ,1
Activity CS,1
Activity CV,1
Activity CU,1
Activity CT,1
Activity CY,1
Activity B,1
Activity A,3
Activity E,3
Activity R,3
Activity S,3
Activity F,3
Activity T,3
Activity Z,3
Activity AA,3
Activity U,3
Activity AF,3
Activity AH,3
Activity AI,3
Activity AJ,3
Activity AK,3
Activity AQ,3
Activity AO,3
Activity AP,3
Activity AM,3
Activity AN,3
Activity AL,3
Activity AG,3
Activity B,3
Activity A,4
Activity AR,4
Activity BV,4
Activity BX,4
Activity CH,4
Activity BY,4
Activity CA,4
Activity BZ,4
Activity CC,4
Activity CG,4
Activity CD,4
Activity CE,4
Activity CF,4
Activity CB,4
Activity BW,4
Activity AS,4
Activity CI,4
Activity CK,4
Activity CO,4
Activity CN,4
Activity CQ,4
Activity CM,4
Activity CR,4
Activity CP,4
Activity CL,4
Activity CJ,4
Activity CS,4
Activity CV,4
Activity CU,4
Activity CX,4
Activity CW,4
Activity CT,4
Activity CY,4
Activity B,4
Activity A,5
Activity A,6
Activity AR,5
Activity AR,6
Activity AX,5
Activity AT,6
Activity AU,6
Activity AZ,5
Activity AV,6
Activity BA,5
Activity AS,6
Activity CI,6
Activity AY,5
Activity BB,5
Activity CQ,6
Activity CK,6
Activity A,7
Activity BH,5
Activity CR,6
Activity E,7
Activity BD,5
Activity N,7
Activity BF,5
Activity CM,6
Activity O,7
Activity BG,5
Activity CP,6
