concept:name,case:concept:name
A,0
A,1
F,0
A,2
B,1
A,3
D,0
B,2
A,4
C,1
F,3
E,0
A,5
C,2
B,4
A,1
A,6
D,3
G,0
B,5
A,2
C,4
A,7
B,1
E,3
B,6
A,8
C,5
I,0
B,2
C,1
F,7
A,4
C,6
G,3
A,9
A,5
J,0
F,8
C,2
A,1
B,4
D,7
A,10
H,3
A,6
D,8
K,0
B,9
A,11
B,5
B,1
E,7
A,2
C,4
F,10
F,6
A,12
E,8
C,5
F,11
M,0
C,9
B,2
C,1
G,7
A,4
D,10
A,13
D,6
A,5
F,12
G,8
D,11
O,0
A,14
C,2
A,9
A,1
E,10
F,13
I,7
F,4
E,6
A,15
B,5
F,14
I,8
A,2
D,12
B,1
E,11
G,10
F,9
D,13
J,7
A,16
D,4
G,6
B,15
D,14
C,5
J,8
B,2
C,1
E,12
A,17
H,10
G,11
E,13
D,9
L,7
F,16
E,4
A,5
I,6
C,2
E,14
C,15
A,18
L,8
A,1
F,17
G,12
I,11
M,7
G,13
F,5
A,19
D,16
A,2
J,6
G,4
G,14
F,18
M,8
D,17
A,15
F,1
A,20
I,12
N,7
J,11
I,4
I,13
B,19
D,5
H,14
E,16
B,2
D,18
K,6
E,17
O,8
A,21
B,15
D,1
B,20
J,12
L,11
E,18
J,4
J,13
A,22
C,2
G,16
E,5
C,19
M,6
C,15
B,21
C,20
G,17
E,1
K,12
A,23
G,18
M,11
N,6
B,22
L,13
K,4
H,16
A,2
A,19
G,5
A,15
C,21
H,17
A,24
M,12
A,20
G,1
H,18
F,2
N,11
F,23
M,13
F,19
A,25
C,22
M,4
A,21
H,5
N,12
F,15
F,24
B,20
A,26
D,2
H,1
D,23
D,19
N,13
A,22
F,21
F,25
O,4
A,27
D,24
D,15
C,20
E,2
F,26
E,23
F,22
E,19
A,28
D,21
D,25
B,27
E,24
E,15
A,20
D,26
A,29
G,2
G,19
G,23
F,28
D,22
E,21
E,25
A,30
C,27
G,15
B,20
G,24
E,26
H,19
H,23
B,29
H,2
D,28
E,22
A,31
I,15
G,21
F,30
I,24
A,27
C,20
G,25
A,32
G,26
C,29
B,31
G,22
E,28
H,25
A,20
D,30
J,24
A,33
I,21
J,15
F,27
H,26
A,29
F,32
C,31
A,34
G,28
I,22
F,20
K,24
B,33
K,15
E,30
D,27
J,21
B,29
A,35
D,32
A,31
F,34
H,28
D,20
J,22
M,24
G,30
A,36
K,21
C,33
M,15
E,27
C,29
F,35
D,34
B,31
E,32
A,37
I,30
N,24
L,22
E,20
F,36
N,15
M,21
G,27
A,29
A,33
C,31
A,38
D,35
E,34
G,32
F,37
M,22
H,27
D,36
J,30
O,21
A,39
B,33
G,20
F,29
E,35
A,31
B,38
G,34
O,22
A,40
D,37
I,32
E,36
K,30
C,33
F,39
H,20
D,29
G,35
C,38
A,41
B,31
I,34
B,40
E,37
G,36
M,30
J,32
A,33
J,34
C,31
E,29
D,39
A,38
B,41
I,35
C,40
A,43
O,30
G,37
K,32
F,33
I,36
B,38
K,34
G,29
A,31
A,44
J,35
E,39
C,41
F,43
M,32
A,40
D,33
I,37
J,36
M,34
B,31
C,38
L,35
I,29
B,44
G,39
B,40
D,43
A,41
O,32
J,37
E,33
K,36
C,31
A,38
N,34
M,35
A,47
H,39
C,40
F,41
J,29
C,44
E,43
G,33
K,37
M,36
A,48
A,31
F,38
F,47
L,29
D,41
O,35
A,40
G,43
A,44
A,49
H,33
M,37
O,36
F,31
B,48
D,38
D,47
E,45
M,29
F,44
H,43
F,40
E,41
O,37
B,49
E,46
A,51
E,42
E,47
C,48
G,45
D,31
O,29
E,38
D,44
D,40
A,52
C,49
G,41
A,48
G,46
F,51
G,42
G,47
H,45
A,53
E,31
G,38
