concept:name,case:concept:name
Confirmation of receipt,case-891
T02 Check confirmation of receipt,case-891
T03 Adjust confirmation of receipt,case-891
T02 Check confirmation of receipt,case-891
T03 Adjust confirmation of receipt,case-891
Confirmation of receipt,case-3756
T06 Determine necessity of stop advice,case-3756
T02 Check confirmation of receipt,case-3756
T07-1 Draft intern advice aspect 1,case-3756
T06 Determine necessity of stop advice,case-3756
T10 Determine necessity to stop indication,case-3756
T04 Determine confirmation of receipt,case-3756
Confirmation of receipt,case-3766
T06 Determine necessity of stop advice,case-3766
T10 Determine necessity to stop indication,case-3766
T02 Check confirmation of receipt,case-3766
T05 Print and send confirmation of receipt,case-3756
T03 Adjust confirmation of receipt,case-3766
T02 Check confirmation of receipt,case-3766
T04 Determine confirmation of receipt,case-3766
T05 Print and send confirmation of receipt,case-3766
Confirmation of receipt,case-3818
T06 Determine necessity of stop advice,case-3818
T02 Check confirmation of receipt,case-3818
T03 Adjust confirmation of receipt,case-3818
T02 Check confirmation of receipt,case-3818
Confirmation of receipt,case-416
T02 Check confirmation of receipt,case-416
T04 Determine confirmation of receipt,case-416
T05 Print and send confirmation of receipt,case-416
T06 Determine necessity of stop advice,case-416
T07-5 Draft intern advice aspect 5,case-3818
T06 Determine necessity of stop advice,case-3818
T10 Determine necessity to stop indication,case-3818
T03 Adjust confirmation of receipt,case-3818
T02 Check confirmation of receipt,case-3818
T03 Adjust confirmation of receipt,case-3818
T02 Check confirmation of receipt,case-3818
Confirmation of receipt,case-3989
T02 Check confirmation of receipt,case-3989
T04 Determine confirmation of receipt,case-3989
T05 Print and send confirmation of receipt,case-3989
T06 Determine necessity of stop advice,case-3989
T10 Determine necessity to stop indication,case-3989
Confirmation of receipt,case-3991
T06 Determine necessity of stop advice,case-3991
T02 Check confirmation of receipt,case-3991
T04 Determine confirmation of receipt,case-3991
T10 Determine necessity to stop indication,case-3991
T05 Print and send confirmation of receipt,case-3991
T04 Determine confirmation of receipt,case-3818
T05 Print and send confirmation of receipt,case-3818
Confirmation of receipt,case-3984
T06 Determine necessity of stop advice,case-3984
Confirmation of receipt,case-3998
T07-5 Draft intern advice aspect 5,case-3984
T07-1 Draft intern advice aspect 1,case-3984
T08 Draft and send request for advice,case-3984
T09-1 Process or receive external advice from party 1,case-3984
Confirmation of receipt,case-3995
Confirmation of receipt,case-3987
Confirmation of receipt,case-4010
T06 Determine necessity of stop advice,case-3987
T10 Determine necessity to stop indication,case-3987
Confirmation of receipt,case-4008
T02 Check confirmation of receipt,case-3995
T02 Check confirmation of receipt,case-3998
T02 Check confirmation of receipt,case-3987
T02 Check confirmation of receipt,case-4010
Confirmation of receipt,case-3961
T06 Determine necessity of stop advice,case-3961
T07-3 Draft intern advice hold for aspect 3,case-3961
Confirmation of receipt,case-3879
T04 Determine confirmation of receipt,case-3995
T04 Determine confirmation of receipt,case-3998
T04 Determine confirmation of receipt,case-3987
T04 Determine confirmation of receipt,case-4010
T05 Print and send confirmation of receipt,case-3995
T05 Print and send confirmation of receipt,case-3998
T05 Print and send confirmation of receipt,case-3987
T05 Print and send confirmation of receipt,case-4010
T06 Determine necessity of stop advice,case-3961
T10 Determine necessity to stop indication,case-3961
Confirmation of receipt,case-3877
Confirmation of receipt,case-4014
T06 Determine necessity of stop advice,case-4014
T10 Determine necessity to stop indication,case-4014
T02 Check confirmation of receipt,case-4014
Confirmation of receipt,case-4017
T06 Determine necessity of stop advice,case-4017
T10 Determine necessity to stop indication,case-4017
T04 Determine confirmation of receipt,case-4014
T02 Check confirmation of receipt,case-4017
Confirmation of receipt,case-4020
T06 Determine necessity of stop advice,case-4020
T10 Determine necessity to stop indication,case-4020
T04 Determine confirmation of receipt,case-4017
Confirmation of receipt,case-4021
T06 Determine necessity of stop advice,case-4021
T10 Determine necessity to stop indication,case-4021
T16 Report reasons to hold request,case-4021
T17 Check report Y to stop indication,case-4021
T19 Determine report Y to stop indication,case-4021
T20 Print report Y to stop indication,case-4021
Confirmation of receipt,case-4025
T06 Determine necessity of stop advice,case-4025
T10 Determine necessity to stop indication,case-4025
T02 Check confirmation of receipt,case-4025
Confirmation of receipt,case-4027
T06 Determine necessity of stop advice,case-4027
T10 Determine necessity to stop indication,case-4027
T06 Determine necessity of stop advice,case-3877
T02 Check confirmation of receipt,case-3877
T04 Determine confirmation of receipt,case-3877
Confirmation of receipt,case-4028
T06 Determine necessity of stop advice,case-4028
T10 Determine necessity to stop indication,case-4028
T06 Determine necessity of stop advice,case-3998
T10 Determine necessity to stop indication,case-3998
T07-3 Draft intern advice hold for aspect 3,case-3984
Confirmation of receipt,case-4057
T06 Determine necessity of stop advice,case-4057
T10 Determine necessity to stop indication,case-4057
T02 Check confirmation of receipt,case-4057
T03 Adjust confirmation of receipt,case-4057
Confirmation of receipt,case-4058
T06 Determine necessity of stop advice,case-4058
T10 Determine necessity to stop indication,case-4058
Confirmation of receipt,case-4059
T06 Determine necessity of stop advice,case-4059
T10 Determine necessity to stop indication,case-4059
T05 Print and send confirmation of receipt,case-4014
T05 Print and send confirmation of receipt,case-4017
T05 Print and send confirmation of receipt,case-3877
T08 Draft and send request for advice,case-3877
T07-5 Draft intern advice aspect 5,case-3877
T09-4 Process or receive external advice from party 4,case-3877
T06 Determine necessity of stop advice,case-3877
T10 Determine necessity to stop indication,case-3877
Confirmation of receipt,case-709
T02 Check confirmation of receipt,case-709
T04 Determine confirmation of receipt,case-709
T05 Print and send confirmation of receipt,case-709
Confirmation of receipt,case-4061
T06 Determine necessity of stop advice,case-4061
T10 Determine necessity to stop indication,case-4061
T07-4 Draft internal advice to hold for type 4,case-3984
T07-2 Draft intern advice aspect 2,case-3984
T02 Check confirmation of receipt,case-3984
T04 Determine confirmation of receipt,case-3984
T02 Check confirmation of receipt,case-4028
T02 Check confirmation of receipt,case-4027
T02 Check confirmation of receipt,case-4058
T02 Check confirmation of receipt,case-4057
T02 Check confirmation of receipt,case-4059
T02 Check confirmation of receipt,case-4020
T02 Check confirmation of receipt,case-4061
Confirmation of receipt,case-4063
T06 Determine necessity of stop advice,case-4063
T10 Determine necessity to stop indication,case-4063
T02 Check confirmation of receipt,case-3879
T02 Check confirmation of receipt,case-4063
T04 Determine confirmation of receipt,case-4063
Confirmation of receipt,case-3926
T04 Determine confirmation of receipt,case-4027
T06 Determine necessity of stop advice,case-4010
T10 Determine necessity to stop indication,case-4010
