concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
D,2
C,1
A,4
B,3
F,2
A,0
A,5
A,1
D,4
C,3
E,2
A,6
B,0
B,5
F,4
A,7
D,1
A,3
D,6
G,2
C,5
A,8
C,0
E,4
B,7
F,1
F,6
B,3
I,2
A,5
A,0
B,8
G,4
C,7
A,10
E,1
C,3
J,2
E,6
I,4
A,11
C,8
D,5
D,0
B,10
A,7
G,6
L,2
G,1
A,3
A,12
J,4
A,8
B,11
F,5
F,0
B,3
I,1
A,13
C,10
H,6
M,2
K,4
D,7
D,12
A,14
E,5
B,8
C,11
E,0
J,1
A,10
D,13
N,2
C,3
F,12
F,7
M,4
A,15
D,9
G,5
A,11
D,14
C,8
K,1
A,16
G,0
F,13
D,10
E,12
A,3
O,4
B,15
F,9
E,7
D,11
A,8
F,14
I,5
E,13
H,0
M,1
D,16
F,10
B,3
G,12
C,15
A,18
G,7
E,9
J,5
F,11
G,13
E,14
D,8
N,1
A,19
F,16
E,10
A,15
H,7
B,18
C,3
G,9
A,20
E,11
G,14
I,13
E,16
F,8
D,19
K,5
G,10
C,18
D,15
A,21
H,9
A,3
E,17
D,20
G,11
G,16
H,14
F,19
J,13
A,22
M,5
E,8
F,15
A,18
D,21
H,10
B,3
F,20
G,17
A,23
H,11
I,16
D,22
E,19
G,8
L,13
F,21
O,5
E,15
D,18
A,24
E,20
H,17
C,3
F,22
J,16
G,19
D,23
H,8
M,13
F,18
A,25
E,21
G,15
D,24
G,20
A,3
A,26
E,18
F,23
L,16
I,19
E,22
D,25
O,13
G,21
H,15
F,24
A,27
B,3
I,20
G,18
D,26
E,23
M,16
G,22
J,19
A,28
H,21
F,25
E,24
B,27
J,20
C,3
H,18
A,29
H,22
F,26
G,23
L,19
O,16
D,28
E,25
A,30
G,24
A,3
C,27
B,29
L,20
E,26
M,19
H,23
G,25
A,31
F,28
H,24
B,30
C,29
M,20
B,3
G,26
A,27
N,19
E,28
H,25
D,31
A,33
C,30
D,27
O,20
C,3
I,26
A,29
G,28
A,34
F,31
D,33
A,3
A,30
J,26
F,27
A,35
B,29
H,28
B,34
E,31
B,30
A,36
E,27
D,3
F,33
B,35
K,26
C,29
A,37
C,34
G,31
C,30
D,36
F,3
G,27
E,33
C,35
A,38
M,26
A,29
A,34
B,37
I,31
A,39
E,3
G,33
F,36
I,32
I,27
A,35
A,30
O,26
D,38
D,34
D,29
C,37
J,31
D,39
G,3
H,33
E,36
J,32
F,38
J,27
B,35
A,41
D,30
F,34
F,29
A,37
F,39
H,3
K,31
A,42
C,35
E,38
L,27
G,36
F,30
D,41
K,32
E,29
A,43
D,37
M,31
A,35
M,27
B,42
E,39
H,36
A,44
G,38
M,32
F,41
G,29
B,43
E,30
N,31
F,37
A,45
B,35
C,42
B,44
G,39
N,27
I,38
H,29
O,32
C,43
E,41
A,46
G,30
B,45
A,42
C,35
C,44
H,39
G,41
A,47
J,38
A,43
B,46
H,30
D,42
A,48
C,45
A,35
A,44
L,38
B,47
I,41
B,43
C,46
A,49
F,42
B,48
A,45
B,35
C,43
C,47
D,44
A,50
M,38
J,41
A,46
E,42
B,49
C,35
A,51
C,48
D,45
F,44
A,47
N,38
L,41
D,50
D,46
G,42
A,52
C,49
A,48
A,35
F,45
E,44
B,51
D,47
F,50
A,53
F,46
D,52
M,41
H,42
A,49
C,51
B,35
A,54
E,45
G,44
B,48
F,47
E,50
E,46
D,53
F,52
A,55
N,41
B,49
C,35
A,51
I,44
C,48
G,50
D,54
E,47
G,45
G,46
F,53
A,56
C,40
E,52
D,55
B,51
A,35
C,49
J,44
H,50
A,57
A,48
G,47
I,46
E,53
I,45
B,56
F,54
A,40
D,35
A,58
G,52
