concept:name,case:concept:name
A,0
A,1
F,0
F,1
A,3
D,0
D,1
A,4
E,0
F,3
A,5
E,1
F,4
A,6
G,0
D,3
B,5
G,1
D,4
F,6
E,3
H,0
A,8
C,5
H,1
E,4
A,9
D,6
B,8
G,3
A,5
A,10
G,4
E,2
E,6
F,9
C,8
A,11
H,3
B,5
H,4
F,10
G,2
D,9
A,12
G,6
A,8
F,11
D,10
C,5
A,13
E,9
I,2
B,12
H,6
D,11
A,14
E,10
B,8
A,5
F,13
G,9
J,2
C,12
E,11
C,8
G,10
B,14
F,5
A,16
D,13
H,9
L,2
A,12
G,11
A,8
A,17
H,10
D,5
C,14
F,16
E,13
M,2
A,18
F,12
E,5
F,8
F,17
I,11
D,7
A,14
A,19
G,13
D,16
E,15
N,2
F,18
D,8
D,12
G,5
D,17
A,20
J,11
E,7
B,14
I,13
B,19
E,16
A,21
G,15
E,12
F,20
D,18
E,17
I,5
E,8
G,7
K,11
J,13
A,22
C,14
C,19
G,16
F,21
H,15
E,18
G,12
G,17
D,20
G,8
A,23
I,7
J,5
B,22
M,11
K,13
A,14
A,19
I,16
D,21
A,24
G,18
H,17
B,23
H,12
E,20
I,8
L,5
C,22
J,7
M,13
N,11
B,19
A,25
J,16
F,14
E,21
C,23
I,18
F,24
G,20
J,8
M,5
A,26
A,22
C,19
O,13
D,14
F,25
K,7
K,16
G,21
A,27
D,24
A,23
J,18
O,5
H,20
F,26
L,8
F,22
A,19
D,25
H,21
E,14
A,28
M,7
M,16
E,24
L,18
F,27
D,26
B,23
A,29
F,19
M,8
D,22
E,25
O,7
F,28
G,14
N,16
G,24
M,18
A,30
C,23
D,19
D,27
G,25
E,26
F,29
E,22
N,8
H,14
A,31
D,28
N,18
B,30
A,23
E,27
G,26
H,25
E,19
A,32
G,22
D,29
E,28
B,31
C,30
A,33
B,23
G,27
H,26
E,29
G,19
F,32
I,22
A,34
C,31
G,28
A,30
C,23
B,33
I,19
I,27
A,35
G,29
J,22
B,34
D,32
A,31
B,30
H,28
A,36
A,23
C,33
J,19
J,27
L,22
I,29
F,35
C,34
E,32
C,30
A,37
F,31
B,23
B,36
A,33
L,27
J,29
K,19
M,22
D,35
A,34
G,32
F,37
A,30
D,31
A,39
C,36
C,23
F,33
M,27
F,34
N,22
I,32
L,29
B,30
M,19
E,35
A,40
D,37
F,39
A,23
A,36
D,33
E,31
A,41
M,29
J,32
F,40
N,27
G,35
O,19
D,34
C,30
E,37
D,39
F,23
B,36
A,42
G,31
E,33
O,29
L,32
I,35
F,41
E,34
D,40
D,23
A,43
C,36
E,39
G,37
A,30
G,33
H,31
F,42
M,32
D,41
A,44
J,35
G,34
E,23
G,39
B,43
F,30
E,40
A,36
A,45
H,33
D,42
O,32
F,44
H,34
E,41
K,35
A,46
G,23
D,30
I,39
C,43
G,40
B,36
F,45
E,38
E,42
D,44
A,47
G,41
M,35
H,23
F,46
J,39
H,40
A,43
E,30
C,36
A,48
D,45
G,38
F,47
I,41
E,44
G,42
N,35
D,46
L,39
A,36
G,30
B,48
F,43
E,45
I,38
I,42
D,47
G,44
J,41
E,46
M,39
F,36
H,30
C,48
D,43
J,38
G,45
J,42
E,47
I,44
K,41
G,46
O,39
A,48
E,43
H,45
D,36
K,42
G,47
L,38
J,44
M,41
H,46
F,48
G,43
M,42
E,36
H,47
M,38
L,44
O,41
D,48
I,43
O,42
G,36
N,38
M,44
I,49
E,48
J,43
I,36
O,44
G,48
J,49
J,36
L,43
L,49
I,48
K,36
M,43
M,36
M,49
J,48
N,43
N,36
K,48
O,49
M,48
O,48
A,50
A,51
D,50
A,52
D,51
F,50
A,53
D,52
F,51
A,54
E,50
D,53
A,55
F,52
B,54
G,50
E,51
F,53
