concept:name,case:concept:name
A,0
A,1
F,0
A,2
F,1
D,0
A,3
F,2
D,1
A,4
B,3
E,0
A,5
D,2
B,4
E,1
C,3
A,6
G,0
F,5
C,4
A,7
G,1
B,6
A,3
H,0
D,5
A,8
A,4
F,7
H,1
B,3
A,9
C,6
E,5
B,8
F,4
D,7
A,10
B,9
C,3
A,6
G,5
C,8
A,11
E,7
D,4
C,9
F,10
F,6
I,5
A,12
A,3
A,8
F,11
A,13
E,4
D,10
G,7
A,9
D,6
F,8
J,5
F,3
B,12
D,11
A,14
G,4
B,13
I,7
B,9
E,6
D,3
D,8
L,5
E,10
B,14
C,12
E,11
C,13
A,16
G,6
H,4
J,7
E,3
M,5
G,10
C,9
E,8
C,14
A,12
A,17
G,11
A,13
B,16
I,6
K,7
A,18
G,3
G,8
I,10
A,14
B,12
N,5
A,9
I,11
F,17
F,13
A,19
C,16
J,6
M,7
E,15
I,8
H,3
C,12
B,18
J,10
B,9
J,11
B,14
D,17
D,13
A,20
A,16
K,6
G,15
F,19
O,7
C,9
A,12
K,10
A,21
J,8
C,18
C,14
F,20
E,17
E,13
L,11
M,6
A,22
H,15
A,9
D,19
F,21
B,16
F,12
M,10
K,8
A,18
G,17
A,23
A,14
G,13
M,11
D,20
E,19
B,22
N,6
B,9
D,21
C,16
A,24
M,8
N,10
I,13
D,12
F,18
B,23
F,14
I,17
E,20
O,11
G,19
C,22
C,9
A,25
A,16
N,8
E,21
B,24
J,13
C,23
D,14
E,12
D,18
J,17
A,26
G,20
A,22
F,25
H,19
A,9
F,16
C,24
G,21
L,13
A,27
G,12
A,23
E,14
E,18
L,17
B,26
D,25
I,21
B,9
D,16
M,13
F,22
A,24
I,12
G,18
F,27
G,14
B,23
M,17
A,29
C,26
E,25
C,9
J,21
E,16
D,22
O,13
H,18
J,12
F,24
A,30
D,27
H,14
C,23
N,17
A,26
B,29
A,9
G,25
K,21
A,31
G,16
E,22
D,24
E,27
A,23
L,12
B,30
F,26
C,29
A,32
B,9
H,25
F,31
M,21
I,16
G,22
E,24
A,33
C,30
M,12
G,27
B,32
D,26
F,23
A,29
D,31
C,9
N,21
A,34
I,22
J,16
B,33
G,24
H,27
A,30
D,23
N,12
E,26
F,29
C,32
A,35
E,31
B,34
A,9
C,33
J,22
K,16
I,24
A,36
B,30
D,29
B,35
A,32
G,26
E,23
G,31
F,9
L,22
C,34
A,33
A,37
M,16
J,24
B,36
C,30
F,32
A,38
G,23
H,31
E,29
C,35
H,26
A,34
D,9
M,22
N,16
F,37
B,33
A,39
C,36
K,24
G,29
H,23
A,35
B,38
D,32
F,34
O,22
E,9
A,40
C,33
D,37
B,39
A,36
M,24
I,29
C,38
A,41
E,32
F,35
B,40
D,34
A,33
G,9
E,37
C,39
A,42
J,29
A,38
B,36
N,24
G,32
F,41
D,35
E,34
C,40
A,43
F,33
H,9
G,37
F,38
A,39
B,42
C,36
K,29
A,44
I,32
D,41
A,40
E,35
G,34
D,33
B,43
A,45
I,37
D,38
M,29
B,39
C,42
A,36
A,28
F,44
J,32
E,41
G,35
H,34
E,33
F,40
C,43
J,37
C,39
N,29
E,38
B,45
B,36
A,42
A,47
B,28
K,32
D,44
G,41
H,35
D,40
A,43
G,33
A,48
K,37
C,45
G,38
A,39
B,42
F,47
C,36
M,32
C,28
E,44
A,49
I,41
E,40
B,43
H,38
H,33
F,48
M,37
A,45
C,42
B,39
D,47
A,36
A,50
E,46
N,32
A,28
J,41
G,40
F,49
G,44
C,43
O,37
A,51
D,48
C,39
A,42
F,45
B,36
E,47
B,50
G,46
K,41
D,49
A,52
H,40
F,28
B,51
H,44
A,43
F,42
D,45
E,48
A,39
G,47
C,36
A,53
C,50
M,41
H,46
B,52
