concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
C,0
A,3
B,2
F,1
A,4
A,0
D,3
C,2
A,5
E,1
D,4
A,6
F,3
D,0
A,2
B,5
G,1
F,4
A,7
B,6
E,3
C,5
F,0
D,2
A,8
I,1
D,7
E,4
C,6
A,9
G,3
A,5
B,8
F,2
E,0
G,4
J,1
F,7
A,10
A,6
D,9
B,5
H,3
G,0
C,8
E,2
A,11
H,4
L,1
D,10
E,7
B,6
C,5
F,9
A,12
G,2
I,0
A,8
B,11
G,7
A,13
F,10
M,1
C,6
E,9
A,5
D,12
J,0
H,2
B,8
C,11
I,7
N,1
B,13
G,9
E,10
A,6
D,5
F,12
A,15
C,8
L,0
A,11
J,7
E,12
A,16
G,10
C,13
H,9
D,6
F,5
D,15
A,8
D,11
A,17
M,0
K,7
D,16
F,15
I,10
G,12
A,13
A,18
E,5
F,6
D,8
F,11
E,14
B,17
O,0
M,7
A,19
F,16
J,10
G,5
I,12
D,13
E,15
B,18
E,6
F,8
E,11
A,20
C,17
G,14
N,7
B,19
F,13
H,5
E,16
C,18
J,12
A,21
K,10
G,15
H,14
E,8
G,6
A,17
G,11
B,20
G,16
A,22
C,19
A,18
E,13
M,10
L,12
I,15
D,21
B,17
G,8
A,23
H,11
H,6
C,20
I,16
G,13
D,22
B,18
M,12
A,19
O,10
F,21
A,24
J,15
B,23
C,17
I,8
J,16
I,13
A,25
C,18
F,22
B,19
B,24
A,20
N,12
E,21
A,17
K,15
J,8
C,23
A,26
K,16
E,22
J,13
A,18
B,25
B,20
C,19
C,24
G,21
A,27
K,8
D,17
D,26
M,15
A,23
G,22
K,13
A,28
M,16
A,24
C,20
I,21
B,18
D,27
C,25
A,19
F,17
M,8
N,15
F,26
D,23
H,22
M,13
J,21
F,27
C,18
A,25
D,28
N,16
D,24
D,19
A,20
A,30
O,8
E,17
E,26
F,23
O,13
E,27
L,21
A,31
A,18
D,25
F,24
F,28
D,30
D,20
F,19
G,26
G,17
A,32
E,23
B,18
M,21
G,27
B,31
E,28
F,20
F,25
E,24
F,30
A,33
E,19
I,26
G,23
D,32
I,17
C,18
E,29
N,21
I,27
A,34
G,28
C,31
E,30
E,20
G,24
G,19
J,26
E,25
D,33
H,23
A,35
A,18
F,32
J,17
G,29
B,34
J,27
G,20
I,28
A,31
I,24
G,30
F,33
A,36
H,19
G,25
K,26
C,34
B,18
L,17
B,35
E,32
H,20
L,27
A,37
H,29
J,28
I,30
J,24
D,31
E,33
M,26
I,25
B,36
A,38
C,18
G,32
A,34
C,35
M,17
J,30
M,27
B,37
K,28
F,31
K,24
O,26
G,33
J,25
A,39
C,36
I,32
D,34
D,38
O,17
A,35
K,30
A,18
A,40
N,27
M,28
C,37
E,31
M,24
A,36
K,25
D,39
H,33
J,32
F,38
F,34
D,35
A,41
B,18
M,30
D,36
N,28
D,40
G,31
O,24
A,37
M,25
A,42
F,39
K,32
B,41
E,34
E,38
F,35
C,18
F,36
N,30
A,43
I,31
F,40
B,37
D,42
N,25
M,32
E,39
G,34
G,38
C,41
A,44
E,36
A,18
E,35
J,31
C,37
D,43
E,40
A,45
I,38
H,34
F,42
G,39
N,32
D,44
A,41
G,36
D,18
G,35
A,46
L,31
F,43
A,37
I,39
G,40
D,45
J,38
F,44
E,42
B,41
A,47
H,36
H,35
F,18
E,43
B,46
B,37
J,39
M,31
F,45
H,40
L,38
A,48
E,44
G,42
C,41
E,18
D,47
C,37
C,46
A,49
G,43
M,38
K,39
E,45
D,48
N,31
G,44
I,42
G,18
A,50
A,41
F,47
N,38
A,46
A,37
B,49
H,43
G,45
M,39
A,51
F,48
J,42
I,44
B,50
H,18
D,41
D,37
E,47
A,52
B,46
B,51
C,49
