concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
C,0
A,3
D,2
F,1
B,3
A,0
F,2
A,5
E,1
C,3
E,2
D,0
D,5
A,7
G,1
A,3
G,2
F,5
A,8
F,0
D,7
I,1
I,2
B,3
E,5
B,8
E,0
F,7
A,10
J,1
J,2
G,5
C,3
C,8
G,0
A,11
E,7
B,10
I,4
L,1
A,12
K,2
H,5
A,3
I,0
D,11
G,7
A,8
C,10
J,4
A,13
M,2
M,1
B,3
F,11
J,0
B,12
A,10
A,14
D,8
H,7
D,13
K,4
N,2
A,15
E,11
O,1
C,3
L,0
C,12
B,10
F,8
D,14
M,4
A,16
F,13
D,15
G,11
A,3
M,0
C,10
F,14
A,17
A,12
N,4
E,8
D,16
F,15
F,6
B,3
A,18
O,0
H,11
B,17
A,10
E,14
D,12
F,16
A,19
G,8
B,9
E,6
B,18
E,15
G,14
B,10
E,16
C,17
A,20
F,12
B,19
H,8
C,9
G,6
C,18
A,21
C,10
A,17
G,15
G,16
D,20
E,12
C,19
A,22
A,9
A,18
I,6
B,21
B,17
A,10
I,15
I,16
A,23
F,20
G,12
D,22
A,19
C,17
D,9
C,21
A,24
J,6
D,10
J,16
J,15
B,23
E,20
H,12
F,22
A,25
B,19
F,9
A,17
F,10
B,24
A,21
L,6
G,20
A,26
L,16
L,15
E,22
C,23
B,25
E,9
D,17
E,10
C,19
C,24
A,27
B,21
M,6
H,20
B,26
C,25
M,15
M,16
G,22
A,23
A,28
G,10
G,9
F,17
D,27
A,24
C,21
A,19
C,26
N,6
A,25
O,15
N,16
H,22
B,28
D,23
F,27
H,9
I,10
A,21
E,17
D,24
A,30
D,25
B,19
A,26
C,28
A,31
F,23
J,10
B,30
G,17
B,21
F,25
F,24
C,19
D,26
A,32
B,31
A,28
C,30
E,23
K,10
A,33
C,21
H,17
A,19
E,24
E,25
F,26
B,32
C,31
D,28
A,34
A,30
G,23
A,21
D,19
D,33
M,10
C,32
A,31
G,24
E,26
G,25
A,35
F,28
D,34
B,30
A,32
B,21
G,26
A,36
F,33
H,23
O,10
D,31
F,19
I,24
B,35
H,25
C,30
E,28
F,34
H,26
C,21
E,33
D,36
F,31
E,19
C,35
J,24
A,38
E,29
G,28
A,30
E,34
G,33
A,39
G,19
E,31
A,21
A,35
F,36
L,24
B,38
G,29
D,30
A,40
I,28
H,33
D,21
D,39
G,34
C,38
E,36
F,30
M,24
G,31
H,19
B,35
A,41
I,29
F,40
J,28
F,21
A,42
I,34
F,39
G,36
A,38
C,35
E,30
I,31
O,24
J,29
B,41
D,40
A,43
B,42
E,21
L,28
J,34
E,39
A,35
H,36
D,38
G,30
J,31
C,41
I,37
A,44
L,29
B,43
E,40
C,42
L,34
M,28
G,21
A,45
B,35
M,29
F,38
I,30
G,39
A,41
B,44
K,31
C,43
J,37
G,40
A,46
A,42
O,28
H,21
M,34
E,38
J,30
C,35
B,45
B,41
H,39
C,44
N,29
L,37
A,47
A,43
D,42
M,31
B,46
H,40
O,34
K,30
A,35
C,45
B,43
C,41
G,38
M,37
A,44
F,42
B,47
C,46
N,31
A,49
D,35
M,30
A,45
A,41
C,43
A,46
O,37
B,44
C,47
I,38
A,50
E,42
D,49
D,41
F,35
A,51
D,45
N,30
C,44
F,46
A,43
J,38
A,47
F,50
G,42
F,49
A,52
E,35
F,51
F,41
F,45
D,46
L,38
A,44
A,53
B,47
D,43
D,50
I,42
E,49
F,52
A,54
G,35
E,45
D,51
E,46
E,41
F,43
M,38
C,47
B,44
B,53
D,52
J,42
A,55
G,49
E,50
B,54
G,45
C,53
E,51
I,35
O,38
G,46
G,41
C,44
A,47
E,43
I,48
A,56
F,55
L,42
I,49
E,52
G,50
G,51
J,35
C,54
