concept:name,case:concept:name
A,0
A,1
B,0
B,1
A,3
C,0
C,1
A,4
F,3
A,0
F,4
A,1
F,0
A,6
D,3
A,7
B,1
D,4
B,6
D,0
E,3
A,8
B,7
E,4
C,1
C,6
E,0
A,9
G,3
B,8
C,7
A,10
A,1
G,4
A,6
G,0
H,3
F,9
C,8
A,11
F,1
A,7
H,4
B,10
H,0
B,6
D,9
B,11
A,8
D,1
F,7
C,10
C,6
E,9
C,11
D,2
A,14
F,8
A,5
D,7
A,10
E,1
A,6
A,15
A,11
B,14
G,9
E,2
D,8
F,5
F,10
E,7
A,16
G,1
B,6
F,15
I,9
D,5
A,17
C,14
G,2
B,11
E,8
B,16
D,10
G,7
C,6
D,15
I,1
F,12
A,18
G,8
I,2
A,14
J,9
E,5
C,11
B,17
C,16
A,19
E,10
I,7
E,15
J,1
A,6
D,12
B,18
J,2
G,5
A,20
K,9
H,8
A,11
G,15
B,14
C,17
J,7
G,10
A,16
B,19
I,13
B,6
K,1
A,21
C,18
H,5
E,12
K,2
A,17
I,15
M,9
B,11
F,20
H,10
L,7
A,22
C,14
B,16
C,6
J,13
M,1
C,19
B,21
A,18
M,2
G,12
J,15
A,23
F,17
D,20
N,9
M,7
C,11
F,22
A,14
A,6
N,1
C,16
A,19
L,13
B,18
C,21
A,24
H,12
O,2
D,22
D,17
K,15
B,23
E,20
N,7
F,6
B,14
M,13
A,11
C,18
A,16
F,19
A,21
B,24
E,22
E,17
A,26
G,20
C,23
M,15
C,14
F,11
D,6
O,13
D,19
A,18
F,16
A,27
C,24
F,21
I,20
F,26
G,22
G,17
A,23
A,14
O,15
E,19
E,6
A,28
D,11
D,16
F,18
A,24
F,27
D,21
J,20
I,22
A,29
I,17
D,26
F,23
F,14
G,6
F,28
G,19
E,11
D,18
E,16
D,27
B,24
A,30
E,21
E,26
K,20
B,29
J,17
D,23
H,6
J,22
G,11
D,28
D,14
A,31
I,19
E,18
G,16
C,24
B,30
E,27
M,20
G,21
C,29
G,26
K,17
A,32
E,23
K,22
F,31
H,11
E,28
G,18
E,14
J,19
I,25
I,16
A,24
A,33
G,27
C,30
N,20
M,17
F,32
G,23
H,26
H,21
A,29
G,28
D,31
M,22
I,18
A,34
G,14
L,19
J,25
J,16
B,33
H,27
A,30
F,24
B,29
H,23
N,17
D,32
A,35
H,28
O,22
J,18
F,34
E,31
M,19
H,14
L,25
K,16
A,36
C,33
C,29
F,30
D,24
B,35
E,32
D,34
K,18
M,16
G,31
A,37
M,25
N,19
F,36
A,29
D,30
A,33
A,38
C,35
E,24
E,34
I,31
M,18
G,32
N,16
B,37
N,25
A,39
F,29
D,36
F,33
E,30
G,24
A,35
F,38
J,31
G,34
H,32
C,37
O,18
A,40
B,39
D,29
F,35
G,30
E,36
I,24
A,41
K,31
D,38
D,33
A,37
H,34
F,40
D,35
C,39
A,42
G,36
H,30
E,29
J,24
B,41
E,38
M,31
B,37
E,33
D,40
A,43
A,39
I,36
E,35
B,42
A,44
C,41
G,29
O,31
L,24
C,37
G,33
G,38
F,43
E,40
B,39
A,45
C,42
G,35
J,36
I,29
A,37
M,24
A,41
F,44
H,38
I,33
D,43
A,46
G,40
F,45
A,42
K,36
H,35
C,39
N,24
A,47
B,37
J,29
B,41
I,40
F,46
D,44
E,43
J,33
D,45
A,48
B,42
M,36
A,39
B,47
L,29
J,40
C,41
C,37
A,49
D,46
E,44
L,33
E,45
G,43
B,48
N,36
C,42
B,39
M,29
A,50
L,40
C,47
G,44
E,46
A,41
H,43
B,49
C,48
M,33
G,45
C,39
A,51
O,29
A,42
A,47
M,40
I,44
F,50
A,52
G,46
B,41
N,33
C,49
H,45
A,48
A,39
F,51
N,40
A,53
F,42
F,47
J,44
