concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
A,3
C,0
D,2
A,4
F,1
B,3
A,0
A,5
F,2
E,1
D,4
A,6
C,3
B,0
E,2
D,5
A,7
F,4
G,1
C,0
B,6
G,2
A,8
A,3
F,5
D,7
E,4
A,9
A,0
H,1
C,6
D,3
I,2
B,8
E,5
G,4
A,10
F,7
D,9
A,6
D,0
F,3
A,11
J,2
C,8
I,4
B,10
G,5
E,7
F,9
A,12
B,6
F,0
L,2
B,11
E,3
C,10
G,7
A,8
H,5
A,13
J,4
E,9
D,12
C,6
C,11
E,0
A,14
A,10
G,3
I,7
D,8
M,2
K,4
D,13
G,9
A,6
A,15
F,12
J,7
A,11
H,3
G,0
D,14
F,8
N,2
D,10
M,4
F,13
A,16
I,9
B,15
E,12
B,6
I,0
F,14
K,7
E,8
B,11
A,17
F,10
N,4
E,13
D,16
J,9
C,6
A,18
J,0
C,15
E,14
G,12
G,8
E,10
C,11
M,7
D,17
F,16
G,13
A,19
K,9
A,6
B,18
H,12
G,14
K,0
A,15
A,20
H,8
G,10
F,17
A,11
E,16
N,7
H,13
B,19
D,6
M,9
I,14
M,0
A,21
C,18
B,15
D,11
G,16
E,17
H,10
D,20
A,22
D,21
C,19
F,6
O,9
A,18
J,14
C,15
N,0
A,23
I,16
G,17
F,11
F,20
A,19
B,22
F,21
E,6
D,18
L,14
A,24
A,15
D,23
H,17
J,16
E,11
E,20
B,19
A,25
C,22
E,21
G,6
M,14
F,18
D,24
D,15
F,23
L,16
A,26
G,11
C,19
A,22
G,20
G,21
D,25
I,6
E,18
O,14
A,27
M,16
E,23
F,15
F,24
D,26
H,11
B,22
A,28
I,21
F,25
G,18
I,20
A,19
D,27
N,16
J,6
G,23
E,15
F,26
A,29
E,24
C,22
B,28
J,21
B,19
L,6
E,25
I,18
J,20
A,30
F,27
I,23
D,29
G,15
E,26
G,24
A,22
K,21
C,28
A,31
K,20
M,6
G,25
C,19
B,30
J,18
E,27
F,29
A,32
J,23
H,15
D,22
I,24
G,26
M,21
A,28
B,31
I,25
C,30
M,20
A,19
O,6
A,33
K,18
G,27
E,29
K,23
B,32
D,28
I,26
J,24
F,22
A,34
J,25
N,21
C,31
A,30
D,19
N,20
M,18
I,27
G,29
B,33
F,28
A,35
C,32
M,23
K,24
B,34
E,22
J,26
L,25
A,31
N,18
F,19
I,29
A,36
C,33
J,27
A,32
B,30
B,35
E,28
M,25
M,24
G,22
C,34
O,23
L,26
A,37
D,31
J,29
E,19
K,27
D,32
B,36
C,30
A,33
G,28
C,35
I,22
A,38
N,25
O,24
A,34
D,37
F,31
K,29
M,26
G,19
A,39
C,36
H,28
A,30
M,27
B,33
A,35
F,32
D,38
J,22
B,34
F,37
A,40
E,31
D,39
M,29
H,19
N,26
C,33
A,36
N,27
E,32
D,30
F,38
D,35
A,41
C,34
E,37
G,31
B,40
K,22
O,29
F,39
A,42
G,32
A,33
D,36
E,38
F,35
F,30
D,41
A,34
C,40
G,37
H,31
A,43
E,39
M,22
D,33
G,38
D,42
H,32
F,36
E,35
F,41
E,30
A,40
A,44
I,37
B,34
B,43
G,39
F,33
O,22
I,38
G,35
A,45
G,30
F,42
E,41
B,44
E,36
D,40
J,37
C,34
C,43
A,46
H,39
J,38
E,33
D,45
H,35
E,42
H,30
G,41
G,36
A,34
F,40
A,47
C,44
K,37
D,46
A,43
G,33
K,38
A,48
I,41
F,45
G,42
E,40
B,47
I,36
B,34
M,37
A,44
D,43
A,49
H,33
F,46
M,38
D,48
E,45
G,40
I,42
J,41
C,34
A,50
O,37
J,36
C,47
D,44
F,43
D,49
E,46
O,38
A,51
F,48
G,45
A,34
J,42
I,40
L,41
D,50
F,44
G,46
A,47
