concept:name,case:concept:name
A,0
A,1
B,0
A,2
F,1
C,0
A,3
B,2
A,4
D,1
A,0
B,3
C,2
A,5
E,1
B,4
C,3
F,0
A,6
A,2
F,5
A,7
G,1
C,4
D,0
B,6
A,3
B,2
A,8
D,5
H,1
E,0
B,7
A,4
F,3
C,6
A,9
B,8
C,2
E,5
A,10
F,4
D,3
G,0
C,7
A,6
C,8
B,9
A,2
A,11
G,5
F,10
D,4
E,3
H,0
F,6
A,8
A,12
A,7
C,9
H,5
B,11
D,10
B,2
A,13
G,3
E,4
D,6
F,8
B,7
B,12
A,9
C,2
C,11
E,10
G,4
H,3
B,13
A,15
E,6
D,8
C,7
B,9
A,11
C,12
A,2
G,10
C,13
A,16
I,4
F,15
E,8
G,6
A,7
A,12
C,9
A,17
F,2
F,11
I,10
A,13
J,4
D,15
F,16
A,18
B,7
H,6
G,8
A,9
F,17
D,2
F,12
J,10
D,11
E,15
A,19
F,13
L,4
D,16
F,18
C,7
I,8
L,10
A,20
E,2
D,17
B,9
D,12
G,15
M,4
D,13
F,19
E,11
E,16
A,21
D,18
A,7
J,8
M,10
F,20
E,17
G,2
O,4
C,9
E,12
D,19
H,15
A,22
E,13
G,11
F,21
G,16
B,7
E,18
D,20
E,14
N,10
I,2
G,17
G,12
L,8
A,23
E,19
A,9
G,13
B,22
I,16
H,11
A,24
D,21
I,12
C,7
G,19
G,14
M,8
G,18
H,17
J,2
E,20
F,23
C,22
A,25
F,9
J,16
E,21
I,13
F,24
J,12
H,18
I,19
A,7
N,8
D,23
K,2
I,14
G,20
A,26
G,21
A,22
B,25
L,16
K,12
D,9
A,27
D,24
J,13
J,14
B,7
I,20
J,19
M,2
F,26
H,21
C,25
F,22
A,28
M,16
M,12
K,14
K,13
E,24
F,27
E,9
C,7
K,19
D,26
J,20
A,29
O,2
A,25
D,22
B,28
O,16
M,13
O,12
M,14
D,27
A,30
A,7
G,24
K,20
G,9
M,19
E,26
F,29
E,22
F,25
A,31
C,28
O,13
O,14
E,27
B,7
F,30
H,9
I,24
G,26
A,32
M,20
N,19
G,22
D,29
D,25
A,28
B,31
G,27
C,7
J,24
A,33
D,30
I,26
O,20
H,22
E,29
B,32
A,34
E,25
H,27
C,31
F,28
K,24
A,7
B,33
E,30
J,26
A,35
G,29
B,34
C,32
A,31
D,28
G,25
C,33
M,24
A,36
F,7
G,30
B,35
K,26
C,34
I,29
A,32
B,31
A,37
A,33
E,28
D,7
H,25
N,24
M,26
F,36
C,35
I,30
A,38
J,29
F,32
A,34
C,31
F,37
G,28
F,33
E,7
D,36
A,39
A,35
N,26
J,30
L,29
F,38
D,32
A,31
F,34
D,37
A,40
D,33
G,7
B,39
I,28
M,29
K,30
F,35
E,32
E,36
A,41
D,34
D,38
B,31
E,37
B,40
E,33
G,32
I,7
A,42
N,29
G,36
J,28
M,30
C,39
D,35
F,41
E,34
E,38
C,31
C,40
G,37
A,43
G,33
N,30
I,32
B,42
I,36
J,7
A,39
G,34
E,35
L,28
G,38
D,41
A,40
A,31
H,33
H,37
B,43
K,7
A,45
J,32
F,39
J,36
C,42
H,34
G,35
M,28
E,41
I,38
B,40
A,46
B,31
K,36
C,43
K,32
M,7
B,45
D,39
A,42
H,35
O,28
A,47
J,38
C,40
G,41
C,31
F,46
M,32
M,36
C,45
A,43
A,48
N,7
B,42
E,39
B,47
L,38
A,40
A,31
H,41
A,49
N,36
D,46
F,48
N,32
B,43
F,44
A,45
C,42
C,47
F,40
G,39
M,38
F,31
B,49
D,48
E,46
C,43
D,44
A,42
B,45
H,39
A,47
O,38
D,40
D,31
C,49
E,48
G,46
E,44
A,43
C,45
F,47
B,42
E,40
E,31
G,48
H,46
A,49
G,44
F,43
D,47
