concept:name,case:concept:name
A,0
A,1
B,0
A,2
D,1
A,3
C,0
B,2
A,4
F,1
D,3
A,0
A,5
C,2
E,1
B,4
F,3
A,6
B,0
A,2
B,5
A,7
G,1
C,4
E,3
B,6
C,0
D,2
A,8
C,5
A,4
D,7
G,3
I,1
A,9
A,0
C,6
D,8
A,5
F,2
D,4
A,10
F,7
I,3
J,1
B,9
B,0
F,8
A,6
A,11
E,2
B,5
F,4
D,10
K,1
E,7
J,3
C,9
A,12
E,8
C,0
C,5
B,6
G,2
D,11
M,1
F,10
A,13
G,7
E,4
K,3
D,12
A,9
A,5
G,8
A,14
A,0
I,2
C,6
F,11
E,10
N,1
B,13
I,7
G,4
F,12
M,3
A,15
D,9
D,14
J,2
D,5
B,0
A,6
H,8
E,11
C,13
J,7
A,16
G,10
I,4
N,3
E,12
D,15
F,5
F,9
F,14
C,0
L,2
G,11
I,10
D,6
A,13
B,16
L,7
J,4
F,15
E,9
G,12
A,18
E,5
E,14
A,0
M,2
H,11
F,6
J,10
A,19
C,16
E,15
D,13
M,7
L,4
D,18
H,12
G,9
D,0
G,5
G,14
N,2
A,20
E,6
B,19
K,10
G,15
A,16
O,7
F,13
M,4
F,18
A,21
H,5
H,9
F,0
H,14
D,20
G,6
A,22
D,16
C,19
M,10
H,15
N,4
E,13
E,18
B,21
E,0
A,23
F,20
H,6
D,22
N,10
A,19
G,18
F,16
C,21
G,13
A,24
D,23
G,0
E,20
D,19
F,22
A,25
A,21
I,13
I,18
E,16
D,24
F,23
H,0
G,20
A,26
F,19
E,17
E,22
J,13
B,25
D,21
J,18
G,16
A,27
F,24
B,26
E,23
I,20
G,17
A,28
F,21
C,25
E,19
G,22
L,13
L,18
I,16
D,27
E,24
C,26
A,29
G,23
J,20
I,22
I,17
B,28
A,25
G,19
E,21
J,16
A,30
F,27
M,18
M,13
G,24
A,26
D,29
H,23
J,22
K,20
A,31
H,19
J,17
B,25
C,28
L,16
G,21
O,18
D,30
D,26
N,13
E,27
I,24
F,29
A,32
B,31
L,22
M,20
C,25
L,17
A,28
G,27
A,33
E,29
F,26
H,21
F,30
M,16
J,24
B,32
C,31
D,28
M,22
A,25
A,34
N,20
B,33
M,17
E,26
H,27
G,29
O,16
E,30
K,24
C,32
A,35
A,31
D,25
N,17
G,26
N,22
F,28
C,33
D,34
H,29
G,30
A,36
M,24
B,31
D,35
A,32
E,28
F,25
A,33
A,37
I,26
B,36
F,34
I,30
O,24
C,31
D,32
A,38
F,35
G,28
B,37
E,25
J,26
D,33
C,36
J,30
A,39
E,34
F,32
D,38
A,31
E,35
I,28
G,25
L,26
C,37
A,40
F,33
D,39
A,36
K,30
G,34
E,32
F,38
A,41
D,31
E,33
M,26
A,37
J,28
F,40
F,39
G,35
I,25
D,36
A,42
E,38
I,34
M,30
B,41
F,31
G,32
D,37
G,33
I,35
D,40
N,26
A,43
J,25
F,36
D,42
E,39
K,28
G,38
O,30
J,34
A,44
E,31
C,41
D,43
H,32
F,37
H,33
E,40
K,25
M,28
J,35
E,36
G,39
F,42
H,38
L,34
B,44
A,41
F,43
G,31
E,37
N,28
G,40
L,35
I,39
G,36
M,25
E,42
M,34
H,31
B,41
A,47
E,43
C,44
G,37
I,40
J,39
N,25
M,35
I,36
G,42
O,34
C,41
D,47
G,43
A,44
A,49
I,37
J,36
O,35
K,39
J,40
H,42
A,50
F,47
A,41
I,43
M,39
J,37
B,44
D,45
L,40
K,36
D,49
A,51
F,50
E,47
J,43
L,37
B,41
A,52
F,45
M,40
C,44
F,49
O,39
M,36
F,51
L,43
D,50
A,53
G,47
C,41
M,37
D,40
B,52
A,44
D,51
E,45
A,54
N,36
D,53
I,47
M,43
E,50
A,41
O,37
D,44
