concept:name,case:concept:name
Activity A,0
Activity CC,0
Activity B,0
Activity A,1
Activity CC,1
Activity B,1
Activity A,2
Activity C,2
Activity A,3
Activity C,3
Activity Q,2
Activity AG,2
Activity AI,3
Activity AI,2
Activity E,3
Activity AK,2
Activity Q,3
Activity E,2
Activity AK,3
Activity AH,2
Activity AJ,3
Activity R,2
Activity AB,3
Activity AJ,2
Activity AD,3
Activity A,4
Activity N,2
Activity AC,3
Activity C,4
Activity G,2
Activity N,3
Activity I,2
Activity O,3
Activity E,4
Activity M,2
Activity G,3
Activity Q,4
Activity P,2
Activity K,3
Activity AG,4
Activity H,2
Activity R,3
Activity AI,4
Activity O,2
Activity M,3
Activity AL,4
Activity P,3
Activity F,2
Activity H,3
Activity O,4
Activity G,4
Activity D,2
Activity F,3
Activity K,4
Activity B,2
Activity AH,4
Activity D,3
Activity H,4
Activity B,3
Activity AO,4
Activity P,4
Activity N,4
Activity R,4
Activity AM,4
Activity AJ,4
Activity M,4
Activity F,4
Activity A,5
Activity D,4
Activity AP,5
Activity B,4
Activity AQ,5
Activity AS,5
Activity AT,5
Activity AR,5
Activity B,5
Activity A,6
Activity C,6
Activity E,6
Activity Q,6
Activity AI,6
Activity Z,6
Activity AK,6
Activity AA,6
Activity AJ,6
Activity G,6
Activity I,6
Activity M,6
Activity O,6
Activity H,6
Activity N,6
Activity R,6
Activity A,7
Activity P,6
Activity BC,7
Activity F,6
Activity BF,7
Activity BI,7
Activity D,6
Activity BN,7
Activity B,6
Activity BG,7
Activity BH,7
Activity BE,7
Activity BM,7
Activity BK,7
Activity BP,7
Activity BQ,7
Activity BO,7
Activity BL,7
Activity BJ,7
Activity BD,7
Activity BR,7
Activity BT,7
Activity BV,7
Activity BU,7
Activity BX,7
Activity BZ,7
Activity BY,7
Activity BW,7
Activity BS,7
Activity B,7
Activity A,8
Activity C,8
Activity AI,8
Activity AL,8
Activity E,8
Activity AO,8
Activity P,8
Activity O,8
Activity AM,8
Activity Q,8
Activity G,8
Activity N,8
Activity AG,8
Activity AH,8
Activity L,8
Activity M,8
Activity H,8
Activity A,9
Activity AJ,8
Activity C,9
Activity R,8
Activity F,8
Activity AI,9
Activity AL,9
Activity A,10
Activity D,8
Activity Q,9
Activity BC,10
Activity B,8
Activity E,9
Activity AO,9
Activity BF,10
Activity AG,9
Activity BH,10
Activity AH,9
Activity BP,10
Activity R,9
Activity BE,10
Activity BQ,10
Activity O,9
Activity BG,10
Activity P,9
Activity BN,10
Activity M,9
Activity BO,10
Activity G,9
Activity BI,10
Activity K,9
Activity AM,9
Activity BM,10
Activity N,9
Activity BL,10
Activity H,9
Activity BK,10
Activity F,9
Activity BJ,10
Activity AJ,9
Activity BD,10
Activity D,9
Activity BR,10
Activity B,9
Activity BT,10
Activity BV,10
Activity BW,10
Activity BX,10
Activity CA,10
Activity BU,10
Activity BY,10
Activity BS,10
Activity B,10
Activity A,11
Activity CD,11
Activity CE,11
Activity B,11
Activity A,12
Activity CC,12
Activity B,12
Activity A,13
Activity C,13
Activity Q,13
Activity E,13
Activity S,13
Activity G,13
Activity A,14
Activity AP,14
Activity O,13
Activity AQ,14
