concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
C,0
A,3
B,2
C,1
A,4
A,0
D,3
C,2
A,5
B,4
A,1
B,0
A,6
F,3
A,2
B,5
C,4
A,7
B,1
C,0
B,6
E,3
A,8
D,2
C,5
A,4
C,1
B,7
A,9
A,0
C,6
F,2
G,3
B,8
D,4
A,1
A,10
A,5
C,7
B,0
A,6
B,9
C,8
A,11
E,2
I,3
F,4
A,7
D,5
B,1
C,0
B,10
D,6
A,12
D,11
C,9
J,3
A,8
G,2
E,4
C,1
A,13
B,7
F,5
A,0
F,6
C,10
D,12
A,9
F,11
L,3
A,14
D,8
I,2
A,1
D,13
E,5
G,4
B,0
A,10
C,7
E,6
A,15
E,11
F,12
D,9
D,14
F,8
J,2
M,3
B,1
F,13
G,5
H,4
A,16
A,7
C,0
B,10
G,11
B,15
F,14
F,9
L,2
G,6
E,12
E,8
A,17
O,3
C,1
D,16
E,13
H,5
D,7
C,15
C,10
A,0
A,18
E,9
E,14
H,11
G,8
G,12
M,2
H,6
B,17
A,1
F,16
A,19
F,7
A,15
A,10
G,13
G,14
B,18
B,0
G,9
N,2
C,17
A,20
I,8
H,12
E,7
D,1
D,19
E,16
D,10
B,15
H,13
A,21
H,14
C,18
A,17
H,9
C,0
J,8
D,20
G,7
A,22
F,1
A,18
G,16
F,19
F,10
B,21
C,15
B,17
A,0
A,23
L,8
F,20
E,1
D,22
I,7
E,19
D,18
I,16
E,10
A,15
A,24
C,21
C,17
D,0
B,23
M,8
E,20
A,25
F,22
G,19
G,1
F,18
A,21
J,7
G,10
D,24
J,16
D,15
A,17
F,0
A,26
C,23
G,20
O,8
I,19
E,22
B,25
D,21
H,10
H,1
L,7
F,24
L,16
E,18
F,15
A,27
D,17
E,0
A,23
D,26
H,20
F,21
J,19
A,28
G,18
E,24
C,25
G,22
E,15
M,16
M,7
B,27
F,26
G,0
F,17
A,29
D,23
K,19
D,28
E,21
H,18
H,22
G,24
A,25
G,15
O,7
O,16
A,30
C,27
E,26
E,17
I,0
B,29
M,19
F,23
G,21
F,28
A,31
H,24
D,25
A,27
G,26
I,15
J,0
B,30
G,17
C,29
A,32
E,23
O,19
I,21
E,28
D,31
F,25
A,33
J,15
L,0
C,30
I,26
I,17
D,27
A,29
D,32
G,23
G,28
J,21
A,34
F,31
E,25
A,30
J,26
J,17
K,15
M,0
B,33
F,27
I,23
I,28
A,35
D,29
F,32
L,21
D,34
E,31
K,17
G,25
M,15
L,26
A,36
J,23
N,0
C,33
D,30
J,28
E,27
B,35
F,29
E,32
G,31
M,21
F,34
A,37
M,17
I,25
M,26
B,36
N,15
K,23
F,30
A,33
L,28
C,35
A,38
E,29
G,32
G,27
I,31
E,34
D,37
J,25
N,21
N,17
N,26
C,36
A,39
M,23
D,33
E,30
M,28
A,35
D,38
G,29
I,32
J,31
H,27
F,37
A,40
K,25
G,34
B,39
O,23
A,36
G,30
O,28
D,35
A,41
F,33
F,38
H,29
J,32
K,31
M,25
B,40
E,37
C,39
I,34
D,36
A,42
H,30
E,38
D,41
E,33
F,35
N,25
L,32
M,31
A,43
F,36
C,40
G,37
A,39
J,34
D,42
F,41
G,38
A,44
G,33
E,35
M,32
D,43
A,40
E,36
N,31
K,34
H,37
F,42
A,45
B,39
E,41
F,43
I,38
D,44
I,33
G,35
N,32
B,40
A,46
M,34
G,36
E,42
C,39
D,45
I,35
G,41
A,47
J,33
J,38
E,43
F,44
D,46
C,40
N,34
H,36
G,42
A,48
A,39
I,41
B,47
F,45
K,33
F,46
G,43
E,44
J,35
A,40
K,38
A,49
I,42
B,48
J,41
D,39
M,33
E,45
G,44
K,35
A,50
E,46
C,47
I,43
M,38
D,40
B,49
J,42
A,51
