concept:name,case:concept:name
A,0
A,1
B,0
A,2
B,1
A,3
C,0
D,2
A,4
C,1
A,0
F,2
D,3
A,5
A,1
B,4
F,3
E,2
D,0
B,5
A,7
B,1
C,4
E,3
C,5
G,2
F,0
A,8
D,7
C,1
A,4
A,9
G,3
A,5
H,2
E,0
D,8
B,4
F,7
A,1
H,3
B,9
E,6
F,8
D,5
A,11
G,0
C,4
E,7
C,9
A,12
B,1
G,6
H,0
E,8
D,11
F,5
G,7
A,13
A,4
H,6
D,12
A,9
C,1
G,8
F,11
A,14
E,5
B,13
B,4
I,7
F,12
A,15
A,1
D,9
I,8
E,11
B,14
G,5
J,7
A,16
C,13
C,4
B,1
E,12
J,8
F,9
B,15
G,11
A,17
H,5
C,14
L,7
A,13
D,16
A,4
I,10
C,1
G,12
A,18
L,8
E,9
C,15
D,17
I,11
A,14
F,16
M,7
A,19
J,10
D,13
I,12
B,4
A,1
D,18
A,15
F,17
M,8
G,9
J,11
B,14
F,13
E,16
N,7
B,19
C,4
K,10
J,12
D,1
F,18
A,21
D,15
I,9
E,17
O,8
E,13
G,16
L,11
C,14
C,19
A,22
K,12
A,4
F,1
M,10
B,21
E,18
J,9
F,15
G,17
A,23
G,13
H,16
A,19
B,22
A,14
M,11
M,12
D,4
A,24
N,10
E,1
C,21
G,18
L,9
E,20
D,23
E,15
H,17
H,13
O,11
C,22
O,12
A,25
D,14
B,24
G,1
I,18
G,20
F,4
M,9
F,23
A,21
A,26
G,15
D,25
A,22
F,14
C,24
H,20
A,27
E,4
N,9
J,18
I,1
E,23
B,21
D,26
I,15
A,28
A,24
B,22
E,14
F,25
B,27
G,4
C,21
K,18
G,23
J,1
F,26
A,29
J,15
D,28
G,14
D,24
A,21
C,27
C,22
E,25
I,4
A,30
M,18
K,1
E,26
I,23
B,29
F,28
L,15
A,31
B,21
F,24
H,14
A,27
A,22
G,25
J,23
B,30
J,4
O,18
M,1
C,29
G,26
A,32
E,28
M,15
E,24
B,31
C,21
B,22
H,25
D,27
L,4
A,33
L,23
C,30
N,1
A,29
D,32
G,24
G,28
A,21
C,31
H,26
N,15
A,34
C,22
M,4
F,27
A,30
D,33
D,21
M,23
F,32
A,35
A,31
I,24
I,28
D,29
B,34
O,4
A,22
E,27
B,30
F,33
B,31
F,21
O,23
J,24
J,28
B,35
A,37
F,29
D,22
G,27
C,34
C,30
E,33
E,21
C,31
L,24
A,38
C,35
K,28
E,29
B,37
I,27
F,22
A,34
G,33
A,39
A,31
A,30
M,24
G,21
B,38
M,28
A,35
A,40
E,22
J,27
C,37
G,29
B,34
D,39
N,24
H,33
B,31
H,21
A,41
C,38
B,30
O,28
B,40
B,35
L,27
G,22
A,37
H,29
A,42
C,34
F,39
A,38
C,31
C,30
B,41
C,40
C,35
M,27
A,43
D,37
H,22
I,36
D,42
A,34
A,30
A,31
B,38
E,39
A,40
A,44
C,41
A,35
O,27
B,43
F,37
A,45
B,34
J,36
F,42
B,30
D,31
A,41
C,38
G,39
B,44
D,35
C,43
A,46
C,34
F,31
E,37
K,36
B,45
E,42
C,30
A,38
B,41
F,35
A,47
C,44
I,39
A,43
A,34
D,46
E,31
M,36
A,48
B,38
C,45
G,37
A,30
G,42
E,35
A,44
B,47
J,39
C,41
A,49
B,43
F,46
D,34
N,36
G,31
C,38
H,37
H,42
D,30
A,45
B,48
A,50
A,41
C,43
B,44
C,47
K,39
G,35
E,46
F,34
D,49
A,51
H,31
A,38
F,30
D,45
C,48
D,50
B,41
A,43
M,39
C,44
A,52
A,47
H,35
E,34
G,46
F,49
B,51
F,45
E,30
B,38
A,48
C,41
A,53
F,50
B,52
B,43
N,39
A,44
E,49
B,47
H,46
E,45
G,34
C,51
G,30
C,38
