concept:name,case:concept:name
Activity A,0
Activity CC,0
Activity B,0
Activity A,1
Activity C,1
Activity Q,1
Activity AB,1
Activity AE,1
Activity AI,1
Activity E,1
Activity AC,1
Activity G,1
Activity AL,1
Activity P,1
Activity K,1
Activity H,1
Activity A,2
Activity O,1
Activity C,2
Activity N,1
Activity AO,1
Activity Q,2
Activity AM,1
Activity AB,2
Activity M,1
Activity AF,2
Activity E,2
Activity F,1
Activity R,1
Activity AC,2
Activity AJ,1
Activity N,2
Activity M,2
Activity D,1
Activity G,2
Activity A,3
Activity B,1
Activity I,2
Activity C,3
Activity O,2
Activity AI,2
Activity Q,3
Activity AK,2
Activity AB,3
Activity AJ,2
Activity AI,3
Activity H,2
Activity AK,3
Activity P,2
Activity AE,3
Activity E,3
Activity R,2
Activity AJ,3
Activity F,2
Activity AC,3
Activity D,2
Activity M,3
Activity B,2
Activity P,3
Activity R,3
Activity G,3
Activity J,3
Activity O,3
Activity N,3
Activity H,3
Activity F,3
Activity D,3
Activity B,3
Activity A,4
Activity CD,4
Activity CE,4
Activity B,4
Activity A,5
Activity CD,5
Activity CE,5
Activity B,5
Activity A,6
Activity CD,6
Activity CE,6
Activity B,6
Activity A,7
Activity CD,7
Activity CE,7
Activity B,7
Activity A,8
Activity AP,8
Activity AQ,8
Activity A,9
Activity AV,8
Activity C,9
Activity AW,8
Activity AR,8
Activity E,9
Activity B,8
Activity Q,9
Activity Z,9
Activity AA,9
Activity R,9
Activity A,10
Activity BC,10
Activity G,9
Activity AI,9
Activity A,11
Activity BP,10
Activity M,9
Activity CC,11
Activity BE,10
Activity L,9
Activity B,11
Activity BN,10
Activity O,9
Activity BI,10
Activity AL,9
Activity BO,10
Activity H,9
Activity BQ,10
Activity AO,9
Activity BH,10
Activity P,9
Activity BF,10
Activity N,9
Activity A,12
Activity AP,12
Activity BL,10
Activity F,9
Activity AQ,12
Activity BK,10
Activity AM,9
Activity AX,12
Activity BG,10
Activity AJ,9
Activity AR,12
Activity A,13
Activity BM,10
Activity B,12
Activity CC,13
Activity D,9
Activity B,13
Activity BJ,10
Activity B,9
Activity BD,10
Activity BR,10
Activity BT,10
Activity BU,10
Activity BX,10
Activity CB,10
Activity BY,10
Activity BV,10
Activity BW,10
Activity BS,10
Activity B,10
Activity A,14
Activity AP,14
Activity AQ,14
Activity AU,14
Activity AR,14
Activity B,14
Activity A,15
Activity AP,15
Activity A,16
Activity AQ,15
Activity AP,16
Activity AV,15
Activity AQ,16
Activity AW,15
Activity AY,16
Activity AR,15
Activity B,15
Activity BB,16
Activity BA,16
Activity AZ,16
Activity AR,16
Activity B,16
Activity A,17
Activity BC,17
Activity BF,17
Activity BG,17
Activity BI,17
Activity BH,17
Activity BP,17
Activity BE,17
Activity BN,17
Activity BQ,17
Activity BO,17
Activity BL,17
Activity BM,17
Activity BK,17
Activity BJ,17
Activity BD,17
Activity BR,17
Activity BT,17
Activity BX,17
Activity BV,17
Activity CA,17
Activity BY,17
Activity BU,17
Activity BW,17
Activity BS,17
Activity B,17
Activity A,18
Activity CD,18
Activity CE,18
Activity B,18
Activity A,19
Activity CC,19
Activity B,19
Activity A,20
